initial_state_id,source_rho,target_rho,fixed_T1,fixed_T2,fixed_T3,fixed_T4,target_optimal_objective,fixed_objective,objective_difference,terminal_cost,lambda_rho_cost,alpha_mean_cost,robust_dual_loss,mean_service_cost,mean_shortage_penalty,lambda,max_independent_violation,feasible
18,0,0.02,240,160,80,120,77239.3357246591,77396.7900954286,157.454370769497,1200,43163.8477677999,33032.9423276287,76196.7900954286,1054.10407594964,29146.163908679,2158192.38839,1.16415321826935e-10,1
18,0.02,0,204.234292192948,112.088995684526,69.8001816169686,119.777352987907,19751.6220658457,24565.8240534747,4814.20198762898,1011.8016449647,0,23554.02240851,23554.02240851,994.013619765539,22560.0087887444,7756972.28001401,0,1
