arm,tail_group,path_count,mean_site_gap,mean_quantity_gap,mean_location_component,mean_production,mean_inventory,mean_ordinary_shortage,mean_actual_operating_cost,mean_terminal_penalty,mean_total_HTT
BASE,DIFFICULT4,400,24.131610393023617,12.07494312727601,12.05666726574761,347.1821926159262,324.4155900386902,15.620899161031943,77231.6110063793,24131.61039302364,39.93659687670833
BASE,EXTREME1,99,118.52807186444682,114.56141626453196,3.966655599914786,332.48504490808267,320.6244577807136,24.699554719674094,77317.07585704257,118528.0718644468,37.678429684051835
BASE,NORMAL95,9500,0.0,0.0,0.0,187.5993303792127,188.94122572036264,1.1949927487646854,55083.576691584305,0.0,5.741629841677926
BASE,WORST_PATH,1,201.358259651343,201.358259651342,5.6843418860808e-14,298.368791910069,222.503267113841,0.0,82683.2767945469,201358.259651343,8.74449509479044
B0001,DIFFICULT4,400,28.04056130340115,11.188903537938701,16.85165776546246,351.6442543284323,327.1926671368694,13.9359145467043,77065.32292335352,28040.56130340117,48.737080462639035
B0001,EXTREME1,99,112.28871813907928,106.37885305991992,5.909865079159454,340.5617594276688,328.8070209853257,24.805403404700222,77617.92292951026,112288.71813907931,45.13369005393356
B0001,NORMAL95,9500,0.09168414923603681,0.0,0.09168414923603681,189.03200587681033,190.26802498998913,1.0891165208106497,55052.41119373707,91.6841492360368,6.986998756165673
B0001,WORST_PATH,1,202.684084242716,202.684084242716,2.8421709430404e-14,297.042967318696,221.177442522467,0.0,82825.065838245,202684.084242716,17.4478269615277
