check,pass,value
run7_qa_all_pass,True,27.0
terminal_recompute,True,1.7266188478970435e-12
common_path_10000,True,10000.0
source_hash_manifest,True,8.0
output_analysis_control_card.md,True,977.0
output_C_mode_coverage_matrix.csv,True,5859.0
output_paired_kpi_with_ci.csv,True,1808.0
output_target_group_summary.csv,True,2359.0
output_time_formation_summary.csv,True,207940.0
output_mechanism_identifiability.csv,True,4003.0
output_tail_and_cost_summary.csv,True,1568.0
output_historical_issue_status.csv,True,1781.0
output_s4_production_delta.csv,True,9417.0
output_inventory_delta_formation.csv,True,10277.0
output_B0001_C_mode_closeout_zh.md,True,5868.0
figure_paired_gap_ci95.png,True,45472.0
figure_target_group_site_gap.png,True,25647.0
