record_type,cohort,site,stage,global_hour,mean_inventory_delta_kg,first_negative_note,minimum_stage,minimum_global_hour,minimum_mean_inventory_delta_kg
SUMMARY,NEW_FAILURES,2,1,7,-3.9000000000000057,first hour with mean B0001-Base ending inventory delta < 0,3,23,-20.3002059791228
HOUR,NEW_FAILURES,2,1,1,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,1,2,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,1,3,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,1,4,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,1,5,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,1,6,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,1,7,-3.9000000000000057,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,1,8,-3.9000000000000057,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,9,-3.9000000000000017,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,10,-3.8999999999999955,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,11,-3.9000000000000563,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,12,-3.900000000000101,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,13,-3.8999999999999955,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,14,-2.6921597655546163,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,15,-2.69215976555461,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,2,16,-2.692159765554614,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,17,-13.022553204319129,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,18,-13.054058412440545,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,19,-13.22927064506515,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,20,-14.48628660385276,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,21,-15.258156926316845,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,22,-19.801073815633575,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,23,-20.3002059791228,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,3,24,-20.021651809875284,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,25,-15.158838340818635,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,26,-14.556062342203095,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,27,-14.147615154616012,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,28,-13.77495884508134,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,29,-15.135262325749592,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,30,-16.065889048756905,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,31,-16.721406301151635,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,4,32,-16.493316430491806,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,5,33,1.4550338368372513,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,5,34,3.1310201708137235,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,5,35,4.148391611767001,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,5,36,6.851479782540938,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,5,37,6.302919861955842,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
