arm,path_count,max_abs_site_gap_error,max_abs_quantity_error,max_abs_location_error,pass
BASE,10000,1.7053025658242404e-12,1.7266188478970435e-12,1.2008172234345693e-12,True
B0001,10000,1.5205614545266144e-12,1.6679990721968352e-12,9.805489753489383e-13,True
