mode,source_eta,state_id,intensity,loc,source_lfw,main_msp_lf,main_state_k,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,formula_k,mapping_formula_pass,station_order,non_target_max_abs_kg
saa,0,1,2,1,0,7,63,0,0,0,0,0,63,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,2,2,2,0,7,71,0,0,0,0,0,71,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,3,2,3,0,7,79,0,0,0,0,0,79,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,4,2,4,0,7,87,0,0,0,0,0,87,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,5,2,5,0,7,95,0,0,0,0,0,95,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,6,2,6,0,7,103,0,0,0,0,0,103,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,7,2,7,0,7,111,0,0,0,0,0,111,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,8,3,1,0,7,119,193.11022011292,80.1898371655347,16.3652728909255,81.8263644546273,371.491694624008,119,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,9,3,2,0,7,127,181.381774541091,78.2805553282601,21.2748547582031,101.191937375556,382.129122003109,127,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,10,3,3,0,7,135,198.29255652838,77.7350462318959,22.0931184027493,74.1892371055287,372.309958268554,135,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,11,3,4,0,7,143,192.564711016556,72.007200720072,16.3652728909255,74.1892371055287,355.126421733082,143,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,12,3,5,0,7,151,202.383874751111,32.7305457818509,16.3652728909255,74.1892371055287,325.668930529416,151,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,13,3,6,0,7,159,133.376974061043,36.276354908218,9.81916373455527,61.0970187927884,240.569511496604,159,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,14,3,7,0,7,167,121.103019392848,19.6383274691105,9.81916373455527,35.1853367154897,185.745847312004,167,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,15,4,1,0,7,175,240.857267544936,143.46889234378,42.5497095164062,150,576.875869405122,175,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,16,4,2,0,7,183,242.493794834029,136.665030139378,42.8074625644382,150,571.966287537845,183,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,17,4,3,0,7,191,241.38777514115,138.028802880288,32.7305457818509,150,562.147123803289,191,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,18,4,4,0,7,199,243.569811526607,123.300057278455,29.4574912036658,150,546.327360008728,199,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,19,4,5,0,7,207,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.414777841421,207,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,20,4,6,0,7,215,216.021602160216,82.0991190028094,29.4574912036658,99.8281646346453,427.406377001336,215,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,21,4,7,0,7,223,213.839565774759,81.8263644546273,16.3652728909255,93.2820554782751,405.313258598587,223,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,22,5,1,0,7,231,267.041704170417,146.741946921965,44.1862368054987,150,607.96988789788,231,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,23,5,2,0,7,239,275.482093663912,140.195837765595,49.3685732209585,150,615.046504650465,239,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,24,5,3,0,7,247,277.406377001336,134.740746801953,51.2778550582331,150,613.424978861523,247,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,25,5,4,0,7,255,272.209039085727,144.302157488476,41.4586913236778,150,607.969887897881,255,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,26,5,5,0,7,263,275.482093663912,137.210539235742,45.2772549982271,150,607.96988789788,263,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,27,5,6,0,7,271,273.443935302621,129.975042958841,50.0429588413387,150,603.461937102801,271,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,28,5,7,0,7,279,264.299157188446,109.101819272836,50.732345961869,146.741946921965,570.875269345116,279,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,29,6,1,0,7,287,297.575212066661,140.195837765595,78.5533098764422,150,666.324359708698,287,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,30,6,2,0,7,295,300,143.241142296048,82.9173826473556,150,676.158524943403,295,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,31,6,3,0,7,303,300,143.241142296048,78.5533098764422,150,671.79445217249,303,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,32,6,4,0,7,311,300,134.482993753921,77.780050732346,150,662.263044486267,311,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,33,6,5,0,7,319,300,133.421978561492,65.1883370155197,150,648.610315577012,319,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,34,6,6,0,7,327,300,118.69323295966,47.6870414314159,150,616.380274391075,327,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
saa,0,35,6,7,0,7,335,300,111.283855658293,46.6860322395873,150,607.96988789788,335,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,1,2,1,0,7,63,63.6167837525965,13.0921331708544,4.909665412351,30.5481142906031,112.166696626405,63,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,2,2,2,0,7,71,58.9150686076349,27.0027363942657,8.1826619672842,16.3652543612975,110.465721330482,71,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,3,2,3,0,7,79,69.666481390842,9.81885571292145,0,0,79.4853371037635,79,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,4,2,4,0,7,87,33.2760597503793,13.0922205927513,4.90957965375079,16.3652705877819,67.6431305846633,87,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,5,2,5,0,7,95,30.2757519474911,0,0,0,30.2757519474911,95,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,6,2,6,0,7,103,0,0,0.71367875842609,0,0.71367875842609,103,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,7,2,7,0,7,111,0,0,0,0,0,111,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,8,3,1,0,7,119,195.980588261073,97.5192645430117,16.3652728831405,95.4481399001905,405.313265587416,119,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,9,3,2,0,7,127,181.109015453749,85.6457634485623,28.3643588926193,110.194137130854,405.313274925785,127,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,10,3,3,0,7,135,207.714537766758,86.042681642297,27.2746757992166,84.2813634386846,405.313258646956,135,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,11,3,4,0,7,143,202.228721913838,73.7990228568447,24.5479067527522,95.4648007624855,396.04045228592,143,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,12,3,5,0,7,151,234.531627132872,39.2765472048076,16.3652905806895,92.1910086220283,382.364473540397,151,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,13,3,6,0,7,159,183.83696804374,85.3716494567399,16.3652799793359,69.5525548649856,355.126452344801,159,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,14,3,7,0,7,167,204.293031921316,32.7305207407448,9.81917939576067,52.6417371664842,299.484469224306,167,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,15,4,1,0,7,175,242.490845037318,142.378525477599,51.2780073639153,150,586.147377878832,175,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,16,4,2,0,7,183,245.768350802666,136.921371377604,52.3694238524147,150,585.059146032685,183,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,17,4,3,0,7,191,242.495486475516,141.285253689067,44.7316160596879,150,578.512356224272,191,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,18,4,4,0,7,199,252.702273520957,124.532268421669,44.7317455611508,150,571.966287503776,199,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,19,4,5,0,7,207,231.297621603105,121.918688071935,50.0952851168181,139.650041540419,542.961636332278,207,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,20,4,6,0,7,215,232.932859424932,100.1863762794,36.54780138014,122.192673667446,491.859710751919,215,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,21,4,7,0,7,223,215.20334957964,93.221622471828,24.547901451242,101.525074402858,434.497947905568,223,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,22,5,1,0,7,231,264.325715491973,144.555682281606,51.2754324636032,150,610.156830237183,231,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
