iteration,saa_LB,chi2_eta003_LB,LB_difference,cuts_available_before_forward,saa_cumulative_cut_rows_before_forward,chi2_cumulative_cut_rows_before_forward,same_seed_and_sampling,forward_LB_exact_match
1,7.56191403363393,7.56191403363393,0,0,0,0,1,1
2,880.847739493635,740.29779846946,-140.549941024175,1,1261,1261,1,0
3,8062.00287445831,3977.04963676168,-4084.95323769662,1,2522,2522,1,0
4,10090.6968217372,11867.7107066608,1777.01388492361,1,3783,3783,1,0
5,10276.02891791,12233.0227435948,1956.99382568476,1,5044,5044,1,0
6,11053.9947750705,13354.6140657889,2300.61929071841,1,6305,6305,1,0
7,12219.8366301369,15788.2061578199,3568.36952768305,1,7566,7566,1,0
8,12220.9401728785,15789.3806322872,3568.44045940874,1,8827,8827,1,0
9,12572.9300143173,15921.2931943451,3348.36318002786,1,10088,10088,1,0
10,12583.8840511445,15923.9246791408,3340.04062799625,1,11349,11349,1,0
11,12583.8840511445,15923.9246791408,3340.04062799625,1,12610,12610,1,0
12,12689.1760457112,16045.0727431049,3355.89669739373,1,13871,13871,1,0
13,12689.1760457112,16045.0727431049,3355.89669739373,1,15132,15132,1,0
14,12722.0434781856,16397.0443343468,3675.0008561612,1,16393,16393,1,0
15,13361.8966535951,16412.266879101,3050.37022550592,1,17654,17654,1,0
16,13696.4963571696,17020.2294558054,3323.73309863584,1,18915,18915,1,0
17,13702.2030917414,17021.8750088823,3319.67191714088,1,20176,20176,1,0
18,13903.0300351416,17219.480776331,3316.45074118938,1,21437,21437,1,0
19,14086.2833632602,17271.8432786379,3185.55991537772,1,22698,22698,1,0
20,14303.6255644605,17348.2728449095,3044.64728044898,1,23959,23959,1,0
21,14433.7429748823,17558.7277451975,3124.98477031522,1,25220,25220,1,0
22,14544.5825179632,17604.2663201735,3059.68380221025,1,26481,26481,1,0
23,14682.8885262736,17616.3167109843,2933.4281847107,1,27742,27742,1,0
24,14820.4522781159,17748.2872974755,2927.83501935964,1,29003,29003,1,0
25,14962.5062121675,18118.8795097282,3156.37329756073,1,30264,30264,1,0
26,14975.9220618336,18209.4821661556,3233.56010432203,1,31525,31525,1,0
27,15039.6942998342,18347.8813264137,3308.18702657948,1,32786,32786,1,0
28,15513.0775173422,18538.7373203697,3025.65980302752,1,34047,34047,1,0
29,15513.2049386157,18634.6954313513,3121.49049273561,1,35308,35308,1,0
30,15516.3297153097,18718.7403539777,3202.41063866804,1,36569,36569,1,0
31,15578.3149897673,18735.5611840316,3157.24619426429,1,37830,37830,1,0
32,15588.4620231024,18748.2323367488,3159.7703136464,1,39091,39091,1,0
33,15994.8153425581,19425.7372811656,3430.92193860755,1,40352,40352,1,0
34,16012.313776525,19487.8897277334,3475.57595120836,1,41613,41613,1,0
35,16041.3560447751,19743.4687958795,3702.11275110437,1,42874,42874,1,0
36,16041.3560447751,19743.7110904012,3702.35504562605,1,44135,44135,1,0
37,16105.4213252162,19777.1694865036,3671.74816128745,1,45396,45396,1,0
38,16142.0762957375,19854.8290301634,3712.7527344259,1,46657,46657,1,0
39,16155.7366902458,19856.281179001,3700.54448875517,1,47918,47918,1,0
40,16204.2863535324,19883.9527788271,3679.66642529466,1,49179,49179,1,0
41,16218.0854011121,19920.2930967506,3702.20769563845,1,50440,50440,1,0
42,16239.1463195657,19935.4559624276,3696.30964286195,1,51701,51701,1,0
43,16239.4745215898,19952.195582091,3712.72106050123,1,52962,52962,1,0
44,16472.0824405427,19966.3704953353,3494.28805479253,1,54223,54223,1,0
45,16472.0824405427,19966.4684032156,3494.3859626729,1,55484,55484,1,0
46,16497.2418416678,19999.186102095,3501.9442604272,1,56745,56745,1,0
47,16516.4579989983,20042.709068224,3526.25106922571,1,58006,58006,1,0
48,16605.5799594683,20049.7503495242,3444.17039005588,1,59267,59267,1,0
49,16620.442164316,20091.5615714125,3471.11940709644,1,60528,60528,1,0
50,16642.8456643562,20098.0661917939,3455.22052743772,1,61789,61789,1,0
51,16644.1072611725,20103.9456736643,3459.8384124918,1,63050,63050,1,0
52,16645.5961523672,20120.8570129114,3475.26086054418,1,64311,64311,1,0
53,16648.157797919,20132.5873173966,3484.42951947758,1,65572,65572,1,0
54,16668.4139136508,20143.922724242,3475.50881059123,1,66833,66833,1,0
55,16668.5387761353,20144.7459915114,3476.20721537618,1,68094,68094,1,0
56,16671.826396527,20149.7935062378,3477.96710971077,1,69355,69355,1,0
57,16681.8833225587,20151.6767435665,3469.79342100783,1,70616,70616,1,0
58,16689.3074261281,20165.6825130623,3476.37508693422,1,71877,71877,1,0
