mode,eta,seed,time_limit_sec,iterations,completed_backward_passes,train_time_sec,eval_time_sec,final_LB,OOS_mean,CI_low,CI_high,avg_terminal_shortage_kg,max_terminal_shortage_kg,positive_shortage_paths,paths_reaching_lf7,avg_terminal_cost,terminal_gap_penalty_yuan_per_kg,max_penalty_identity_residual,added_cut_rows,last_forward_path_cost,last_forward_terminal_shortage_kg,matlab_exit_code
saa,0,20260513,300,164,163,301.1997959,49.7366594,18495.771863561,20449.3881363616,19606.5703932078,21292.2058795154,4.06893486263369,205.160767895425,836,6053,8137.86972526738,2000,0,205543,4703.12766910912,0,0
chi2_eta003,0.03,20260513,300,163,162,300.0764331,51.0895655,21676.8531556329,23491.8368604268,22552.2935903576,24431.3801304959,5.08485470230629,214.432276369134,1007,6053,10169.7094046126,2000,0,204282,33667.9306410969,0,0
