stage,saa_base_constraint_rows,saa_final_constraint_rows,saa_added_cut_rows,chi2_base_constraint_rows,chi2_final_constraint_rows,chi2_added_cut_rows,first_cut_models_compared,first_cut_models_changed,max_first_cut_A_abs_difference,max_first_cut_b_abs_difference,terminal_table_changed_first_backward_cuts
1,5,168,163,5,167,162,1,1,79.8429035710796,16536.804458327,1
2,1050,35280,34230,1050,35070,34020,210,210,1489.02,144913.647971426,1
3,1050,35280,34230,1050,35070,34020,210,210,1570.36,130802.951819304,1
4,1050,35280,34230,1050,35070,34020,210,210,1570.36,130959.076658114,1
5,1050,35280,34230,1050,35070,34020,210,210,1570.36,130959.076658114,1
6,1050,35280,34230,1050,35070,34020,210,210,1570.36,130959.076658114,1
7,1050,35280,34230,1050,35070,34020,210,105,1570.36,130959.076658114,1
8,1050,1050,0,1050,1050,0,0,0,0,0,0
