initial_state_id,R,evaluation_model,terminalLOH_source,T1,T2,T3,T4,TerminalLOH_cost,mean_service_cost,mean_shortage_loss,mean_operating_loss,total_objective,target_model_optimum,objective_regret,relative_objective_regret,positive_demand_scenario_count,mean_total_demand_kg,max_total_demand_kg,aggregate_status,period_status,replay_complete,failure_message,case_pass
7,2000,AGGREGATE,T_AGGREGATE,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,498.049804980498,5.86207516381402,263.4808935439,269.342968707714,767.392773688211,767.392773688211,0,0,14,1.02705725117966,405.313258598587,OPTIMAL,OPTIMAL,1,,1
7,2000,AGGREGATE,T_PERIOD,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,498.049804980498,5.86207516381402,263.4808935439,269.342968707714,767.392773688212,767.392773688211,5.6843418860808e-13,7.40734351557802e-16,14,1.02705725117966,405.313258598587,OPTIMAL,OPTIMAL,1,,1
7,2000,PERIOD,T_AGGREGATE,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,498.049804980498,5.86207516381402,263.4808935439,269.342968707714,767.392773688212,767.392773688213,-7.95807864051312e-13,-1.03702809218092e-15,14,1.02705725117966,405.313258598587,OPTIMAL,OPTIMAL,1,,1
7,2000,PERIOD,T_PERIOD,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,498.049804980498,5.86207516381402,263.4808935439,269.342968707714,767.392773688213,767.392773688213,0,0,14,1.02705725117966,405.313258598587,OPTIMAL,OPTIMAL,1,,1
9,2000,AGGREGATE,T_AGGREGATE,300,128.194637645583,88.3724736109975,150,1333.13422251316,273.500648904348,2514.43144314431,2787.93209204866,4121.06631456181,4121.06631456181,0,0,525,44.5680931729537,607.969887897881,OPTIMAL,OPTIMAL,1,,1
9,2000,AGGREGATE,T_PERIOD,274.936584567548,124.118320923001,58.9149824073316,150,1215.93977579576,271.945787062679,2709.02817554483,2980.97396260751,4196.91373840327,4121.06631456181,75.8474238414574,0.0184048054682959,525,44.5680931729537,607.969887897881,OPTIMAL,OPTIMAL,1,,1
9,2000,PERIOD,T_AGGREGATE,300,128.194637645583,88.3724736109975,150,1333.13422251316,275.664361877899,1915.05468728691,2190.71904916481,3523.85327167797,3415.42660854786,108.42666313011,0.0317461551827079,525,44.5680931729537,607.969887897881,OPTIMAL,OPTIMAL,1,,1
9,2000,PERIOD,T_PERIOD,274.936584567548,124.118320923001,58.9149824073316,150,1215.93977579576,276.537265068102,1922.94956768404,2199.48683275214,3415.42660854786,3415.42660854786,0,0,525,44.5680931729537,607.969887897881,OPTIMAL,OPTIMAL,1,,1
11,2000,AGGREGATE,T_AGGREGATE,300,107.465291983744,54.5509096364181,140.741346861959,1205.51509696424,209.407288987461,1968.01407413469,2177.42136312215,3382.93646008637,3382.93646008637,0,0,440,34.5543190682705,607.969887897881,OPTIMAL,OPTIMAL,1,,1
11,2000,AGGREGATE,T_PERIOD,289.665330169381,89.4634918037258,62.7335460818809,130.922183127404,1145.56910236478,209.448621641014,2048.11390229932,2257.56252394033,3403.13162630512,3382.93646008637,20.1951662187421,0.00596971490804366,440,34.5543190682705,607.969887897881,OPTIMAL,OPTIMAL,1,,1
11,2000,PERIOD,T_AGGREGATE,300,107.465291983744,54.5509096364181,140.741346861959,1205.51509696424,210.103898942967,1392.47197447017,1602.57587341314,2808.09097037738,2788.63368182997,19.4572885474172,0.00697735549641962,440,34.5543190682705,607.969887897881,OPTIMAL,OPTIMAL,1,,1
11,2000,PERIOD,T_PERIOD,289.665330169381,89.4634918037258,62.7335460818809,130.922183127404,1145.56910236478,210.284937864681,1432.77964160052,1643.0645794652,2788.63368182997,2788.63368182997,0,0,440,34.5543190682705,607.969887897881,OPTIMAL,OPTIMAL,1,,1
19,2000,AGGREGATE,T_AGGREGATE,300,193.382974661103,100,150,1486.7659493222,834.489603258663,12733.7451927011,13568.2347959598,15055.0007452819,15055.0007452819,0,0,1121,126.928647410195,607.969887897881,OPTIMAL,OPTIMAL,1,,1
19,2000,AGGREGATE,T_PERIOD,272.769549682241,139.377574121048,90.00900090009,150,1304.31224940676,829.944408385073,13164.891034558,13994.8354429431,15299.1476923498,15055.0007452819,244.146947067886,0.016216999998781,1121,126.928647410195,607.969887897881,OPTIMAL,OPTIMAL,1,,1
19,2000,PERIOD,T_AGGREGATE,300,193.382974661103,100,150,1486.7659493222,848.687667541134,9063.68273190955,9912.37039945069,11399.1363487729,11318.3209631076,80.815385665248,0.0071402274178889,1121,126.928647410195,607.969887897881,OPTIMAL,OPTIMAL,1,,1
19,2000,PERIOD,T_PERIOD,272.769549682241,139.377574121048,90.00900090009,150,1304.31224940676,849.10813273374,9164.90058096719,10014.0087137009,11318.3209631076,11318.3209631076,0,0,1121,126.928647410195,607.969887897881,OPTIMAL,OPTIMAL,1,,1
