initial_state_id,R,site_id,positive_demand_scenario_count,mean_total_demand_kg,max_total_demand_kg,scenario_weight,T_aggregate_kg,T_period_kg,period_minus_aggregate_kg,site_absolute_difference_kg,site_difference_fraction_of_capacity,aggregate_total_T_kg,period_total_T_kg,period_minus_aggregate_total_kg,total_absolute_difference_kg,total_difference_fraction_of_total_capacity,aggregate_at_capacity,period_at_capacity,aggregate_relative_regret,period_relative_regret,case_pass,difference_direction,site_direction_stable_across_R,reference_dominant_site_R500,reference_direction_stable_across_R,state_max_site_difference_kg,state_max_relative_regret,state_close_diagnostic,aggregate_capacity_hit_count,period_capacity_hit_count
7,500,1,5,1.28303739464856,243.842566074789,0.002,65.4610915637018,65.4610915637018,0,0,0,243.842566074789,243.842566074789,0,0,0,0,0,-1.79797380622919e-16,-3.59594761245838e-16,1,ZERO,1,2,1,7.105427357601e-15,-1.79797380622919e-16,1,0,0
7,500,2,5,1.28303739464856,243.842566074789,0.002,51.5506096064152,51.5506096064152,7.105427357601e-15,7.105427357601e-15,3.5527136788005e-17,243.842566074789,243.842566074789,0,0,0,0,0,-1.79797380622919e-16,-3.59594761245838e-16,1,ZERO,1,2,1,7.105427357601e-15,-1.79797380622919e-16,1,0,0
7,500,3,5,1.28303739464856,243.842566074789,0.002,44.7317459018629,44.7317459018629,0,0,0,243.842566074789,243.842566074789,0,0,0,0,0,-1.79797380622919e-16,-3.59594761245838e-16,1,ZERO,1,2,1,7.105427357601e-15,-1.79797380622919e-16,1,0,0
7,500,4,5,1.28303739464856,243.842566074789,0.002,82.0991190028094,82.0991190028094,0,0,0,243.842566074789,243.842566074789,0,0,0,0,0,-1.79797380622919e-16,-3.59594761245838e-16,1,ZERO,1,2,1,7.105427357601e-15,-1.79797380622919e-16,1,0,0
7,1000,1,7,1.27758230368491,405.313258598587,0.001,65.4610915637018,65.4610915637018,0,0,0,249.024902490249,249.024902490249,0,0,0,0,0,2.5677462029183e-16,1.28387310145915e-15,1,ZERO,1,2,1,1.4210854715202e-14,1.28387310145915e-15,1,0,0
7,1000,2,7,1.27758230368491,405.313258598587,0.001,50.7323459618689,50.7323459618689,-7.105427357601e-15,7.105427357601e-15,3.5527136788005e-17,249.024902490249,249.024902490249,0,0,0,0,0,2.5677462029183e-16,1.28387310145915e-15,1,ZERO,1,2,1,1.4210854715202e-14,1.28387310145915e-15,1,0,0
7,1000,3,7,1.27758230368491,405.313258598587,0.001,45.5500095464092,45.5500095464092,1.4210854715202e-14,1.4210854715202e-14,1.4210854715202e-16,249.024902490249,249.024902490249,0,0,0,0,0,2.5677462029183e-16,1.28387310145915e-15,1,ZERO,1,2,1,1.4210854715202e-14,1.28387310145915e-15,1,0,0
7,1000,4,7,1.27758230368491,405.313258598587,0.001,87.2814554182691,87.2814554182691,0,0,0,249.024902490249,249.024902490249,0,0,0,0,0,2.5677462029183e-16,1.28387310145915e-15,1,ZERO,1,2,1,1.4210854715202e-14,1.28387310145915e-15,1,0,0
7,2000,1,14,1.02705725117966,405.313258598587,0.0005,66.2793552082481,66.2793552082481,0,0,0,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,7.40734351557802e-16,-1.03702809218092e-15,1,ZERO,1,2,1,1.4210854715202e-14,7.40734351557802e-16,1,0,0
7,2000,2,14,1.02705725117966,405.313258598587,0.0005,50.7323459618689,50.7323459618689,0,0,0,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,7.40734351557802e-16,-1.03702809218092e-15,1,ZERO,1,2,1,1.4210854715202e-14,7.40734351557802e-16,1,0,0
7,2000,3,14,1.02705725117966,405.313258598587,0.0005,44.7317459018629,44.7317459018629,7.105427357601e-15,7.105427357601e-15,7.105427357601e-17,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,7.40734351557802e-16,-1.03702809218092e-15,1,ZERO,1,2,1,1.4210854715202e-14,7.40734351557802e-16,1,0,0
7,2000,4,14,1.02705725117966,405.313258598587,0.0005,87.2814554182691,87.2814554182691,1.4210854715202e-14,1.4210854715202e-14,9.473903143468e-17,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,7.40734351557802e-16,-1.03702809218092e-15,1,ZERO,1,2,1,1.4210854715202e-14,7.40734351557802e-16,1,0,0
9,500,1,136,43.5250797807053,607.969887897881,0.002,276.315358808608,289.407577121348,13.0922183127403,13.0922183127403,0.0436407277091342,609.606415186973,607.969887897881,-1.63652728909267,1.63652728909267,0.00218203638545689,0,0,0.0752290796491022,0.00213708971179583,1,PERIOD_HIGHER,0,2,1,85.9176826773586,0.0752290796491022,0,1,1
