global_hour,path_id_SAA,H2_production_kg_SAA,end_inventory_kg_SAA,HTT_in_kg_SAA,HTT_out_kg_SAA,ordinary_shortage_kg_SAA,path_id_DRO,H2_production_kg_DRO,end_inventory_kg_DRO,HTT_in_kg_DRO,HTT_out_kg_DRO,ordinary_shortage_kg_DRO,DRO_minus_SAA_H2_production_kg,DRO_minus_SAA_end_inventory_kg,DRO_minus_SAA_HTT_in_kg,DRO_minus_SAA_HTT_out_kg,DRO_minus_SAA_ordinary_shortage_kg
1,5000.5,12.674999999999999,177.3522175112664,0.0,0.0,0.0,5000.5,15.015,179.6922175112664,0.0,0.0,0.0,2.3400000000000016,2.3400000000000034,0.0,0.0,0.0
2,5000.5,11.240637223935286,187.1596424560757,0.0,0.0,0.0,5000.5,15.015,193.27400523214038,0.0,0.0,0.0,3.7743627760647147,6.114362776064695,0.0,0.0,0.0
3,5000.5,14.649971329652349,200.5746261036888,0.0,0.0,0.0,5000.5,15.015,207.0540175501012,0.0,0.0,0.0,0.36502867034765174,6.479391446412421,0.0,0.0,0.0
4,5000.5,8.774999999999999,207.8040794154386,0.0,0.0,0.0,5000.5,15.015,220.523470861851,0.0,0.0,0.0,6.240000000000002,12.719391446412402,0.0,0.0,0.0
5,5000.5,8.774999999999999,213.686210636025,0.0,0.0,0.0,5000.5,15.015,232.64560208243736,0.0,0.0,0.0,6.240000000000002,18.959391446412354,0.0,0.0,0.0
6,5000.5,8.774999999999999,216.12888922626627,0.0,0.0,0.0,5000.5,12.45373417749657,238.7670148501753,0.0,0.0,0.0,3.6787341774965707,22.63812562390902,0.0,0.0,0.0
7,5000.5,0.0,205.14173603025108,0.0,0.0,0.0,5000.5,8.774999999999999,236.55486165416,0.0,0.0,0.0,8.774999999999999,31.41312562390891,0.0,0.0,0.0
8,5000.5,0.0,192.5180896880707,0.0,0.0,0.0,5000.5,0.0,223.9312153119796,0.0,0.0,0.0,0.0,31.41312562390891,0.0,0.0,0.0
9,5007.481282223716,0.9912390719569603,183.84636726213273,0.11736798111007013,0.11736798111007013,0.0,5007.481282223716,1.0004193980745166,215.2686732121593,0.4569443082092424,0.4569443082092424,0.0,0.00918032611755637,31.422305950026583,0.3395763270991723,0.3395763270991723,0.0
10,5007.481282223716,0.9912390719569603,178.60056468758214,0.02746210094214825,0.02746210094214825,0.0,5007.481282223716,0.9912390719569603,210.0228706376086,0.06202082115414861,0.06202082115414861,0.0,0.0,31.42230595002647,0.034558720212000356,0.034558720212000356,0.0
11,5007.481282223716,0.976289509078682,174.5774360893783,0.0,0.0,0.0,5007.481282223716,0.9912390719569603,206.01469160228305,0.0,0.0,0.0,0.01494956287827831,31.437255512904756,0.0,0.0,0.0
12,5007.481282223716,0.9600285810356423,170.25450629731313,0.12209347106184774,0.12209347106184774,0.0,5007.481282223716,0.976289509078682,201.70802273826092,0.07109495134428773,0.07109495134428773,0.0,0.01626092804303969,31.453516440947794,-0.05099851971756002,-0.05099851971756002,0.0
13,5007.481282223716,0.9353500509016262,164.8542587553231,0.04164141350792916,0.04164141350792916,0.0,5007.481282223716,0.9600285810356423,196.33245372640488,0.05499344255804372,0.05499344255804372,0.0,0.024678530134016108,31.47819497108179,0.01335202905011456,0.01335202905011456,0.0
14,5007.481282223716,0.9170158036314726,158.18481314918503,0.009257544046255855,0.009257544046255855,0.0,5007.481282223716,0.9600285810356423,189.70602089767107,0.002171174005731719,0.002171174005731719,0.0,0.043012777404169644,31.521207748486034,-0.007086370040524136,-0.007086370040524136,0.0
15,5007.481282223716,0.976289509078682,150.07533022664776,0.018755857634760526,0.018755857634760526,0.0,5007.481282223716,0.9912390719569603,181.61148753801197,0.24908160558381262,0.24908160558381262,0.0,0.01494956287827831,31.536157311364207,0.23032574794905208,0.23032574794905208,0.0
16,5007.481282223716,0.9912390719569603,140.7637744269566,0.07479708283014092,0.07479708283014092,0.0,5007.481282223716,0.9912390719569603,172.2999317383209,0.24576717017912542,0.24576717017912542,0.0,0.0,31.53615731136432,0.1709700873489845,0.1709700873489845,0.0
17,5005.043896268185,1.8013497247121746,131.56119028045552,0.8333672889586097,0.8333672889586097,0.03090278638343475,5005.043896268185,1.8108649052153538,163.1201991571112,2.1912131603186324,2.191213160318632,0.02985658285889135,0.009515180503179232,31.559008876655668,1.3578458713600228,1.3578458713600223,-0.0010462035245434008
18,5005.043896268185,1.7193216598671965,122.09694345213771,0.0753172328497609,0.0753172328497609,0.02856851619199339,5005.043896268185,1.7129856529940894,153.65022077582736,0.07773441029977565,0.07773441029977565,0.02917297009897304,-0.006336006873107092,31.553277323689656,0.002417177450014754,0.002417177450014754,0.0006044539069796524
19,5005.043896268185,1.5130043340332129,115.57717745433054,0.10092295247452307,0.10092295247452307,0.02014274591452997,5005.043896268185,1.5122376945723766,147.12959413169415,0.14769150954489466,0.14769150954489466,0.020048739049408314,-0.000766639460836327,31.55241667736361,0.046768557070371586,0.046768557070371586,-9.400686512165551e-05
20,5005.043896268185,1.2989479626575562,111.67027014110626,0.011468443770120107,0.011468443770120107,0.013029123734917476,5005.043896268185,1.316402479120085,143.24020012243793,0.16320568150178735,0.16320568150178735,0.013087911240331897,0.017454516462528824,31.56992998133167,0.15173723773166725,0.15173723773166725,5.87875054144215e-05
21,5005.043896268185,1.2925107438671666,109.25953554521075,0.010393266776592872,0.010393266776592872,0.009387835217729854,5005.043896268185,1.3166068220825045,140.85381378349234,0.09315804151098533,0.09315804151098533,0.009640013952385519,0.02409607821533788,31.59427823828159,0.08276477473439246,0.08276477473439246,0.0002521787346556649
22,5005.043896268185,1.5701318735315433,108.53015067365074,0.08683170669382252,0.08683170669382252,0.005977503795950925,5005.043896268185,1.5821330006597543,140.1367890765086,0.11373336603928837,0.11373336603928837,0.006336541243882741,0.012001127128210998,31.606638402857854,0.026901659345465845,0.026901659345465845,0.0003590374479318153
23,5005.043896268185,1.7219485268292927,108.82255648917969,0.023614192997721682,0.023614192997721682,0.00366956782576243,5005.043896268185,3.4010498554134987,142.10837750001542,0.04971942910021687,0.04971942910021686,0.0037508472194532636,1.679101328584206,33.28582101083573,0.02610523610249519,0.026105236102495176,8.127939369083348e-05
