global_hour,path_id_SAA,H2_production_kg_SAA,end_inventory_kg_SAA,HTT_in_kg_SAA,HTT_out_kg_SAA,ordinary_shortage_kg_SAA,path_id_DRO,H2_production_kg_DRO,end_inventory_kg_DRO,HTT_in_kg_DRO,HTT_out_kg_DRO,ordinary_shortage_kg_DRO,DRO_minus_SAA_H2_production_kg,DRO_minus_SAA_end_inventory_kg,DRO_minus_SAA_HTT_in_kg,DRO_minus_SAA_HTT_out_kg,DRO_minus_SAA_ordinary_shortage_kg
7,5000.5,0.0,205.14173603025108,0.0,0.0,0.0,5000.5,8.774999999999999,236.55486165416,0.0,0.0,0.0,8.774999999999999,31.41312562390891,0.0,0.0,0.0
4,5000.5,8.774999999999999,207.8040794154386,0.0,0.0,0.0,5000.5,15.015,220.523470861851,0.0,0.0,0.0,6.240000000000002,12.719391446412402,0.0,0.0,0.0
5,5000.5,8.774999999999999,213.686210636025,0.0,0.0,0.0,5000.5,15.015,232.64560208243736,0.0,0.0,0.0,6.240000000000002,18.959391446412354,0.0,0.0,0.0
24,5005.043896268185,6.269637749291616,113.55050520046802,0.189405052145369,0.18940505214536907,0.003857650246986507,5005.043896268185,10.761795073583368,151.32854308439133,0.2718311389905962,0.2718311389905962,0.0039171990428373046,4.492157324291752,37.778037883923304,0.08242608684522718,0.08242608684522712,5.954879585079757e-05
29,4984.743252476939,3.6257861736949626,140.34139109614588,0.09448104571713137,0.09448104571713142,0.052976436702990494,4984.743252476939,7.677928994602733,194.74627913078314,0.1552704284388964,0.1552704284388964,0.06266571285137258,4.05214282090777,54.40488803463725,0.06078938272176504,0.060789382721764984,0.009689276148382088
30,4984.743252476939,2.6683272379962095,136.78929178804802,0.12691175851884523,0.12691175851884523,0.11189486366472919,4984.743252476939,6.672760026139314,195.21776175375248,0.2135176980921263,0.2135176980921263,0.1310440065888201,4.004432788143104,58.428469965704465,0.08660593957328108,0.08660593957328108,0.01914914292409091
2,5000.5,11.240637223935286,187.1596424560757,0.0,0.0,0.0,5000.5,15.015,193.27400523214038,0.0,0.0,0.0,3.7743627760647147,6.114362776064695,0.0,0.0,0.0
6,5000.5,8.774999999999999,216.12888922626627,0.0,0.0,0.0,5000.5,12.45373417749657,238.7670148501753,0.0,0.0,0.0,3.6787341774965707,22.63812562390902,0.0,0.0,0.0
28,4984.743252476939,7.013530634650614,139.5554972651615,0.04306218532097035,0.04306218532097035,0.02825925191919858,4984.743252476939,10.656440644795573,189.89855320274256,0.1344349032930495,0.1344349032930495,0.033281867809388355,3.642910010144959,50.343055937581056,0.09137271797207915,0.09137271797207915,0.005022615890189774
25,4984.743252476939,7.2529638973731565,122.31249616831258,1.879617289983264,1.8796172899832637,0.03814534617690215,4984.743252476939,10.445572244321404,162.8744073786058,3.1464613894236884,3.1464613894236884,0.047533702197988636,3.192608346948248,40.56191121029323,1.2668440994404244,1.2668440994404246,0.009388356021086487
