figure,width_px,height_px,nonblank,pass
01_16候选容量与保留events.png,1789,890,True,True
02_Pareto_frontier.png,1789,891,True,True
03_四个单站candidate.png,1429,816,True,True
04_四站events_per_kW.png,1429,817,True,True
05_leave_one_site_out.png,1429,816,True,True
06_检查点对比.png,1429,853,True,True
07_tail_gain.png,1429,853,True,True
08_最终候选总结.png,1877,719,True,True
