check,observed,expected,source,pass
formal_hash,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,536b2586...,formal MAT,True
formal_base,"[300.0, 200.0, 120.0, 150.0]","[300, 200, 120, 150]",formal MAT,True
formal_expanded,"[375.0, 250.0, 150.0, 187.5]","[375, 250, 150, 187.5]",formal MAT,True
formal_k_h2,0.0195,0.0195,formal MAT,True
candidate_order,"['B0000', 'B1000', 'B0100', 'B0010', 'B0001', 'B1100', 'B1010', 'B1001', 'B0110', 'B0101', 'B0011', 'B1110', 'B1101', 'B1011', 'B0111', 'B1111']","['B0000', 'B1000', 'B0100', 'B0010', 'B0001', 'B1100', 'B1010', 'B1001', 'B0110', 'B0101', 'B0011', 'B1110', 'B1101', 'B1011', 'B0111', 'B1111']",catalog,True
candidate_count,16,16,catalog,True
candidate_vector_unique,0,0,catalog,True
candidate_vectors_from_formal,True,True,formal MAT + catalog,True
base_70_156_167,"[70, 156, 167]","[70, 156, 167]",Stage89Q physical,True
all16_h2_event_identity,True,True,independent physical formula,True
all16_h2_summary,True,True,event aggregation,True
pure_location_gain_zero,0,0,H2 summary,True
new_multi_candidate_set,"{'B1110', 'B0101', 'B1100', 'B1010', 'B1101', 'B1011', 'B0111', 'B1001', 'B0110', 'B0011'}","{'B1110', 'B0101', 'B1100', 'B1010', 'B1101', 'B1011', 'B0111', 'B1001', 'B0110', 'B0011'}",reuse ledger,True
anchors_not_resolved,0,0,reuse ledger,True
base_not_recomputed,{'NO'},{'NO'},reuse ledger,True
independent_headrooms_not_summed,{'NO'},{'NO'},reuse ledger,True
site_resolved_cache_formula,True,True,cache + G3 realized profiles,True
cache_source_partition,True,True,cache,True
site_resolved_witness,True,True,cache,True
new_candidate_grid_margin_recomposition,True,True,independent event-hour join,True
S4_anchor_event_identity,"{(1666, -16), (801, -16), (3269, -8), (4723, -16), (1580, -4), (6266, -16), (3997, -4), (3381, -8), (2467, -16), (9334, -4), (1320, -16), (2000, -16), (488, -16), (7786, -16), (8332, -16), (6098, -16), (9428, -16), (3951, -8), (9955, -8), (869, -4), (8440, -4), (3349, -16), (4007, -16), (3997, -8), (2103, -16), (1432, -4), (7669, -16), (6663, -16), (4711, -16), (2052, -16), (965, -4), (8440, -8), (869, -8), (783, -8), (2435, -16), (2501, -16), (518, -16), (8747, -16), (1165, -16), (8384, -4), (7862, -16), (467, -16), (643, -16), (152, -16), (1432, -8), (8716, -16), (5685, -16), (9825, -16)}","{(1666, -16), (801, -16), (3269, -8), (4723, -16), (1580, -4), (6266, -16), (3997, -4), (3381, -8), (2467, -16), (9334, -4), (1320, -16), (2000, -16), (488, -16), (7786, -16), (8332, -16), (6098, -16), (9428, -16), (3951, -8), (9955, -8), (869, -4), (8440, -4), (3349, -16), (4007, -16), (3997, -8), (2103, -16), (1432, -4), (7669, -16), (6663, -16), (4711, -16), (2052, -16), (965, -4), (8440, -8), (869, -8), (783, -8), (2435, -16), (2501, -16), (518, -16), (8747, -16), (1165, -16), (8384, -4), (7862, -16), (467, -16), (643, -16), (152, -16), (1432, -8), (8716, -16), (5685, -16), (9825, -16)}",G2 formal events,True
S4_anchor_retained,39,39,G2 formal events,True
