ordinary_shortage,terminal_gap,count,fraction_of_stage7,mean_production_kg,mean_actual_operating_cost_yuan,mean_final_inventory_kg,mean_terminal_margin_kg,mean_HTT_kg
NO,NO,5325,0.869529719138,206.410920879,65789.5419588,174.753967859,165.356208626,6.32774956398
NO,YES,276,0.0450685826257,309.354142623,72002.9756189,272.193322918,-2.5042733256,27.0989557002
YES,NO,326,0.0532331809275,391.736828139,86454.4208317,371.902685051,234.266590787,51.9289745377
YES,YES,197,0.0321685173089,412.922887677,87150.4050665,413.414455136,-20.8638612203,61.325134141
YES,NO_AND_SURPLUS_GT_20KG,325,0.0530698889615,391.490747813,86421.3396792,371.705073304,234.949672677,51.9456333974
YES,NO_AND_SURPLUS_GT_50KG,321,0.0524167210973,391.549950891,86519.7866777,371.137485189,237.358132428,51.6696339612
