window,metric,N,first,last,change,mean,std,min,max,range,fraction_exactly_near_113p88,assessment
last_1_hour,lower_bound,65,57804.9907243,57955.8974093,150.906684931,57900.9775998,39.9838468476,57804.9907243,57955.8974093,150.906684931,,DESCRIPTIVE_ONLY
last_1_hour,stage1_total_production,65,113.88,113.88,0,113.626668767,0.874719107277,109.98,113.88,3.9,0.907692307692,MIXED_STABILITY_MOSTLY_113.88_WITH_OCCASIONAL_109.98
last_1_hour,cut_count,65,296382,363646,67264,330014,19871.9615916,296382,363646,67264,,DESCRIPTIVE_ONLY
last_1_hour,stage1_end_inventory_total,65,241.507481134,241.507481134,0,241.254149901,0.874719107277,237.607481134,241.507481134,3.9,,DESCRIPTIVE_ONLY
last_1_hour,stage2_end_inventory_total,65,182.014475204,182.014475204,0,199.2421713,37.176779465,178.114475204,302.134475204,124.02,,DESCRIPTIVE_ONLY
last_1_hour,stage3_end_inventory_total,65,160.308409272,160.308409272,0,195.886518216,68.5309943197,136.518409272,371.306343625,234.787934353,,DESCRIPTIVE_ONLY
last_50_iterations,lower_bound,50,57868.3151796,57955.8974093,87.582229631,57918.5967703,24.5823567903,57868.3151796,57955.8974093,87.582229631,,DESCRIPTIVE_ONLY
last_50_iterations,stage1_total_production,50,113.88,113.88,0,113.550669397,0.986822349759,109.98,113.88,3.9,0.88,MIXED_STABILITY_MOSTLY_113.88_WITH_OCCASIONAL_109.98
last_50_iterations,cut_count,50,312147,363646,51499,337896.5,15320.8261037,312147,363646,51499,,DESCRIPTIVE_ONLY
last_50_iterations,stage1_end_inventory_total,50,241.507481134,241.507481134,0,241.178150532,0.986822349759,237.607481134,241.507481134,3.9,,DESCRIPTIVE_ONLY
last_50_iterations,stage2_end_inventory_total,50,302.134475204,182.014475204,-120.12,195.738377368,32.4047211651,178.114475204,302.134475204,124.02,,DESCRIPTIVE_ONLY
last_50_iterations,stage3_end_inventory_total,50,371.306343625,160.308409272,-210.997934353,191.064515477,61.8242745975,136.518409272,371.306343625,234.787934353,,DESCRIPTIVE_ONLY
last_100_iterations,lower_bound,100,57785.0181654,57955.8974093,170.879243829,57861.33105,63.1499557455,57785.0181654,57955.8974093,170.879243829,,DESCRIPTIVE_ONLY
last_100_iterations,stage1_total_production,100,113.88,113.88,0,113.715334699,0.713708236934,109.98,113.88,3.9,0.94,MIXED_STABILITY_MOSTLY_113.88_WITH_OCCASIONAL_109.98
last_100_iterations,cut_count,100,259597,363646,104049,311621.5,30491.0780667,259597,363646,104049,,DESCRIPTIVE_ONLY
last_100_iterations,stage1_end_inventory_total,100,241.507481134,241.507481134,0,241.342815833,0.713708236934,237.607481134,241.507481134,3.9,,DESCRIPTIVE_ONLY
last_100_iterations,stage2_end_inventory_total,100,182.014475204,182.014475204,0,197.754789169,34.1162463979,178.114475204,302.134475204,124.02,,DESCRIPTIVE_ONLY
last_100_iterations,stage3_end_inventory_total,100,145.293409272,160.308409272,15.015,188.624760757,62.1380091429,136.518409272,371.306343625,234.787934353,,DESCRIPTIVE_ONLY
source_availability,training_hourly_snapshot.csv,,,,,,,,,,,NOT_AVAILABLE_FROM_SAVED_DATA
