candidate,stage,site,Pmax_kW,P_EL_kWh,mean_Pmax_utilization,max_P_EL_kW,hours_ge90pct,hours_ge95pct,hours_ge99pct,production_kg,begin_inventory_kg,end_inventory_kg,ordinary_shortage_kg,HTT_in_kg,HTT_out_kg,tank_headroom_kg,tank_capacity_hits,near_tank_capacity_hours,P_EL_std_kW
ARM-B0001,1,1,300,2400,1,300,8,8,8,46.8,58.0445570448695,90.0053559615926,0,0,0,209.994644038407,0,0,0
ARM-B0001,1,2,200,1200,0.75,200,6,6,6,23.4,50.3081379386248,61.0621752057055,0,0,0,138.937824794294,0,0,92.5820099772551
ARM-B0001,1,3,120,840,0.875,120,7,7,7,16.38,25.2621334423093,37.6776415005701,0,0,0,62.3223584994299,0,0,42.4264068711929
ARM-B0001,1,4,187.5,1500,1,187.5,8,8,8,29.25,33.0235808462428,54.7123084666148,0,0,0,145.287691533385,0,0,0
ARM-B0001,2,1,300,0,0,0,0,0,0,0,90.0053559615926,67.5324378844091,0,0,0,232.467562115591,0,0,0
ARM-B0001,2,2,200,0,0,0,0,0,0,0,61.0621752057055,46.4037901125378,0,0,0,153.596209887462,0,0,0
ARM-B0001,2,3,120,0,0,0,0,0,0,0,37.6776415005701,28.6029194459291,0,0,0,71.3970805540709,0,0,0
ARM-B0001,2,4,187.5,0,0,0,0,0,0,0,54.7123084666148,41.425327760896,0,0,0,158.574672239104,0,0,0
ARM-B0001,3,1,300,300,0.125,300,1,1,1,5.85,67.5324378844091,55.6945570448695,0,0,0,244.305442955131,0,0,106.066017177982
ARM-B0001,3,2,200,200,0.125,200,1,1,1,3.9,46.4037901125378,41.6081379386248,0,0,0,158.391862061375,0,0,70.7106781186548
ARM-B0001,3,3,120,0,0,0,0,0,0,0,28.6029194459291,18.6421334423093,0,0,0,81.3578665576907,0,0,0
ARM-B0001,3,4,187.5,187.5,0.125,187.5,1,1,1,3.65625,41.425327760896,35.9298308462428,0,0,0,164.070169153757,0,0,66.2912607362388
ARM-B0001,4,1,300,0,0,0,0,0,0,0,55.6945570448695,40.8553559615926,0,0,0,259.144644038407,0,0,0
ARM-B0001,4,2,200,0,0,0,0,0,0,0,41.6081379386248,28.9621752057055,0,0,0,171.037824794294,0,0,0
ARM-B0001,4,3,120,0,0,0,0,0,0,0,18.6421334423093,14.6776415005701,0,0,0,85.3223584994299,0,0,0
ARM-B0001,4,4,187.5,0,0,0,0,0,0,0,35.9298308462428,28.3685584666148,0,0,0,171.631441533385,0,0,0
ARM-B0001,5,1,300,0,0,0,0,0,0,0,40.8553559615926,18.3824378844091,0,0,0,281.617562115591,0,0,0
ARM-B0001,5,2,200,0,0,0,0,0,0,0,28.9621752057055,14.3037901125378,0,0,0,185.696209887462,0,0,0
ARM-B0001,5,3,120,0,0,0,0,0,0,0,14.6776415005701,5.60291944592908,0,0,0,94.3970805540709,0,0,0
ARM-B0001,5,4,187.5,0,0,0,0,0,0,0,28.3685584666148,15.081577760896,0,0,0,184.918422239104,0,0,0
ARM-B0001,6,1,300,0,0,0,0,0,0,0,18.3824378844091,0.694557044869458,0,0,0,299.305442955131,0,0,0
ARM-B0001,6,2,200,0,0,0,0,0,0,0,14.3037901125378,1.25027138093408,0,0,4.35786655769067,198.749728619066,0,0,0
ARM-B0001,6,3,120,0,0,0,0,0,0,0,5.60291944592908,0,0,4.35786655769067,0,100,0,0,0
ARM-B0001,6,4,187.5,0,0,0,0,0,0,0,15.081577760896,5.92983084624277,0,0,0,194.070169153757,0,0,0
