candidate,stage,hour_in_stage,global_hour,site,bus,Pmax_kW,P_EL_kW,Pmax_utilization,production_kg,begin_inventory_kg,inventory_pre_HTT_kg,end_inventory_kg,tank_capacity_kg,tank_headroom_kg,ordinary_demand_kg,ordinary_served_kg,ordinary_shortage_kg,HTT_in_kg,HTT_out_kg,site_voltage_pu,P_EL_ge90pct,P_EL_ge99pct,tank_binding
ARM-B0001,1,1,1,1,24,300,300,1,5.85,58.0445570448695,62.9636159480516,62.9636159480516,300,237.036384051948,0.930941096817874,0.930941096817874,0,0,0,0.973782529259848,1,1,0
ARM-B0001,1,2,2,1,24,300,300,1,5.85,62.9636159480516,68.3481453996427,68.3481453996427,300,231.651854600357,0.465470548408937,0.465470548408937,0,0,0,0.974991634805536,1,1,0
ARM-B0001,1,3,3,1,24,300,300,1,5.85,68.3481453996427,73.7326748512337,73.7326748512337,300,226.267325148766,0.465470548408937,0.465470548408937,0,0,0,0.975387152035777,1,1,0
ARM-B0001,1,4,4,1,24,300,300,1,5.85,73.7326748512337,79.1172043028248,79.1172043028248,300,220.882795697175,0.465470548408937,0.465470548408937,0,0,0,0.975789690920206,1,1,0
ARM-B0001,1,5,5,1,24,300,300,1,5.85,79.1172043028248,84.0362632060069,84.0362632060069,300,215.963736793993,0.930941096817874,0.930941096817874,0,0,0,0.97603400662557,1,1,0
ARM-B0001,1,6,6,1,24,300,300,1,5.85,84.0362632060069,88.0243810123712,88.0243810123712,300,211.975618987629,1.86188219363575,1.86188219363575,0,0,0,0.976594270926022,1,1,0
ARM-B0001,1,7,7,1,24,300,300,1,5.85,88.0243810123712,89.5548143231362,89.5548143231362,300,210.445185676864,4.31956668923494,4.31956668923494,0,0,0,0.977743462709407,1,1,0
ARM-B0001,1,8,8,1,24,300,300,1,5.85,89.5548143231362,90.0053559615926,90.0053559615926,300,209.994644038407,5.39945836154367,5.39945836154367,0,0,0,0.976986333482397,1,1,0
ARM-B0001,1,1,1,2,14,200,200,1,3.9,50.3081379386248,53.8975789324136,53.8975789324136,200,146.102421067586,0.31055900621118,0.31055900621118,0,0,0,0.918509941720992,1,1,0
ARM-B0001,1,2,2,2,14,200,200,1,3.9,53.8975789324136,57.4870199262024,57.4870199262024,200,142.512980073798,0.31055900621118,0.31055900621118,0,0,0,0.922223598860619,1,1,0
