method,global_hour,denominator_hour_records,limited_hour_records,hourly_grid_limited_frequency
saa,1,10000,0,0
saa,2,10000,0,0
saa,3,10000,0,0
saa,4,10000,0,0
saa,5,10000,0,0
saa,6,10000,0,0
saa,7,10000,0,0
saa,8,10000,0,0
saa,9,8914,0,0
saa,10,8914,0,0
saa,11,8914,0,0
saa,12,8914,0,0
saa,13,8914,0,0
saa,14,8914,0,0
saa,15,8914,0,0
saa,16,8914,0,0
saa,17,7936,0,0
saa,18,7936,0,0
saa,19,7936,0,0
saa,20,7936,1048,0.132056451612903
saa,21,7936,1048,0.132056451612903
saa,22,7936,1636,0.206149193548387
saa,23,7936,7710,0.971522177419355
saa,24,7936,0,0
saa,25,5788,0,0
saa,26,5788,0,0
saa,27,5788,0,0
saa,28,5788,0,0
saa,29,5788,0,0
saa,30,5788,0,0
saa,31,5788,0,0
saa,32,5788,0,0
saa,33,2476,0,0
saa,34,2476,0,0
saa,35,2476,0,0
saa,36,2476,0,0
saa,37,2476,0,0
saa,38,2476,0,0
saa,39,2476,0,0
saa,40,2476,0,0
saa,41,427,0,0
saa,42,427,0,0
saa,43,427,0,0
saa,44,427,50,0.117096018735363
saa,45,427,56,0.131147540983607
saa,46,427,84,0.19672131147541
saa,47,427,278,0.651053864168618
saa,48,427,0,0
