method,global_hour,path_hour_count,total_p_el_mean_kw,site1_p_el_mean_kw,site2_p_el_mean_kw,site3_p_el_mean_kw,site4_p_el_mean_kw,pv_available_mean_kwh,pv_used_mean_kwh,pv_curtailed_mean_kwh,grid_import_mean_kwh,minimum_voltage_mean_pu,minimum_voltage_min_pu,max_branch_mva_mean,max_branch_mva_max,max_branch_utilization_mean,max_branch_utilization_max,mode_min_voltage_bus,mode_max_loading_branch_index,site3_hourly_grid_limited_frequency,unit_note
chi2_eta003,1,10000,770,300,200,120,150,0,0,0,3679.00102999994,0.912081659455715,0.912081659455724,4.09617349876121,4.09617349876108,0.682695583126828,0.682695583126847,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,2,10000,770,300,200,120,150,0,0,0,3511.00129999984,0.916065565424306,0.916065565424307,3.8996014684579,3.89960146845773,0.649933578076325,0.649933578076288,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,3,10000,770,300,200,120,150,0,0,0,3456.00072500009,0.917366076845458,0.917366076845495,3.8352695032409,3.83526950324104,0.639211583873489,0.639211583873507,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,4,10000,770,300,200,120,150,0,0,0,3400.00081500017,0.918688326452676,0.91868832645269,3.769781183657,3.7697811836571,0.628296863942824,0.628296863942851,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,5,10000,770,300,200,120,150,0,0,0,3366.00113500002,0.919490186928417,0.919490186928441,3.73002717586856,3.73002717586848,0.621671195978043,0.62167119597808,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,6,10000,770,300,200,120,150,0,0,0,3288.00099499991,0.921327132775076,0.921327132775077,3.63884518344926,3.6388451834493,0.606474197241578,0.606474197241551,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,7,10000,770,300,200,120,150,0,0,0,3232.0010850001,0.922643705772268,0.922643705772219,3.57339899191293,3.573398991913,0.595566498652186,0.595566498652167,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,8,10000,770,300,200,120,150,0,0,0,3400.00081500017,0.918688326452676,0.91868832645269,3.769781183657,3.7697811836571,0.628296863942824,0.628296863942851,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,9,8914,770,300,200,120,150,11.9752000000005,11.9752000000005,0,3734.02585500009,0.910928863785319,0.910928863785294,4.16385289723742,4.16385289723747,0.693975482872925,0.693975482872912,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,10,8914,770,300,200,120,150,34.5872000000003,34.5872000000003,0,3711.41385500017,0.911760785490063,0.911760785490082,4.1435871738278,4.14358717382781,0.690597862304667,0.690597862304636,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,11,8914,770,300,200,120,150,75.9904000000007,75.9904000000007,0,3827.01027000019,0.909548181637501,0.909548181637472,4.29049601127373,4.29049601127378,0.715082668545621,0.71508266854563,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,12,8914,770,300,200,120,150,139.536800000002,139.536800000002,0,3875.46368999984,0.909221535062717,0.909221535062753,4.36524585026142,4.3652458502615,0.727540975043608,0.727540975043584,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,13,8914,758.119329820399,300,199.763933814118,108.355396006282,150,175.782400000006,175.782400000006,0,3883.33732982054,0.910114758292113,0.909223111477897,4.38830951140133,4.39879346058303,0.731384918566877,0.733132243430504,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,14,8914,700.643930895221,300,156.652456809513,93.9914740857079,150,268.003999999999,268.003999999999,0,3834.64003589538,0.913234698969091,0.910215566612005,4.37547737203433,4.43591481800798,0.72924622867235,0.739319136334664,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,15,8914,770,300,200,120,150,308.467199999997,308.467199999997,0,3762.53320000018,0.914103035047265,0.914103035047291,4.28174225315419,4.28174225315423,0.713623708859062,0.713623708859038,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,16,8914,770,300,200,120,150,265.931999999991,265.931999999991,0,3805.06840000015,0.912541503933469,0.912541503933492,4.31916730053654,4.31916730053636,0.719861216756048,0.71986121675606,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,17,7936,745.379154206977,298.884113733298,185.280374403855,111.724680307569,149.489985762255,218.449599999996,218.449599999996,0,3793.93027420694,0.912759747211703,0.911603994722817,4.29960559210057,4.32115710813757,0.716600932016759,0.720192851356261,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,18,7936,616.721688939905,296.134377798908,112.937049053182,59.5349270305763,148.115335057239,142.019200000002,142.019200000002,0,3607.70315893991,0.919752029608064,0.911979008079782,4.09682801013384,4.2317053339941,0.682804668355627,0.70528422233235,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,19,7936,240.588425091074,132.981668409025,35.9081664071001,21.5759932357979,50.1225970391503,42.2304000000004,42.2304000000004,0,3409.35883509118,0.924309008862228,0.906439466081737,3.949281842332,4.41202106827504,0.658213640388686,0.735336844712506,18,1,0,p.u./kW/kWh/MVA
chi2_eta003,20,7936,131.666045199013,61.5827334127866,32.2845328988365,9.72615968785209,28.0726191995368,0,0,0,3756.66645519895,0.914953686526166,0.9,4.37789124528862,4.87591690153901,0.729648540881441,0.812652816923168,18,1,0.15788810483871,p.u./kW/kWh/MVA
chi2_eta003,21,7936,154.845120140534,79.3546476678823,34.4669677769152,5.26806488303457,35.7554398127031,0,0,0,3869.84512014055,0.912846116602924,0.9,4.50358842173562,4.95640698938082,0.750598070289296,0.82606783156347,18,1,0.170866935483871,p.u./kW/kWh/MVA
chi2_eta003,22,7936,534.393633914809,295.436112922837,82.5777485049406,24.0301506794412,132.349621807583,0,0,0,4159.39404391479,0.908526734978732,0.9,4.72682293099821,4.87591690153901,0.787803821833058,0.812652816923168,18,1,0.401965725806452,p.u./kW/kWh/MVA
chi2_eta003,23,7936,717.492365204104,300,199.852081274545,67.6402839295713,150,0,0,0,4298.49231520416,0.90000000000003,0.9,4.83655852055836,4.8365984209377,0.806093086759727,0.80609973682295,18,1,0.99836189516129,p.u./kW/kWh/MVA
chi2_eta003,24,7936,770,300,200,120,150,0,0,0,4071.00040000007,0.902717507319262,0.902717507319239,4.55518439782018,4.55518439782015,0.759197399636677,0.759197399636692,18,1,0,p.u./kW/kWh/MVA
