method,global_hour,denominator_hour_records,limited_hour_records,hourly_grid_limited_frequency
chi2_eta003,1,10000,0,0
chi2_eta003,2,10000,0,0
chi2_eta003,3,10000,0,0
chi2_eta003,4,10000,0,0
chi2_eta003,5,10000,0,0
chi2_eta003,6,10000,0,0
chi2_eta003,7,10000,0,0
chi2_eta003,8,10000,0,0
chi2_eta003,9,8914,0,0
chi2_eta003,10,8914,0,0
chi2_eta003,11,8914,0,0
chi2_eta003,12,8914,0,0
chi2_eta003,13,8914,0,0
chi2_eta003,14,8914,0,0
chi2_eta003,15,8914,0,0
chi2_eta003,16,8914,0,0
chi2_eta003,17,7936,0,0
chi2_eta003,18,7936,0,0
chi2_eta003,19,7936,0,0
chi2_eta003,20,7936,1253,0.15788810483871
chi2_eta003,21,7936,1356,0.170866935483871
chi2_eta003,22,7936,3190,0.401965725806452
chi2_eta003,23,7936,7923,0.99836189516129
chi2_eta003,24,7936,0,0
chi2_eta003,25,5788,0,0
chi2_eta003,26,5788,0,0
chi2_eta003,27,5788,0,0
chi2_eta003,28,5788,0,0
chi2_eta003,29,5788,0,0
chi2_eta003,30,5788,0,0
chi2_eta003,31,5788,0,0
chi2_eta003,32,5788,0,0
chi2_eta003,33,2476,0,0
chi2_eta003,34,2476,0,0
chi2_eta003,35,2476,0,0
chi2_eta003,36,2476,0,0
chi2_eta003,37,2476,0,0
chi2_eta003,38,2476,0,0
chi2_eta003,39,2476,0,0
chi2_eta003,40,2476,0,0
chi2_eta003,41,427,0,0
chi2_eta003,42,427,0,0
chi2_eta003,43,427,0,0
chi2_eta003,44,427,41,0.0960187353629977
chi2_eta003,45,427,47,0.110070257611241
chi2_eta003,46,427,74,0.173302107728337
chi2_eta003,47,427,262,0.613583138173302
chi2_eta003,48,427,0,0
