method,global_hour,path_hour_count,total_p_el_mean_kw,site1_p_el_mean_kw,site2_p_el_mean_kw,site3_p_el_mean_kw,site4_p_el_mean_kw,pv_available_mean_kwh,pv_used_mean_kwh,pv_curtailed_mean_kwh,grid_import_mean_kwh,minimum_voltage_mean_pu,minimum_voltage_min_pu,max_branch_mva_mean,max_branch_mva_max,max_branch_utilization_mean,max_branch_utilization_max,mode_min_voltage_bus,mode_max_loading_branch_index,site3_hourly_grid_limited_frequency,unit_note
saa,1,10000,770,300,200,120,150,0,0,0,3679.00102999994,0.912081659455715,0.912081659455724,4.09617349876121,4.09617349876108,0.682695583126828,0.682695583126847,18,1,0,p.u./kW/kWh/MVA
saa,2,10000,770,300,200,120,150,0,0,0,3511.00129999984,0.916065565424306,0.916065565424307,3.8996014684579,3.89960146845773,0.649933578076325,0.649933578076288,18,1,0,p.u./kW/kWh/MVA
saa,3,10000,770,300,200,120,150,0,0,0,3456.00072500009,0.917366076845458,0.917366076845495,3.8352695032409,3.83526950324104,0.639211583873489,0.639211583873507,18,1,0,p.u./kW/kWh/MVA
saa,4,10000,770,300,200,120,150,0,0,0,3400.00081500017,0.918688326452676,0.91868832645269,3.769781183657,3.7697811836571,0.628296863942824,0.628296863942851,18,1,0,p.u./kW/kWh/MVA
saa,5,10000,770,300,200,120,150,0,0,0,3366.00113500002,0.919490186928417,0.919490186928441,3.73002717586856,3.73002717586848,0.621671195978043,0.62167119597808,18,1,0,p.u./kW/kWh/MVA
saa,6,10000,770,300,200,120,150,0,0,0,3288.00099499991,0.921327132775076,0.921327132775077,3.63884518344926,3.6388451834493,0.606474197241578,0.606474197241551,18,1,0,p.u./kW/kWh/MVA
saa,7,10000,770,300,200,120,150,0,0,0,3232.0010850001,0.922643705772268,0.922643705772219,3.57339899191293,3.573398991913,0.595566498652186,0.595566498652167,18,1,0,p.u./kW/kWh/MVA
saa,8,10000,770,300,200,120,150,0,0,0,3400.00081500017,0.918688326452676,0.91868832645269,3.769781183657,3.7697811836571,0.628296863942824,0.628296863942851,18,1,0,p.u./kW/kWh/MVA
saa,9,8914,770,300,200,120,150,11.9752000000005,11.9752000000005,0,3734.02585500009,0.910928863785319,0.910928863785294,4.16385289723742,4.16385289723747,0.693975482872925,0.693975482872912,18,1,0,p.u./kW/kWh/MVA
saa,10,8914,769.282028270137,300,199.551267668836,119.730760601301,150,34.5872000000003,34.5872000000003,0,3710.69588327031,0.911800461028735,0.911760785490082,4.14294997294311,4.14358717382781,0.690491662157219,0.690597862304636,18,1,0,p.u./kW/kWh/MVA
