method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
saa,1,1,10000,1,1,1,1,1,0,0,p.u.
saa,1,2,10000,1,1,1,1,1,0,0,p.u.
saa,1,3,10000,1,1,1,1,1,0,0,p.u.
saa,1,4,10000,1,1,1,1,1,0,0,p.u.
saa,1,5,10000,1,1,1,1,1,0,0,p.u.
saa,1,6,10000,1,1,1,1,1,0,0,p.u.
saa,1,7,10000,1,1,1,1,1,0,0,p.u.
saa,1,8,10000,1,1,1,1,1,0,0,p.u.
saa,1,9,8914,1,1,1,1,1,0,0,p.u.
saa,1,10,8914,1,1,1,1,1,0,0,p.u.
saa,1,11,8914,1,1,1,1,1,0,0,p.u.
saa,1,12,8914,1,1,1,1,1,0,0,p.u.
saa,1,13,8914,1,1,1,1,1,0,0,p.u.
saa,1,14,8914,1,1,1,1,1,0,0,p.u.
saa,1,15,8914,1,1,1,1,1,0,0,p.u.
saa,1,16,8914,1,1,1,1,1,0,0,p.u.
saa,1,17,7936,1,1,1,1,1,0,0,p.u.
saa,1,18,7936,1,1,1,1,1,0,0,p.u.
saa,1,19,7936,1,1,1,1,1,0,0,p.u.
saa,1,20,7936,1,1,1,1,1,0,0,p.u.
saa,1,21,7936,1,1,1,1,1,0,0,p.u.
saa,1,22,7936,1,1,1,1,1,0,0,p.u.
saa,1,23,7936,1,1,1,1,1,0,0,p.u.
saa,1,24,7936,1,1,1,1,1,0,0,p.u.
saa,1,25,5788,1,1,1,1,1,0,0,p.u.
saa,1,26,5788,1,1,1,1,1,0,0,p.u.
saa,1,27,5788,1,1,1,1,1,0,0,p.u.
saa,1,28,5788,1,1,1,1,1,0,0,p.u.
saa,1,29,5788,1,1,1,1,1,0,0,p.u.
saa,1,30,5788,1,1,1,1,1,0,0,p.u.
saa,1,31,5788,1,1,1,1,1,0,0,p.u.
saa,1,32,5788,1,1,1,1,1,0,0,p.u.
saa,1,33,2476,1,1,1,1,1,0,0,p.u.
saa,1,34,2476,1,1,1,1,1,0,0,p.u.
saa,1,35,2476,1,1,1,1,1,0,0,p.u.
saa,1,36,2476,1,1,1,1,1,0,0,p.u.
saa,1,37,2476,1,1,1,1,1,0,0,p.u.
saa,1,38,2476,1,1,1,1,1,0,0,p.u.
saa,1,39,2476,1,1,1,1,1,0,0,p.u.
saa,1,40,2476,1,1,1,1,1,0,0,p.u.
saa,1,41,427,1,1,1,1,1,0,0,p.u.
saa,1,42,427,1,1,1,1,1,0,0,p.u.
saa,1,43,427,1,1,1,1,1,0,0,p.u.
saa,1,44,427,1,1,1,1,1,0,0,p.u.
saa,1,45,427,1,1,1,1,1,0,0,p.u.
saa,1,46,427,1,1,1,1,1,0,0,p.u.
saa,1,47,427,1,1,1,1,1,0,0,p.u.
saa,1,48,427,1,1,1,1,1,0,0,p.u.
saa,2,1,10000,0.997344095350997,0.997344095350982,0.997344095350982,0.997344095350982,0.997344095350982,0,0,p.u.
saa,2,2,10000,0.997472025153914,0.997472025153933,0.997472025153933,0.997472025153933,0.997472025153933,0,0,p.u.
saa,2,3,10000,0.997513903874908,0.997513903874905,0.997513903874905,0.997513903874905,0.997513903874905,0,0,p.u.
saa,2,4,10000,0.997556541706529,0.99755654170653,0.99755654170653,0.99755654170653,0.99755654170653,0,0,p.u.
saa,2,5,10000,0.997582427870346,0.997582427870302,0.997582427870302,0.997582427870302,0.997582427870302,0,0,p.u.
saa,2,6,10000,0.997641811902945,0.997641811902935,0.997641811902935,0.997641811902935,0.997641811902935,0,0,p.u.
saa,2,7,10000,0.997684444268133,0.997684444268182,0.997684444268182,0.997684444268182,0.997684444268182,0,0,p.u.
saa,2,8,10000,0.997556541706529,0.99755654170653,0.99755654170653,0.99755654170653,0.99755654170653,0,0,p.u.
saa,2,9,8914,0.997299978566091,0.997299978566055,0.997299978566055,0.997299978566055,0.997299978566055,0,0,p.u.
saa,2,10,8914,0.997313435550428,0.997313021456214,0.997313021456214,0.997313021456214,0.997313021456214,0,0,p.u.
saa,2,11,8914,0.997217747999109,0.997217333865188,0.997217333865188,0.997217333865188,0.997217333865188,0,0,p.u.
saa,2,12,8914,0.997212483350529,0.997168687483474,0.997168687483474,0.997168687483474,0.997168687483474,0,0,p.u.
saa,2,13,8914,0.99726540524974,0.997146943556173,0.997146943556173,0.997331536089062,0.997146943556173,0,0,p.u.
saa,2,14,8914,0.997274268425085,0.997123216163362,0.997123216163362,0.997307813087974,0.997123216163362,0,0,p.u.
saa,2,15,8914,0.997234951376382,0.997223487150685,0.997223487150685,0.997223487150685,0.997223487150685,0,0,p.u.
saa,2,16,8914,0.997198949960253,0.997198949960266,0.997198949960266,0.997198949960266,0.997198949960266,0,0,p.u.
saa,2,17,7936,0.99730412412326,0.997197454333421,0.997197454333421,0.99732737463822,0.997197454333421,0,0,p.u.
saa,2,18,7936,0.997450075294882,0.997255422797718,0.997255422797718,0.997439995254754,0.997255422797718,0,0,p.u.
saa,2,19,7936,0.997503972792224,0.997138448262981,0.997138448262981,0.997582570037794,0.997138448262981,0,0,p.u.
saa,2,20,7936,0.997188678177645,0.996836939327739,0.996836939327739,0.997242959298409,0.996836939327739,0,0,p.u.
saa,2,21,7936,0.997118172077105,0.996784681345933,0.996784681345933,0.997174411975355,0.996784681345933,0,0,p.u.
saa,2,22,7936,0.997052184220179,0.996836939327739,0.996836939327739,0.997069889426285,0.996836939327739,0,0,p.u.
saa,2,23,7936,0.99686559702003,0.996862487060825,0.996862487060825,0.996862487060825,0.996862487060825,0,0,p.u.
saa,2,24,7936,0.997045551905686,0.997045528643147,0.997045528643147,0.997045528643147,0.997045528643147,0,0,p.u.
saa,2,25,5788,0.997355165206497,0.997344095350982,0.997344095350982,0.997344095350982,0.997344095350982,0,0,p.u.
saa,2,26,5788,0.997481933931593,0.997472025153933,0.997472025153933,0.997472025153933,0.997472025153933,0,0,p.u.
