method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
chi2_eta003,2,17,7936,0.997211656245841,0.997197454333421,0.997197454333421,0.997197454333421,0.997197454333421,0,0,p.u.
chi2_eta003,2,18,7936,0.997343831842401,0.997255422797718,0.997255422797718,0.997341068588312,0.997255422797718,0,0,p.u.
chi2_eta003,2,19,7936,0.997443809832822,0.997138448262981,0.997138448262981,0.997582570037794,0.997138448262981,0,0,p.u.
chi2_eta003,2,20,7936,0.997166993530627,0.996836939327739,0.996836939327739,0.997242959298409,0.996836939327739,0,0,p.u.
chi2_eta003,2,21,7936,0.997085068222638,0.996784681345933,0.996784681345933,0.997174411975355,0.996784681345933,0,0,p.u.
chi2_eta003,2,22,7936,0.996934642910301,0.996836939327739,0.996836939327739,0.996983343223794,0.996836939327739,0,0,p.u.
chi2_eta003,2,23,7936,0.996862512982297,0.996862487060825,0.996862487060825,0.996862487060825,0.996862487060825,0,0,p.u.
chi2_eta003,2,24,7936,0.997045528643173,0.997045528643147,0.997045528643147,0.997045528643147,0.997045528643147,0,0,p.u.
chi2_eta003,2,25,5788,0.997348150119257,0.997344095350982,0.997344095350982,0.997344095350982,0.997344095350982,0,0,p.u.
chi2_eta003,2,26,5788,0.997475523029795,0.997472025153933,0.997472025153933,0.997472025153933,0.997472025153933,0,0,p.u.
chi2_eta003,2,27,5788,0.99751819069087,0.997513903874905,0.997513903874905,0.997513903874905,0.997513903874905,0,0,p.u.
chi2_eta003,2,28,5788,0.997561268521901,0.99755654170653,0.99755654170653,0.99755654170653,0.99755654170653,0,0,p.u.
chi2_eta003,2,29,5788,0.99759616246249,0.997582427870302,0.997582427870302,0.997582427870302,0.997582427870302,0,0,p.u.
chi2_eta003,2,30,5788,0.997681881221466,0.997641811902935,0.997641811902935,0.997641811902935,0.997641811902935,0,0,p.u.
chi2_eta003,2,31,5788,0.997789751742705,0.997684444268182,0.997684444268182,0.997684444268182,0.997684444268182,0,0,p.u.
chi2_eta003,2,32,5788,0.997821377318085,0.99755654170653,0.99755654170653,0.997894591316516,0.99755654170653,0,0,p.u.
chi2_eta003,2,33,2476,0.99760094275393,0.997299978566055,0.997299978566055,0.997744028439538,0.997299978566055,0,0,p.u.
chi2_eta003,2,34,2476,0.99766437749835,0.997313021456214,0.997313021456214,0.997757065524985,0.997313021456214,0,0,p.u.
chi2_eta003,2,35,2476,0.99757391371112,0.997217333865188,0.997217333865188,0.997661420523065,0.997217333865188,0,0,p.u.
chi2_eta003,2,36,2476,0.997534872717501,0.997168687483474,0.997168687483474,0.997612795796255,0.997168687483474,0,0,p.u.
chi2_eta003,2,37,2476,0.997519648478427,0.997146943556173,0.997146943556173,0.997591061548931,0.997146943556173,0,0,p.u.
chi2_eta003,2,38,2476,0.997501337256266,0.997123216163362,0.997123216163362,0.99756734471958,0.997123216163362,0,0,p.u.
chi2_eta003,2,39,2476,0.997584792013742,0.997223487150685,0.997223487150685,0.997667571069581,0.997223487150685,0,0,p.u.
