path_id,terminal_gap_class,final_target_kg,final_inventory_kg,final_total_margin_kg,final_site_shortfall_kg,final_site_surplus_kg,arrival_stage,final_intensity,final_location,production_last24h_kg,production_last16h_kg,production_last8h_kg,HTT_last24h_kg,ordinary_shortage_last24h_kg,mean_system_electrolyzer_utilization_last16h,final_state_confirmation_timing,total_inventory_minus24h_kg,inventory_minus_target_minus24h_kg,production_minus24h_kg,HTT_minus24h_kg,ordinary_shortage_minus24h_kg,storm_intensity_minus24h,storm_location_minus24h,system_electrolyzer_utilization_minus24h,inventory_site1_minus24h_kg,gap_site1_minus24h_kg,inventory_site2_minus24h_kg,gap_site2_minus24h_kg,inventory_site3_minus24h_kg,gap_site3_minus24h_kg,inventory_site4_minus24h_kg,gap_site4_minus24h_kg,total_inventory_minus16h_kg,inventory_minus_target_minus16h_kg,production_minus16h_kg,HTT_minus16h_kg,ordinary_shortage_minus16h_kg,storm_intensity_minus16h,storm_location_minus16h,system_electrolyzer_utilization_minus16h,inventory_site1_minus16h_kg,gap_site1_minus16h_kg,inventory_site2_minus16h_kg,gap_site2_minus16h_kg,inventory_site3_minus16h_kg,gap_site3_minus16h_kg,inventory_site4_minus16h_kg,gap_site4_minus16h_kg,total_inventory_minus8h_kg,inventory_minus_target_minus8h_kg,production_minus8h_kg,HTT_minus8h_kg,ordinary_shortage_minus8h_kg,storm_intensity_minus8h,storm_location_minus8h,system_electrolyzer_utilization_minus8h,inventory_site1_minus8h_kg,gap_site1_minus8h_kg,inventory_site2_minus8h_kg,gap_site2_minus8h_kg,inventory_site3_minus8h_kg,gap_site3_minus8h_kg,inventory_site4_minus8h_kg,gap_site4_minus8h_kg,total_inventory_minus4h_kg,inventory_minus_target_minus4h_kg,production_minus4h_kg,HTT_minus4h_kg,ordinary_shortage_minus4h_kg,storm_intensity_minus4h,storm_location_minus4h,system_electrolyzer_utilization_minus4h,inventory_site1_minus4h_kg,gap_site1_minus4h_kg,inventory_site2_minus4h_kg,gap_site2_minus4h_kg,inventory_site3_minus4h_kg,gap_site3_minus4h_kg,inventory_site4_minus4h_kg,gap_site4_minus4h_kg,total_inventory_t0h_kg,inventory_minus_target_t0h_kg,production_t0h_kg,HTT_t0h_kg,ordinary_shortage_t0h_kg,storm_intensity_t0h,storm_location_t0h,system_electrolyzer_utilization_t0h,inventory_site1_t0h_kg,gap_site1_t0h_kg,inventory_site2_t0h_kg,gap_site2_t0h_kg,inventory_site3_t0h_kg,gap_site3_t0h_kg,inventory_site4_t0h_kg,gap_site4_t0h_kg
11,PURE_SPATIAL_MISMATCH,395.525364721,455.666444842,60.1410801205,53.0799968209,113.221076941,5,4,2,354.907934353,240.24,120.12,70.3701988337,62.7440352854,1,after Stage5,182.014475204,-213.510889518,0,0,0,2,5,0,67.5324378844,100.789061007,50.3037901125,9.97431315612,28.6029194459,5.76415351225,35.5753277609,96.9833618424,251.186343625,-144.339021097,15.015,0,0,3,6,1,96.6445570449,71.6769418464,72.8081379386,0,31.9100677951,2.4570051631,49.8235808462,82.735108757,371.306343625,-24.2190210966,15.015,0,12.6236463422,4,4,1,201.603555827,0,75.2133719598,0,18.5313043324,15.8357686258,75.9581115061,56.6005780972,415.332527527,19.8071628061,15.015,0,2.1904139163,4,6,1,214.632872008,0,97.3023818755,0,21.4022944167,12.9647785415,81.9949792273,50.563710376,455.666444842,60.1410801205,15.015,2.98765947656,4.49316224172,4,6,1,225.930637749,0,115.890041352,0,30.7622944167,3.60477854145,83.0834713238,49.4752182794
16,PURE_SPATIAL_MISMATCH,395.525364721,416.802409557,21.2770448351,42.2756145101,63.5526593452,3,4,2,348.667934353,234.787934353,114.667934353,166.349979021,45.4960659317,0.977305754049,after Stage3,,,,,,,,,,,,,,,,,241.507481134,-154.017883587,8.775,0,0,2,4,0.584415584416,90.0053559616,78.3161429297,64.9621752057,0,37.6776415006,0,48.8623084666,83.6963811367,302.134475204,-93.3908895176,15.015,8.41241787245,0,3,2,1,210.579215335,0,31.9823405003,28.2957627684,0.597591607859,33.7694813503,58.9753277609,73.5833618424,360.901906248,-34.6234584737,13.7224310439,0,5.21888439962,4,2,0.913914821439,203.249355909,0,47.5823405003,12.6957627684,39.394882077,0,70.6753277609,61.8833618424,416.802409557,21.2770448351,15.015,39.3733421457,1.54554668825,4,2,1,187.276013764,0,94.6479353137,0,44.5953853859,0,90.2830750932,42.2756145101
24,PURE_SPATIAL_MISMATCH,386.76593055,477.664568706,90.8986381562,11.1824243848,102.081062541,4,4,3,354.907934353,234.787934353,120.12,93.3186127319,25.2491532192,0.977305754049,after Stage4,241.507481134,-145.258449416,8.775,0,0,2,4,0.584415584416,90.0053559616,94.2930938291,64.9621752057,17.4937995792,37.6776415006,0,48.8623084666,36.7821372818,302.134475204,-84.6314553465,15.015,0,0,3,3,1,114.332437884,69.9660119063,81.5037901125,0.952184672406,47.3229194459,0,58.9753277609,26.6691179875,388.994224464,2.22829391412,15.015,0,0.465470548409,4,5,1,191.066134537,0,104.008137939,0,33.3366280456,1.03043218065,60.5833239432,25.0611218052,444.182953706,57.4170231556,15.015,0,0.260733530332,4,4,1,212.138781795,0,118.055342908,0,32.9317844234,1.43527580279,81.0570445799,4.58740116848,477.664568706,90.8986381562,15.015,0,2.60733530332,4,4,1,219.704362817,0,71.2735504002,11.1824243848,39.3184154671,0,147.368240023,0
55,MIXED_QUANTITY_AND_SPATIAL,316.940731494,256.812954062,-60.1277774317,67.9076107723,7.77983334068,4,4,5,138.06,138.06,120.12,11.8074940295,21.2454729278,0.574675324675,after Stage4,241.507481134,-75.4332503594,8.775,0,0,2,4,0.584415584416,90.0053559616,79.2628077555,64.9621752057,0,37.6776415006,0,48.8623084666,18.5977699741,182.014475204,-134.92625629,0,0,0,2,6,0,67.5324378844,101.735725833,50.3037901125,0.451226747187,28.6029194459,0.854553030433,35.5753277609,31.8847506798,154.458409272,-162.482322222,15.015,0,0,2,4,1,55.6945570449,113.573606672,45.5081379386,5.2468789211,20.9821334423,8.47533903405,32.2735808462,35.1864975945,211.974491256,-104.966240238,15.015,0,0.726204078741,3,3,1,82.706941888,86.5612218291,51.3602337212,0,25.7386256138,3.71884686258,52.1686900327,15.2913884081,256.812954062,-60.1277774317,15.015,0,6.85179312973,3,3,1,106.106941888,63.1612218291,55.8670660193,0,32.1252566575,0,62.7136894975,4.74638894321
61,MIXED_QUANTITY_AND_SPATIAL,455.499334558,434.858337694,-20.640996864,46.2214211468,25.5804242828,5,5,5,354.907934353,240.24,120.12,70.9679895033,39.0109281376,1,after Stage5,184.939475204,-270.559859354,0,0,0,2,2,0,67.5324378844,155.034143141,50.3037901125,22.2489344783,28.6029194459,15.5833433004,38.5003277609,77.6934384348,254.111343625,-201.387990933,15.015,1.79578761738,0,3,3,1,128.208637054,94.3579439709,64.1630702566,8.38965433416,0.345987785532,43.8402749608,61.3936485282,54.8001176674,374.231343625,-81.2679909333,15.015,0,12.6236463422,4,5,1,200.684171016,21.8824100098,74.9246647611,0,19.9270983435,24.2591644028,78.6954095047,37.498356691,408.108964,-47.3903705581,15.015,0,0,4,7,1,213.713487197,8.85309382835,85.0898821524,0,24.5733174248,19.6129453215,84.7322772258,31.4614889698,434.858337694,-20.640996864,15.015,0,0,4,7,1,225.011252938,0,95.6884769606,0,25.3501789962,18.8360837501,88.8084287989,27.3853373967
139,PURE_QUANTITY_SHORTFALL,180.836278269,156.408409272,-24.4278689967,24.4278689967,0,3,3,4,133.77,19.89,19.89,0.617513454709,0,0.0827922077922,after Stage3,,,,,,,,,,,,,,,,,241.507481134,60.6712028657,8.775,0,0,2,4,0.584415584416,90.0053559616,0,64.9621752057,0,37.6776415006,0,48.8623084666,0,182.014475204,1.17819693502,0,0,0,2,3,0,67.5324378844,3.3453016791,50.3037901125,0,28.6029194459,0,35.5753277609,3.70132720443,145.515295663,-35.3209826055,0,0,0,2,2,0,53.1028508837,17.7748886798,42.8539785212,4.91656636209,21.440117465,1.47122139166,28.1183487934,11.1583061719,156.408409272,-24.4278689967,11.115,0,0,2,2,0.74025974026,61.5445570449,9.33318251864,40.9906244839,6.77992039936,21.599646897,1.31169195962,32.2735808462,7.00307411909
152,MIXED_QUANTITY_AND_SPATIAL,423.861526765,371.306343625,-52.5551831404,63.1664616747,10.6112785343,4,4,4,234.787934353,234.787934353,120.12,44.3324966288,39.0109281376,0.977305754049,after Stage4,241.507481134,-182.354045631,8.775,0,0,2,4,0.584415584416,90.0053559616,78.5576244788,64.9621752057,67.5968133612,37.6776415006,3.23554071214,48.8623084666,32.9640670785,182.014475204,-241.847051561,0,0,0,2,3,0,67.5324378844,101.030542556,50.3037901125,82.2551984544,28.6029194459,12.3102627668,35.5753277609,46.2510477842,251.186343625,-172.67518314,15.015,0,0,3,6,1,114.490688073,54.0722923675,72.8081379386,59.7508506283,14.063936767,26.8492454457,49.8235808462,32.0027946989,311.246343625,-112.61518314,15.015,0,1.54554668825,4,2,1,152.751286741,15.8116936994,62.6118075333,69.9471810336,23.423936767,17.4892454457,72.4593125835,9.36706296163,371.306343625,-52.5551831404,15.015,0,12.6236463422,4,2,1,176.841321936,0,78.2118075333,54.3471810336,32.0939015716,8.81928064109,84.1593125835,0
156,PURE_SPATIAL_MISMATCH,543.056863022,572.559746303,29.5028832809,32.6665038588,62.1693871396,6,5,2,349.136928936,229.016928936,108.896928936,103.391940456,0,0.95328391998,after Stage6,367.422817367,-175.634045655,15.015,0,0,3,5,1,143.444557045,86.21912943,104.008137939,0,46.7465415374,0,73.2235808462,99.6984256767,448.53188923,-94.5249737926,15.015,0,0,4,2,1,216.25084754,13.4128389344,103.708108746,0,20.6565580168,23.5297707297,107.916374926,65.0056315967,509.158883299,-33.8979797234,15.015,1.99949091401,0,5,2,1,227.564029149,2.09965732585,118.250232739,0,37.3373718322,6.84895691423,126.007249579,46.9147569441,525.886700035,-17.1701629868,8.18199627703,0,0,5,1,0.544921496971,212.734423395,16.9292630795,116.288962166,0,66.613043863,0,130.250270611,42.6717359116,572.559746303,29.5028832809,15.015,0,0,5,1,1,232.632676044,0,130.025608128,0,69.645959466,0,140.255502664,32.6665038588
182,PURE_SPATIAL_MISMATCH,58.1956878969,81.7726769673,23.5769890704,1.41822735169,24.9952164221,6,3,5,74.2392676953,0.40493353334,0.40493353334,0,0,0.00168553751806,after Stage6,151.533409272,93.3377213752,15.015,0,0,2,7,1,55.6945570449,0,45.5081379386,0,20.9821334423,0,29.3485808462,0,186.356815296,128.1611274,0,0,0,2,7,0,75.9553559616,0,39.4215093676,0,28.7176415006,0,42.2623084666,0,126.863809366,68.6681214688,0,0,0,2,7,0,53.4824378844,0,24.7631242745,0,19.6429194459,0,28.9753277609,0,90.3646298252,32.1689419283,0,0,0,2,7,0,39.0528508837,0,17.9308261378,0,11.8626040103,0,21.5183487934,0.128392937871,81.7726769673,23.5769890704,0.40493353334,0,0,2,7,0.026968600289,35.7945570449,0,16.0674721005,0,9.68213344231,0,20.2285143796,1.41822735169
201,PURE_QUANTITY_SHORTFALL,386.76593055,332.295415487,-54.470515063,54.470515063,0,4,4,3,234.787934353,234.787934353,120.12,51.8697898146,0,0.977305754049,after Stage4,241.507481134,-145.258449416,8.775,0,0,2,4,0.584415584416,90.0053559616,94.2930938291,64.9621752057,17.4937995792,37.6776415006,0,48.8623084666,36.7821372818,182.014475204,-204.751455346,0,0,0,2,5,0,67.5324378844,116.766011906,50.3037901125,32.1521846724,28.6029194459,5.7641407803,35.5753277609,50.0691179875,251.186343625,-135.579586925,15.015,0,0,3,3,1,124.589146035,59.7093037557,44.7806044101,37.6753703748,20.2167026945,14.1503575318,61.5998904852,24.0445552632,305.071405215,-81.6945253356,15.015,0,0,3,4,1,153.881989593,30.4164601981,50.6076130795,31.8483617055,28.585579709,5.78148051719,71.9962228335,13.6482229148,332.295415487,-54.470515063,15.015,3.92869488594,0,3,4,1,168.698836137,15.5996136534,55.1144453776,27.3415294073,31.0435158668,3.32354435944,77.4386181056,8.20582764281
202,PURE_SPATIAL_MISMATCH,395.525364721,513.042409557,117.517044835,1.8058673584,119.322912194,5,4,2,354.907934353,240.24,120.12,82.3114534879,0,1,after Stage5,302.134475204,-93.3908895176,15.015,0,0,3,7,1,114.332437884,53.9890610069,81.5037901125,0,47.3229194459,0,58.9753277609,73.5833618424,371.306343625,-24.2190210966,15.015,0,0,4,3,1,143.444557045,24.8769418464,106.921386235,0,47.716819499,0,73.2235808462,59.335108757,452.415415487,56.8900507659,15.015,0,0,4,2,1,217.340824549,0,103.72921582,0,20.5368589699,13.8302139883,110.808516148,21.7501734548,486.293035862,90.7676711411,15.015,0,0,4,4,1,230.37014073,0,104.063146409,0,25.1830780511,9.18399490705,126.676670672,5.88201893149,513.042409557,117.517044835,15.015,0,0,4,4,1,241.667906472,0,104.554301804,0,36.0673790356,0,130.752822245,1.8058673584
216,PURE_SPATIAL_MISMATCH,395.525364721,491.426343625,95.9009789034,3.30179982923,99.2027787326,5,4,2,354.907934353,240.24,120.12,103.926820425,98.5039340683,1,after Stage5,182.014475204,-213.510889518,0,0,0,2,7,0,67.5324378844,100.789061007,50.3037901125,9.97431315612,28.6029194459,5.76415351225,35.5753277609,96.9833618424,251.186343625,-144.339021097,15.015,9.38143750247,0,3,1,1,99.0185926904,69.3029062009,65.8007360816,0,29.5360321496,4.83104080859,56.8309827032,75.7277069,371.306343625,-24.2190210966,15.015,30.4357914986,12.6236463422,4,2,1,200.104964805,0,79.5558196765,0,17.820240651,16.5468323072,73.8253184927,58.7333711106,431.366343625,35.8409789034,15.015,0,5.2829583731,4,2,1,187.576808172,0,101.225572721,0,22.849386475,11.5176864832,119.714576257,12.844113346,491.426343625,95.9009789034,15.015,0,10.3027948716,4,2,1,210.976808172,0,116.825572721,0,32.209386475,2.1576864832,131.414576257,1.14411334603
222,MIXED_QUANTITY_AND_SPATIAL,316.940731494,232.642481134,-84.2982503594,85.2799013334,0.981650973942,4,4,5,135.135,135.135,120.12,25.7879996374,0,0.5625,after Stage4,241.507481134,-75.4332503594,8.775,0,0,2,4,0.584415584416,90.0053559616,79.2628077555,64.9621752057,0,37.6776415006,0,48.8623084666,18.5977699741,182.014475204,-134.92625629,0,0,0,2,7,0,67.5324378844,101.735725833,50.3037901125,0.451226747187,28.6029194459,0.854553030433,35.5753277609,31.8847506798,151.533409272,-165.407322222,15.015,0,0,2,7,1,55.6945570449,113.573606672,45.5081379386,5.2468789211,20.9821334423,8.47533903405,29.3485808462,38.1114975945,205.418470862,-111.522260632,15.015,0,0,3,7,1,95.4366221192,73.8315415979,47.2298355355,3.52518132419,15.8885181915,13.5689542848,46.8634950156,20.5965834251,232.642481134,-84.2982503594,15.015,0,0,3,7,1,106.324773778,62.9433899392,51.7366678337,0,22.2751492352,7.18232324115,52.3058902877,15.1541881531
230,PURE_SPATIAL_MISMATCH,543.056863022,552.355956189,9.29909316672,38.8568513058,48.1559444725,5,5,2,343.224408095,240.24,120.12,74.9847538584,50.9970728901,1,after Stage5,302.134475204,-240.922387818,15.015,0,0,3,5,1,114.332437884,115.33124859,81.5037901125,14.7810511654,47.3229194459,0,58.9753277609,113.946678762,359.622817367,-183.434045655,15.015,0,0,3,6,1,143.444557045,86.21912943,96.2081379386,0.0767033393438,46.7465415374,0,73.2235808462,99.6984256767,440.73188923,-102.324973793,15.015,0,0,3,5,1,175.405355962,54.2583305132,139.205808976,0,37.0584158258,7.12791292059,89.0623084666,83.8596980564,499.087157695,-43.9697053276,15.015,0,5.2829583731,4,1,1,198.805355962,30.8583305132,154.805808976,0,44.7136842909,0,100.762308467,72.1596980564,552.355956189,9.29909316672,15.015,19.3666786342,7.19720480954,4,1,1,251.1436293,0,122.645082085,0,44.502089587,0,134.065155217,38.8568513058
272,MIXED_QUANTITY_AND_SPATIAL,573.206027967,521.817409557,-51.3886184104,72.1374112183,20.7487928079,6,6,1,354.907934353,234.787934353,114.667934353,55.5061931117,45.4960659317,0.977305754049,after Stage6,265.413409272,-307.792618695,8.775,0,0,2,5,0.584415584416,102.494557045,121.158981817,72.8081379386,36.1653688042,37.3621334423,11.7336851788,52.7485808462,138.734582895,346.522481134,-226.683546832,15.015,0,0,3,6,1,134.455355962,89.1981829001,91.3621752057,17.6113315372,52.1176415006,0,68.5873084666,122.895855275,407.149475204,-166.056552763,15.015,0,0,4,7,1,180.409540441,43.2439984205,118.374589319,0,29.6650176823,19.4308009388,78.7003277609,112.78283598,465.916906248,-107.289121719,13.7224310439,0,5.21888439962,5,5,0.913914821439,203.809540441,19.8439984205,130.392477295,0,41.3145607505,7.78125787068,90.4003277609,101.08283598,521.817409557,-51.3886184104,15.015,0,1.54554668825,5,5,1,227.209540441,0,126.166297971,0,46.5150640593,2.58075456182,121.926507085,69.5566566564
