group,relative_hour,path_count,mean_inventory_kg,median_inventory_kg,mean_production_kg,mean_HTT_kg,mean_ordinary_shortage_kg,mean_system_electrolyzer_utilization
正目标达标,-24,588,232.757821782,241.507481134,7.96382653061,0,0,0.53039137733
正目标达标,-23,650,226.171450152,231.844519637,8.59957760326,3.63500815121,0.181719758407,0.57273244111
正目标达标,-22,650,227.420337894,225.60747799,8.33222116381,0.041883176326,0.159755029518,0.554926484437
正目标达标,-21,650,230.368371456,220.608059883,8.2854,0.316962415775,0.117564265287,0.551808191808
正目标达标,-20,650,233.948393646,217.776562852,8.01286334403,0.255975679547,0.0831494581968,0.53365723237
正目标达标,-19,650,237.26671262,215.862713537,7.85601491681,0.445999686974,0.0816079462684,0.523211116671
正目标达标,-18,650,240.004433874,225.158125541,7.89402163654,0.62756034952,0.101373868162,0.525742366736
正目标达标,-17,650,242.530938936,237.716890313,8.82454708162,0.258670004403,0.151149980255,0.587715423351
正目标达标,-16,650,245.209288431,241.507481134,9.82918552837,0.449125087288,0.163550076521,0.654624410814
正目标达标,-15,650,249.539582378,231.844519637,11.4217907496,10.4908387173,0.497160220392,0.760692024612
正目标达标,-14,650,254.850563852,225.60747799,11.2737669921,0.219923535899,0.410594515397,0.75083363251
正目标达标,-13,650,261.577081945,222.070559883,11.1707283791,0.634586612912,0.317487787401,0.743971254021
正目标达标,-12,650,268.7740351,219.399451607,10.7328745872,0.383459929391,0.248949257251,0.714810162319
正目标达标,-11,650,275.55295257,231.250757455,10.4083653708,0.716788019005,0.280881773645,0.693197826895
正目标达标,-10,650,281.306593839,242.316785299,10.326958319,1.05774188932,0.366196456209,0.687776111818
正目标达标,-9,650,286.212979246,252.16171237,11.040576232,0.504539486155,0.580543198844,0.735303112356
正目标达标,-8,650,291.429793458,257.448169596,12.3077997921,1.48463068577,0.555604996044,0.819700285853
正目标达标,-7,650,299.525485849,267.165151864,13.802033031,13.9945894078,1.28350639513,0.919216319083
正目标达标,-6,650,308.783714468,281.216343625,13.5420452624,0.993114513439,0.982105801224,0.901901116376
正目标达标,-5,650,318.860264147,296.033119028,13.3795401527,0.789842218411,0.767699616033,0.891078265251
正目标达标,-4,650,328.680764242,308.702425608,12.8507457747,1.49689365154,0.716282479434,0.855860524455
正目标达标,-3,650,337.70250983,320.118536435,12.5842991755,0.475754329328,0.848912396694,0.838115163203
正目标达标,-2,650,345.463863955,330.771703961,12.5682476481,0.990041653304,1.22019578845,0.837046130411
正目标达标,-1,650,351.805909667,337.321432094,12.9476821186,0.988577134296,1.73657547619,0.862316491412
正目标达标,0,650,357.425126559,346.718924749,13.2157645285,2.3138994639,1.91446357923,0.880170797769
正目标不足,-24,404,232.103673321,241.507481134,7.88446782178,0,0,0.525106082037
正目标不足,-23,470,222.858460032,231.844519637,8.34522500493,3.19185417945,0.116756375775,0.555792541121
正目标不足,-22,470,224.400945611,225.60747799,8.05460166205,0,0.105560968943,0.53643700713
正目标不足,-21,470,227.439576066,220.608059883,7.99458510638,0.268969368339,0.0774086934161,0.532439900525
正目标不足,-20,470,230.965073095,217.118470862,7.81867058101,0.115650207536,0.0552715919396,0.520723981419
正目标不足,-19,470,234.027866854,213.741188746,7.68360483379,0.0923361045561,0.0520427236914,0.511728593659
正目标不足,-18,470,236.167918915,225.158125541,7.70394092618,0.931202531341,0.0640017519542,0.513082978767
正目标不足,-17,470,237.61320757,231.811127477,8.5113133639,0.295408958135,0.0915188838166,0.56685403689
正目标不足,-16,470,238.51934393,232.642481134,8.94377909475,0.174488380192,0.0940509370314,0.595656283367
正目标不足,-15,473,240.525833937,231.844519637,10.0850917753,9.54377095572,0.632250477778,0.671667783905
