arrival_after_stage,path_count,positive_target_count,shortfall_count,shortfall_probability,shortfall_probability_bootstrap_ci95_low,shortfall_probability_bootstrap_ci95_high,shortfall_if_positive_kg,mean_target_kg,mean_final_inventory_kg,mean_production_last24h_kg,mean_production_last16h_kg,mean_production_last8h_kg,mean_HTT_kg,mean_ordinary_shortage_kg,mean_actual_operating_cost_yuan
2,80,3,3,1,1,1,14.9461060096,180.746104355,184.037720008,115.903244804,115.903244804,2.02324480381,0,0,29026.5712858
3,1149,128,66,0.515625,0.4296875,0.609375,46.7515511578,197.910936086,278.042247702,246.231753309,132.351753309,81.868259115,33.8482950076,9.17208512117,57431.3863904
4,2613,473,208,0.439746300211,0.395348837209,0.484196617336,48.0095675045,228.48306787,328.712838617,217.433151039,177.687619972,104.966241237,37.2488480276,13.7722064443,67289.3892022
5,1841,403,147,0.36476426799,0.320099255583,0.409491315136,43.7139376811,226.171048465,374.889444317,277.800742098,207.585639069,98.8293758565,47.7427845874,19.141807661,91838.2201589
6,441,116,49,0.422413793103,0.336206896552,0.51724137931,41.753101162,268.858084182,398.19997809,290.938471011,180.031434092,95.6384912205,58.9112461547,18.9007644409,115047.35302
