initial_state_id,parent_node_id,parent_stage,sample_support_count,effective_sample_size,parent_probability_mass,child_count,single_child,descendant_unique_leaf_count,descendant_leaf_probability_mass,observed_unique_native_child_count,theoretical_positive_child_count,theoretical_positive_unobserved_child_count,theoretical_child_support_coverage_share
1,s1:root,0,15000,15000.0,1.0,71,0,5525,1.0,71,84,13,0.8452380952380952
1,s1:n1:a=2|loc=2|lfw=1,1,2657,2657.0,0.1771333333333333,74,0,623,0.1771333333333333,74,112,38,0.6607142857142857
1,s1:n1:a=1|loc=2|lfw=1,1,410,410.0,0.0273333333333333,27,0,157,0.0273333333333333,27,28,1,0.9642857142857143
1,s1:n1:a=2|loc=1|lfw=0,1,525,525.0,0.035,39,0,237,0.035,39,84,45,0.4642857142857143
1,s1:n1:a=2|loc=0|lfw=1,1,2079,2079.0,0.1386,58,0,473,0.1386,58,96,38,0.6041666666666666
1,s1:n1:a=2|loc=3|lfw=1,1,1156,1156.0,0.0770666666666666,61,0,419,0.0770666666666666,61,112,51,0.5446428571428571
1,s1:n1:a=2|loc=-1|lfw=0,1,297,297.0,0.0198,28,0,150,0.0197999999999999,28,60,32,0.4666666666666667
1,s1:n1:a=4|loc=1|lfw=0,1,3,3.0,0.0002,3,0,3,0.0002,3,105,102,0.02857142857142857
1,s1:n1:a=2|loc=1|lfw=1,1,1711,1711.0,0.1140666666666666,64,0,487,0.1140666666666666,64,112,48,0.5714285714285714
1,s1:n1:a=2|loc=-2|lfw=1,1,395,395.0,0.0263333333333333,29,0,161,0.0263333333333333,29,64,35,0.453125
1,s1:n1:a=2|loc=4|lfw=1,1,467,467.0,0.0311333333333333,48,0,248,0.0311333333333333,48,112,64,0.42857142857142855
1,s1:n1:a=2|loc=-1|lfw=1,1,954,954.0,0.0636,44,0,299,0.0636,44,80,36,0.55
1,s1:n1:a=2|loc=2|lfw=0,1,838,838.0,0.0558666666666666,51,0,331,0.0558666666666666,51,84,33,0.6071428571428571
1,s1:n1:a=1|loc=1|lfw=1,1,309,309.0,0.0206,23,0,120,0.0206,23,28,5,0.8214285714285714
1,s1:n1:a=2|loc=4|lfw=0,1,163,163.0,0.0108666666666666,29,0,117,0.0108666666666666,29,84,55,0.34523809523809523
1,s1:n1:a=4|loc=2|lfw=1,1,16,16.0,0.0010666666666666,12,0,16,0.0010666666666666,12,140,128,0.08571428571428572
1,s1:n1:a=1|loc=0|lfw=1,1,346,346.0,0.0230666666666666,22,0,125,0.0230666666666666,22,24,2,0.9166666666666666
1,s1:n1:a=1|loc=3|lfw=1,1,213,213.0,0.0142,22,0,98,0.0142,22,28,6,0.7857142857142857
1,s1:n1:a=2|loc=3|lfw=0,1,399,399.0,0.0266,35,0,208,0.0266,35,84,49,0.4166666666666667
1,s1:n1:a=2|loc=-2|lfw=0,1,129,129.0,0.0086,15,0,80,0.0086,15,48,33,0.3125
