initial_state_id,full_support_probability_mass_before_selection,selected_mass_before_renormalization,renormalization_factor,selected_mass_after_renormalization
7,1.0,0.013333333333333334,75.0,1.0
19,1.0,0.013333333333333334,75.0,1.0
