initial_state_id,node_id,stage,parent_id,native_state,prefix_key,sample_support_count,nominal_probability_mass
11,s11:root,0,,a=3|loc=4|lfw=0,a=3|loc=4|lfw=0,15000,1.0
11,s11:n1:a=3|loc=3|lfw=1,1,s11:root,a=3|loc=3|lfw=1,a=3|loc=3|lfw=1,1589,0.10593333333333334
11,s11:n2:a=3|loc=3|lfw=1>a=3|loc=2|lfw=2,2,s11:n1:a=3|loc=3|lfw=1,a=3|loc=2|lfw=2,a=3|loc=3|lfw=1>a=3|loc=2|lfw=2,176,0.011733333333333333
11,s11:n3:a=3|loc=3|lfw=1>a=3|loc=2|lfw=2>a=3|loc=-1|lfw=3,3,s11:n2:a=3|loc=3|lfw=1>a=3|loc=2|lfw=2,a=3|loc=-1|lfw=3,a=3|loc=3|lfw=1>a=3|loc=2|lfw=2>a=3|loc=-1|lfw=3,8,0.0005333333333333334
11,s11:n1:a=3|loc=2|lfw=1,1,s11:root,a=3|loc=2|lfw=1,a=3|loc=2|lfw=1,669,0.0446
11,s11:n2:a=3|loc=2|lfw=1>a=3|loc=5|lfw=2,2,s11:n1:a=3|loc=2|lfw=1,a=3|loc=5|lfw=2,a=3|loc=2|lfw=1>a=3|loc=5|lfw=2,21,0.0014
11,s11:n3:a=3|loc=2|lfw=1>a=3|loc=5|lfw=2>a=1|loc=4|lfw=2,3,s11:n2:a=3|loc=2|lfw=1>a=3|loc=5|lfw=2,a=1|loc=4|lfw=2,a=3|loc=2|lfw=1>a=3|loc=5|lfw=2>a=1|loc=4|lfw=2,1,6.666666666666667e-05
11,s11:n1:a=4|loc=5|lfw=0,1,s11:root,a=4|loc=5|lfw=0,a=4|loc=5|lfw=0,52,0.0034666666666666665
11,s11:n2:a=4|loc=5|lfw=0>a=4|loc=7|lfw=0,2,s11:n1:a=4|loc=5|lfw=0,a=4|loc=7|lfw=0,a=4|loc=5|lfw=0>a=4|loc=7|lfw=0,2,0.00013333333333333334
11,s11:n3:a=4|loc=5|lfw=0>a=4|loc=7|lfw=0>a=5|loc=5|lfw=1,3,s11:n2:a=4|loc=5|lfw=0>a=4|loc=7|lfw=0,a=5|loc=5|lfw=1,a=4|loc=5|lfw=0>a=4|loc=7|lfw=0>a=5|loc=5|lfw=1,1,6.666666666666667e-05
11,s11:n1:a=3|loc=4|lfw=1,1,s11:root,a=3|loc=4|lfw=1,a=3|loc=4|lfw=1,1274,0.08493333333333333
11,s11:n2:a=3|loc=4|lfw=1>a=2|loc=6|lfw=1,2,s11:n1:a=3|loc=4|lfw=1,a=2|loc=6|lfw=1,a=3|loc=4|lfw=1>a=2|loc=6|lfw=1,8,0.0005333333333333334
11,s11:n3:a=3|loc=4|lfw=1>a=2|loc=6|lfw=1>a=2|loc=7|lfw=1,3,s11:n2:a=3|loc=4|lfw=1>a=2|loc=6|lfw=1,a=2|loc=7|lfw=1,a=3|loc=4|lfw=1>a=2|loc=6|lfw=1>a=2|loc=7|lfw=1,1,6.666666666666667e-05
11,s11:n1:a=3|loc=5|lfw=1,1,s11:root,a=3|loc=5|lfw=1,a=3|loc=5|lfw=1,2027,0.13513333333333333
11,s11:n2:a=3|loc=5|lfw=1>a=3|loc=6|lfw=1,2,s11:n1:a=3|loc=5|lfw=1,a=3|loc=6|lfw=1,a=3|loc=5|lfw=1>a=3|loc=6|lfw=1,60,0.004
11,s11:n3:a=3|loc=5|lfw=1>a=3|loc=6|lfw=1>a=3|loc=7|lfw=2,3,s11:n2:a=3|loc=5|lfw=1>a=3|loc=6|lfw=1,a=3|loc=7|lfw=2,a=3|loc=5|lfw=1>a=3|loc=6|lfw=1>a=3|loc=7|lfw=2,8,0.0005333333333333334
11,s11:n1:a=3|loc=2|lfw=0,1,s11:root,a=3|loc=2|lfw=0,a=3|loc=2|lfw=0,215,0.014333333333333333
11,s11:n2:a=3|loc=2|lfw=0>a=3|loc=4|lfw=1,2,s11:n1:a=3|loc=2|lfw=0,a=3|loc=4|lfw=1,a=3|loc=2|lfw=0>a=3|loc=4|lfw=1,18,0.0012
11,s11:n3:a=3|loc=2|lfw=0>a=3|loc=4|lfw=1>a=3|loc=5|lfw=1,3,s11:n2:a=3|loc=2|lfw=0>a=3|loc=4|lfw=1,a=3|loc=5|lfw=1,a=3|loc=2|lfw=0>a=3|loc=4|lfw=1>a=3|loc=5|lfw=1,1,6.666666666666667e-05
11,s11:n1:a=3|loc=2|lfw=2,1,s11:root,a=3|loc=2|lfw=2,a=3|loc=2|lfw=2,19,0.0012666666666666666
11,s11:n2:a=3|loc=2|lfw=2>a=4|loc=-1|lfw=3,2,s11:n1:a=3|loc=2|lfw=2,a=4|loc=-1|lfw=3,a=3|loc=2|lfw=2>a=4|loc=-1|lfw=3,1,6.666666666666667e-05
11,s11:n3:a=3|loc=2|lfw=2>a=4|loc=-1|lfw=3>a=4|loc=2|lfw=3,3,s11:n2:a=3|loc=2|lfw=2>a=4|loc=-1|lfw=3,a=4|loc=2|lfw=3,a=3|loc=2|lfw=2>a=4|loc=-1|lfw=3>a=4|loc=2|lfw=3,1,6.666666666666667e-05
11,s11:n2:a=3|loc=5|lfw=1>a=3|loc=6|lfw=2,2,s11:n1:a=3|loc=5|lfw=1,a=3|loc=6|lfw=2,a=3|loc=5|lfw=1>a=3|loc=6|lfw=2,263,0.017533333333333335
11,s11:n3:a=3|loc=5|lfw=1>a=3|loc=6|lfw=2>a=3|loc=5|lfw=3,3,s11:n2:a=3|loc=5|lfw=1>a=3|loc=6|lfw=2,a=3|loc=5|lfw=3,a=3|loc=5|lfw=1>a=3|loc=6|lfw=2>a=3|loc=5|lfw=3,26,0.0017333333333333333
11,s11:n1:a=3|loc=6|lfw=1,1,s11:root,a=3|loc=6|lfw=1,a=3|loc=6|lfw=1,937,0.06246666666666666
11,s11:n2:a=3|loc=6|lfw=1>a=5|loc=6|lfw=2,2,s11:n1:a=3|loc=6|lfw=1,a=5|loc=6|lfw=2,a=3|loc=6|lfw=1>a=5|loc=6|lfw=2,1,6.666666666666667e-05
11,s11:n3:a=3|loc=6|lfw=1>a=5|loc=6|lfw=2>a=5|loc=7|lfw=3,3,s11:n2:a=3|loc=6|lfw=1>a=5|loc=6|lfw=2,a=5|loc=7|lfw=3,a=3|loc=6|lfw=1>a=5|loc=6|lfw=2>a=5|loc=7|lfw=3,1,6.666666666666667e-05
11,s11:n2:a=3|loc=2|lfw=2>a=3|loc=5|lfw=2,2,s11:n1:a=3|loc=2|lfw=2,a=3|loc=5|lfw=2,a=3|loc=2|lfw=2>a=3|loc=5|lfw=2,1,6.666666666666667e-05
11,s11:n3:a=3|loc=2|lfw=2>a=3|loc=5|lfw=2>a=3|loc=7|lfw=2,3,s11:n2:a=3|loc=2|lfw=2>a=3|loc=5|lfw=2,a=3|loc=7|lfw=2,a=3|loc=2|lfw=2>a=3|loc=5|lfw=2>a=3|loc=7|lfw=2,1,6.666666666666667e-05
11,s11:n1:a=2|loc=5|lfw=1,1,s11:root,a=2|loc=5|lfw=1,a=2|loc=5|lfw=1,911,0.060733333333333334
11,s11:n2:a=2|loc=5|lfw=1>a=2|loc=6|lfw=1,2,s11:n1:a=2|loc=5|lfw=1,a=2|loc=6|lfw=1,a=2|loc=5|lfw=1>a=2|loc=6|lfw=1,39,0.0026
11,s11:n3:a=2|loc=5|lfw=1>a=2|loc=6|lfw=1>a=2|loc=9|lfw=2,3,s11:n2:a=2|loc=5|lfw=1>a=2|loc=6|lfw=1,a=2|loc=9|lfw=2,a=2|loc=5|lfw=1>a=2|loc=6|lfw=1>a=2|loc=9|lfw=2,1,6.666666666666667e-05
