initial_state_id,parent_id,child_id,parent_stage,child_stage,parent_native_state,child_native_state,parent_support_count,child_support_count,nominal_conditional_probability,theoretical_transition_probability
9,s9:root,s9:n1:a=2|loc=-1|lfw=1,0,1,a=3|loc=2|lfw=0,a=2|loc=-1|lfw=1,15000,133,0.008866666666666667,0.00849999999999999
9,s9:n1:a=2|loc=-1|lfw=1,s9:n2:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1,1,2,a=2|loc=-1|lfw=1,a=2|loc=-1|lfw=1,133,5,0.03759398496240601,0.031684186046511575
9,s9:n2:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1,s9:n3:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1>a=2|loc=-2|lfw=2,2,3,a=2|loc=-1|lfw=1,a=2|loc=-2|lfw=2,5,2,0.4,0.16135465116279063
9,s9:root,s9:n1:a=3|loc=3|lfw=1,0,1,a=3|loc=2|lfw=0,a=3|loc=3|lfw=1,15000,1978,0.13186666666666666,0.1347500000000001
9,s9:n1:a=3|loc=3|lfw=1,s9:n2:a=3|loc=3|lfw=1>a=2|loc=3|lfw=1,1,2,a=3|loc=3|lfw=1,a=2|loc=3|lfw=1,1978,20,0.010111223458038422,0.009179999999999989
9,s9:n2:a=3|loc=3|lfw=1>a=2|loc=3|lfw=1,s9:n3:a=3|loc=3|lfw=1>a=2|loc=3|lfw=1>a=2|loc=3|lfw=2,2,3,a=2|loc=3|lfw=1,a=2|loc=3|lfw=2,20,2,0.1,0.113535
9,s9:root,s9:n1:a=3|loc=1|lfw=1,0,1,a=3|loc=2|lfw=0,a=3|loc=1|lfw=1,15000,1577,0.10513333333333333,0.10587500000000005
9,s9:n1:a=3|loc=1|lfw=1,s9:n2:a=3|loc=1|lfw=1>a=4|loc=1|lfw=2,1,2,a=3|loc=1|lfw=1,a=4|loc=1|lfw=2,1577,18,0.011414077362079899,0.006749999999999999
9,s9:n2:a=3|loc=1|lfw=1>a=4|loc=1|lfw=2,s9:n3:a=3|loc=1|lfw=1>a=4|loc=1|lfw=2>a=4|loc=1|lfw=1,2,3,a=4|loc=1|lfw=2,a=4|loc=1|lfw=1,18,1,0.05555555555555555,0.006567000000000003
9,s9:root,s9:n1:a=2|loc=4|lfw=1,0,1,a=3|loc=2|lfw=0,a=2|loc=4|lfw=1,15000,414,0.0276,0.027624999999999966
9,s9:n1:a=2|loc=4|lfw=1,s9:n2:a=2|loc=4|lfw=1>a=2|loc=1|lfw=2,1,2,a=2|loc=4|lfw=1,a=2|loc=1|lfw=2,414,12,0.028985507246376812,0.025229999999999995
9,s9:n2:a=2|loc=4|lfw=1>a=2|loc=1|lfw=2,s9:n3:a=2|loc=4|lfw=1>a=2|loc=1|lfw=2>a=2|loc=2|lfw=3,2,3,a=2|loc=1|lfw=2,a=2|loc=2|lfw=3,12,5,0.4166666666666667,0.17661000000000002
9,s9:root,s9:n1:a=2|loc=1|lfw=1,0,1,a=3|loc=2|lfw=0,a=2|loc=1|lfw=1,15000,697,0.04646666666666667,0.046749999999999944
9,s9:n1:a=2|loc=1|lfw=1,s9:n2:a=2|loc=1|lfw=1>a=2|loc=3|lfw=2,1,2,a=2|loc=1|lfw=1,a=2|loc=3|lfw=2,697,70,0.10043041606886657,0.0819975
9,s9:n2:a=2|loc=1|lfw=1>a=2|loc=3|lfw=2,s9:n3:a=2|loc=1|lfw=1>a=2|loc=3|lfw=2>a=2|loc=1|lfw=3,2,3,a=2|loc=3|lfw=2,a=2|loc=1|lfw=3,70,10,0.14285714285714285,0.063075
9,s9:root,s9:n1:a=3|loc=2|lfw=1,0,1,a=3|loc=2|lfw=0,a=3|loc=2|lfw=1,15000,1291,0.08606666666666667,0.08662500000000005
9,s9:n1:a=3|loc=2|lfw=1,s9:n2:a=3|loc=2|lfw=1>a=3|loc=2|lfw=0,1,2,a=3|loc=2|lfw=1,a=3|loc=2|lfw=0,1291,13,0.010069713400464756,0.005775000000000003
9,s9:n2:a=3|loc=2|lfw=1>a=3|loc=2|lfw=0,s9:n3:a=3|loc=2|lfw=1>a=3|loc=2|lfw=0>a=3|loc=3|lfw=0,2,3,a=3|loc=2|lfw=0,a=3|loc=3|lfw=0,13,1,0.07692307692307693,0.04132333333333336
9,s9:root,s9:n1:a=3|loc=3|lfw=0,0,1,a=3|loc=2|lfw=0,a=3|loc=3|lfw=0,15000,607,0.040466666666666665,0.04132333333333336
9,s9:n1:a=3|loc=3|lfw=0,s9:n2:a=3|loc=3|lfw=0>a=3|loc=4|lfw=0,1,2,a=3|loc=3|lfw=0,a=3|loc=4|lfw=0,607,30,0.04942339373970346,0.04132333333333336
9,s9:n2:a=3|loc=3|lfw=0>a=3|loc=4|lfw=0,s9:n3:a=3|loc=3|lfw=0>a=3|loc=4|lfw=0>a=4|loc=5|lfw=1,2,3,a=3|loc=4|lfw=0,a=4|loc=5|lfw=1,30,1,0.03333333333333333,0.010500000000000002
9,s9:root,s9:n1:a=2|loc=2|lfw=0,0,1,a=3|loc=2|lfw=0,a=2|loc=2|lfw=0,15000,186,0.0124,0.011729999999999985
9,s9:n1:a=2|loc=2|lfw=0,s9:n2:a=2|loc=2|lfw=0>a=2|loc=3|lfw=0,1,2,a=2|loc=2|lfw=0,a=2|loc=3|lfw=0,186,16,0.08602150537634409,0.054160400000000004
9,s9:n2:a=2|loc=2|lfw=0>a=2|loc=3|lfw=0,s9:n3:a=2|loc=2|lfw=0>a=2|loc=3|lfw=0>a=2|loc=5|lfw=1,2,3,a=2|loc=3|lfw=0,a=2|loc=5|lfw=1,16,5,0.3125,0.0819975
9,s9:root,s9:n1:a=3|loc=-1|lfw=1,0,1,a=3|loc=2|lfw=0,a=3|loc=-1|lfw=1,15000,294,0.0196,0.01925000000000001
9,s9:n1:a=3|loc=-1|lfw=1,s9:n2:a=3|loc=-1|lfw=1>a=3|loc=-1|lfw=2,1,2,a=3|loc=-1|lfw=1,a=3|loc=-1|lfw=2,294,31,0.1054421768707483,0.10072674418604641
9,s9:n2:a=3|loc=-1|lfw=1>a=3|loc=-1|lfw=2,s9:n3:a=3|loc=-1|lfw=1>a=3|loc=-1|lfw=2>a=3|loc=-2|lfw=3,2,3,a=3|loc=-1|lfw=2,a=3|loc=-2|lfw=3,31,1,0.03225806451612903,0.1231104651162791
9,s9:root,s9:n1:a=3|loc=4|lfw=1,0,1,a=3|loc=2|lfw=0,a=3|loc=4|lfw=1,15000,967,0.06446666666666667,0.06256250000000005
9,s9:n1:a=3|loc=4|lfw=1,s9:n2:a=3|loc=4|lfw=1>a=3|loc=1|lfw=2,1,2,a=3|loc=4|lfw=1,a=3|loc=1|lfw=2,967,17,0.017580144777662874,0.01925000000000001
9,s9:n2:a=3|loc=4|lfw=1>a=3|loc=1|lfw=2,s9:n3:a=3|loc=4|lfw=1>a=3|loc=1|lfw=2>a=3|loc=2|lfw=3,2,3,a=3|loc=1|lfw=2,a=3|loc=2|lfw=3,17,3,0.17647058823529413,0.1347500000000001
9,s9:n1:a=3|loc=1|lfw=1,s9:n2:a=3|loc=1|lfw=1>a=3|loc=2|lfw=1,1,2,a=3|loc=1|lfw=1,a=3|loc=2|lfw=1,1577,69,0.04375396322130628,0.03234000000000002
9,s9:n2:a=3|loc=1|lfw=1>a=3|loc=2|lfw=1,s9:n3:a=3|loc=1|lfw=1>a=3|loc=2|lfw=1>a=2|loc=3|lfw=2,2,3,a=3|loc=2|lfw=1,a=2|loc=3|lfw=2,69,4,0.057971014492753624,0.05949999999999993
9,s9:n1:a=2|loc=1|lfw=1,s9:n2:a=2|loc=1|lfw=1>a=2|loc=2|lfw=2,1,2,a=2|loc=1|lfw=1,a=2|loc=2|lfw=2,697,145,0.20803443328550933,0.17661000000000002
9,s9:n2:a=2|loc=1|lfw=1>a=2|loc=2|lfw=2,s9:n3:a=2|loc=1|lfw=1>a=2|loc=2|lfw=2>a=2|loc=2|lfw=3,2,3,a=2|loc=2|lfw=2,a=2|loc=2|lfw=3,145,19,0.1310344827586207,0.113535
9,s9:n1:a=3|loc=2|lfw=1,s9:n2:a=3|loc=2|lfw=1>a=3|loc=3|lfw=2,1,2,a=3|loc=2|lfw=1,a=3|loc=3|lfw=2,1291,162,0.1254841208365608,0.1347500000000001
9,s9:n2:a=3|loc=2|lfw=1>a=3|loc=3|lfw=2,s9:n3:a=3|loc=2|lfw=1>a=3|loc=3|lfw=2>a=2|loc=4|lfw=3,2,3,a=3|loc=3|lfw=2,a=2|loc=4|lfw=3,162,12,0.07407407407407407,0.05949999999999993
9,s9:root,s9:n1:a=3|loc=0|lfw=1,0,1,a=3|loc=2|lfw=0,a=3|loc=0|lfw=1,15000,718,0.04786666666666667,0.04812500000000003
9,s9:n1:a=3|loc=0|lfw=1,s9:n2:a=3|loc=0|lfw=1>a=3|loc=1|lfw=1,1,2,a=3|loc=0|lfw=1,a=3|loc=1|lfw=1,718,32,0.04456824512534819,0.03368750000000006
9,s9:n2:a=3|loc=0|lfw=1>a=3|loc=1|lfw=1,s9:n3:a=3|loc=0|lfw=1>a=3|loc=1|lfw=1>a=3|loc=-2|lfw=2,2,3,a=3|loc=1|lfw=1,a=3|loc=-2|lfw=2,32,1,0.03125,0.01925000000000001
9,s9:n1:a=3|loc=2|lfw=1,s9:n2:a=3|loc=2|lfw=1>a=2|loc=3|lfw=2,1,2,a=3|loc=2|lfw=1,a=2|loc=3|lfw=2,1291,63,0.048799380325329204,0.05949999999999993
9,s9:n2:a=3|loc=2|lfw=1>a=2|loc=3|lfw=2,s9:n3:a=3|loc=2|lfw=1>a=2|loc=3|lfw=2>a=2|loc=5|lfw=3,2,3,a=2|loc=3|lfw=2,a=2|loc=5|lfw=3,63,10,0.15873015873015872,0.0819975
9,s9:n1:a=2|loc=-1|lfw=1,s9:n2:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=2,1,2,a=2|loc=-1|lfw=1,a=2|loc=-1|lfw=2,133,19,0.14285714285714285,0.1320174418604649
9,s9:n2:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=2,s9:n3:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=2>a=2|loc=-1|lfw=2,2,3,a=2|loc=-1|lfw=2,a=2|loc=-1|lfw=2,19,1,0.05263157894736842,0.03520465116279064
