initial_state_id,T_label,eta,path_id,loss,nominal_probability,worst_probability,probability_shift,model,absolute_shift
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,36,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,37,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,38,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,39,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,40,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,41,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,42,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,43,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,44,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,45,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,46,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,47,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,48,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,49,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,50,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,51,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,52,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,53,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,54,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,55,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,56,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,57,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,58,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,59,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,60,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,61,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
