parent_stage,parent_node_count,minimum_ess,median_ess,mean_ess,maximum_ess,singleton_share,below_10_share
0,35,15000.0,15000.0,15000.0,15000.0,0.0,0.0
1,2739,1.0,25.0,191.67579408543264,2683.0,0.07776560788608981,0.32055494706097115
2,55914,1.0,2.0,9.389419465607897,493.0,0.3831598526308259,0.8055048824981221
