file,bytes,sha256
conclusion.txt,326,613c9dd7510e014657a531942beb21db0ca238e346e88b3b22a4355f5baccacd
conditional_probability_shift_by_node.csv,1932278,b82b95d6d7e9f4b0dd5dc71318d2f2b9fbafb768924707b136ee525b6c5526de
conditional_probability_support.csv,1342,5acdd6f259f110decfd94aaca1e2c2455290eccad8dbdeaa654013063863a6cf
conditional_probability_support_by_node.csv,7048996,8ebe8b41ea0ca14b74673ed7422e0a24e1e76b82488042da848c956db1d1cfee
conditional_probability_table.csv,52217016,fd91654bca1d0b901191ceaa4c5d206c122e578fe6b07d169b4f526e395ffe02
conditional_worst_probabilities.csv,1060166,38535928cb120c092d23767f1a95746f28d083ed3de22e98c7e34b9d2e6b2995
direct_model_globality_note.md,555,0594c030e296759d7414db7fa4b90f4b29c534921852664450460ae73c2dc992
duplicate_path_summary.csv,2232,4d38bd3ede7c3cf702b39cb8c2c98ec175327ef199076f95189f5df09aefeb48
effective_sample_size_summary.csv,315,d5cc0a59458e9830ae780f5147488c519ef8fca35398486db82e0f6d68e76062
fixed_T_loss_solver_audit.csv,1207,088cba6eb1488760fd61d78ab82108c383df26326868074881aa32a2130d4ec5
fixed_T_losses_raw.csv,244925,df9545971066817edcd33a996b5315a1b2d48f654dc30f40abc4758b755c0a26
fixed_T_nominal_vs_probability_dro.csv,8384,8e8bd3cf7414c06c2aee163444ef9618c988f83ebf92817954dd7c04c2233a7d
flat_chi2_unit_tests.csv,877,50a8b37670438cc0aae9a4ba06a56da3207600774b0438ced67dfdd43a9bafa4
flat_probability_solver_audit.txt,147,c418a4f1f80297bd9638f13e5f31b33209a363dd7c16c9b69b804d9a0df279ba
flat_R15000_probability_layer_test.csv,382,9d5193c9d26fe22ec10796d1edeedad8f18d44a471a4d9e03d49e31340c1c6e3
formulation_size_estimate.csv,1118,1ed5a9d821883376b10c7b0bc380dbe68c81a45ce24d384aa2fa2d84b9f6a56a
leaf_probability_reconstruction.csv,32924264,4d1d6f83bf11490564c93a9a083ce4dd3de1573260ad47fdb972ef415fabd301
low_support_node_audit.csv,4584704,517cf8521d921be400567bba828184a56e760c2c39e0aa9a00c0fedbafb5cabf
mechanical_audit.txt,787,816b7829758ab9c0900820b27fa0054233fe7eb2000fcbdc6578fe891fd0f454
microtree_grid_validation.csv,405,eb753f02e3762f54432226b508cbcc233c353c5ae9013f41d0719edb77739499
next_stage_plan.md,378,0338c6717e31ce77de21c793903f464c4ceee7e09e97e0030ea87969b9267a3f
node_solver_test_details.md,1231,443574bd4da0d37e5f8146ddf4f33a5d84c6723fb533c156d11e7a74b6ac0d2e
node_solver_unit_tests.csv,1088,e05c614b05cdb6b83bd610f881ac8c03b0292f88724a198521b52b9ebac7a894
nominal_leaf_probabilities.csv,48530030,11f1a36f69afa42cb035eb5e7eab1f226a2c8d4b05c51e7bd3c53270f7ba3490
outer_T_integration_derivation.md,1960,ad6e765780e2442e6e7d8993f1bcd049c0a3f50fc776fe7ed12a12e6f5bcb64b
output_file_manifest.csv,5968,9c2283b2eebd39030d448e1a1620673c4f4c0b06afa015dae4f0339d041ddd81
path_data_provenance.md,1492,b7708b6c48c6ab74441ea6f8f2ace6cc06b036b8ba65c16022ae29e8cae01228
path_state_field_dictionary.csv,791,c83038cc63b0626f7bb43923b69efd73027a28ab532f70026104dcfb34ca64bb
path_to_leaf_mapping_audit.csv,59924931,4bfa1def1e467758e171c45721f16d4a2c93fb97ce99188f1ca036e31962e296
prepare_manifest.json,1564,a82feb8ea3cffe873aa51da39de3265e57071a49033a5d4ed12ca2f730edd2a8
probability_factorization_audit.txt,343,69a22f19d5f5d6a03bd1204ff95e13693cb62305d13050abcbe16172355cdac1
probability_provenance.csv,682,efd8177cfbd4d332d3eca9880e30d2a4f9f2fd9a84692a2c897f297d6ae340f9
README.md,2478,f95ff8ff60e2b6c1f65770bcc360e72bbe5f1ac0ca61da7b8a3d8ccc7987514b
recommended_solver_architecture.md,657,f438e9749076154eb0aa87958d7a2e87c94432b0019771abfa2bc059a3c9ebb0
recursion_vs_direct_microtree.csv,353,de2afa1524273f8aa83a4a9e435f1bf763411829dbddcee9eefef9ad37ab65e6
runtime_and_solver_calls.csv,289,2975a9eb5415acdc1d3b66e602fe6f2c1a4d0676a6c376bd768698f7144f48e4
selected_path_ids.csv,24021,89315ade438ce4dab4f738c7e72bd7ad7fd96750e2f1441c02ba1ae7b34b1f23
selected_subtree_manifest.csv,424,5b2707e2a51bd46f9e0fd698c5d198749db8d32b0bd1d8a3248e82174c85e3f3
small_scale_terminalLOH_prototype_summary.csv,758,867f8ddf07dff8bbdc4ba067bd41692a1fa878d40765499dbbd79d1dd544dba8
small_scale_terminalLOH_solver_audit.txt,534,75a18f587541591f0e10060eb7ddd55037403932821a8e53ad1c961126050116
source_code_evidence.csv,2396,49954e4f38a40fbdf692e59c806cd30949f2cee1728557decc232e7a13bd5ed7
state11_tree_edges.csv,1677713,ee5b3f366117934d4d0bf9b6f00ccab0acd9f6051f2135990101b945c5664673
state11_tree_nodes.csv,1799427,b90b002a225e0870f6e52a07aa2bcf0428d860f49fc745e33958e9c813bffca2
state19_tree_edges.csv,1758140,03a9b1c666fbf2b89eb8234708b4e1bac81bf3277b6c8c1067d6af62b9096cbb
state19_tree_nodes.csv,1872691,62b935fa9770292224d7194fb065d1a4b3b10e5514adcb70d58698193f66b749
state7_tree_edges.csv,1044322,bb6d0b6af1bc203411d68988c421620d8b683a02cbbbac448cbbcf1f77325646
state7_tree_nodes.csv,1118311,3fba62ea8a69ef85818f2ecfedcec6d3c6a4a105923c2664083529617aaea0c4
state9_tree_edges.csv,1639591,ca8e14c84428f5eb65b6b0998953f7fa20ec638a871348514fd9b02e63d97c7f
state9_tree_nodes.csv,1755874,36aee80f11e1c423f74232af722b6b9c6f59806765847bb48be4aedf4aba2c4a
state_scenario_count_audit.csv,3385,f426d28b3264a795710ec63b3f2f7a858d5991b06a478c2f4b7bb8201fedd3a4
statistical_feasibility.md,1223,7fb0f0bcde210668e8558d5dbdc067dfafd398c1af0fa4d3516327bf87d8a567
structured_vs_flat_feasibility.csv,5345,91a4e8849d7f83a5d6844f07a311d4d275b9811b62588eec3338c9376e5fe3eb
subtree_integrity_audit.txt,268,840fcdd69fc7e8f2abc688760972f47b4d9c1f7d9c15c998ddda6783898b3fc9
subtree_probability_renormalization.csv,236,3dcffc92f574d905472592b9cffe5326975205d34e0e877ecf3f805281596c3a
theoretical_positive_transition_coverage_summary.csv,6741,d44cc04def745b25fecb888417ef872bda4e0a633c7304c7931b2f639a32b9c6
tree_integrity_audit.txt,275,abb626446ba5e008ce3a805e2694bc6e2683ead4bc4c11962ea0f225f26c928c
tree_recursion_audit.txt,43,7491066d67f18eda07dcc5904fbe976e27b1983e31f7dbb5039f9437dfdc6dcc
tree_recursion_unit_tests.csv,680,d20e3f3210df81712f41025d56fcf8130a4fd8682d8bb0c73ac2e6b320588d0c
tree_stage_statistics.csv,10653,957ebd6fe9d8c557565b7e91d033eb6f2ea31b0553da66bb6a4465f2c19691ca
tree_summary_all_35_states.csv,3297,f4461d93bd4e2da2e924c3035531fde145673fc27178426e4347132954bbcfe9
unresolved_mathematical_issues.md,710,26d8c6fbc2cc99a48dbd76a0edcd58593091c786cd76021fcf0eb93f08d1b335
worst_path_probability_shift.csv,909263,556477db570e75d6f4e189a2567d0c223ecb2d0e080bd689033ba29ca028f71d
zero_probability_edge_audit.csv,78,5e4f014d1f23572d6557edb6d286b38ab640e931e9e3250eb9ea85afdf5e0c59
