initial_state_id,parent_id,child_id,parent_stage,child_stage,parent_native_state,child_native_state,parent_support_count,child_support_count,nominal_conditional_probability,theoretical_transition_probability
19,s19:root,s19:n1:a=4|loc=4|lfw=1,0,1,a=4|loc=5|lfw=0,a=4|loc=4|lfw=1,15000,1859,0.12393333333333334,0.12039500000000006
19,s19:n1:a=4|loc=4|lfw=1,s19:n2:a=4|loc=4|lfw=1>a=4|loc=3|lfw=2,1,2,a=4|loc=4|lfw=1,a=4|loc=3|lfw=2,1859,237,0.12748789671866595,0.12039500000000006
19,s19:n2:a=4|loc=4|lfw=1>a=4|loc=3|lfw=2,s19:n3:a=4|loc=4|lfw=1>a=4|loc=3|lfw=2>a=5|loc=5|lfw=3,2,3,a=4|loc=3|lfw=2,a=5|loc=5|lfw=3,237,4,0.016877637130801686,0.00546
19,s19:root,s19:n1:a=4|loc=4|lfw=2,0,1,a=4|loc=5|lfw=0,a=4|loc=4|lfw=2,15000,51,0.0034,0.0032105333333333347
19,s19:n1:a=4|loc=4|lfw=2,s19:n2:a=4|loc=4|lfw=2>a=4|loc=5|lfw=3,1,2,a=4|loc=4|lfw=2,a=4|loc=5|lfw=3,51,7,0.13725490196078433,0.1532300000000001
19,s19:n2:a=4|loc=4|lfw=2>a=4|loc=5|lfw=3,s19:n3:a=4|loc=4|lfw=2>a=4|loc=5|lfw=3>a=4|loc=4|lfw=3,2,3,a=4|loc=5|lfw=3,a=4|loc=4|lfw=3,7,2,0.2857142857142857,0.15250033333333338
19,s19:root,s19:n1:a=4|loc=5|lfw=1,0,1,a=4|loc=5|lfw=0,a=4|loc=5|lfw=1,15000,1495,0.09966666666666667,0.09850500000000005
19,s19:n1:a=4|loc=5|lfw=1,s19:n2:a=4|loc=5|lfw=1>a=5|loc=5|lfw=1,1,2,a=4|loc=5|lfw=1,a=5|loc=5|lfw=1,1495,1,0.0006688963210702341,0.0018144
19,s19:n2:a=4|loc=5|lfw=1>a=5|loc=5|lfw=1,s19:n3:a=4|loc=5|lfw=1>a=5|loc=5|lfw=1>a=5|loc=7|lfw=2,2,3,a=5|loc=5|lfw=1,a=5|loc=7|lfw=2,1,1,1.0,0.075855
19,s19:root,s19:n1:a=4|loc=4|lfw=0,0,1,a=4|loc=5|lfw=0,a=4|loc=4|lfw=0,15000,565,0.03766666666666667,0.03692113333333335
19,s19:n1:a=4|loc=4|lfw=0,s19:n2:a=4|loc=4|lfw=0>a=3|loc=5|lfw=1,1,2,a=4|loc=4|lfw=0,a=3|loc=5|lfw=1,565,20,0.035398230088495575,0.039759999999999934
