initial_state_id,T_label,eta,structured_nonnegative,structured_sum_error,structured_root_reconstruction_error,flat_nonnegative,flat_sum_error,flat_divergence_used,pass
7,ZERO,0.0,True,6.661338147750939e-16,0.0,True,4.440892098500626e-16,0.0,True
7,ZERO,0.001,True,3.3306690738754696e-15,0.0,True,0.0,0.0010000000000004437,True
7,ZERO,0.01,True,1.9984014443252818e-15,0.0,True,4.440892098500626e-16,0.01000000000000045,True
7,ZERO,0.05,True,2.4424906541753444e-15,0.0,True,0.0,0.05000000000000045,True
7,ZERO,0.1,True,2.220446049250313e-16,0.0,True,0.0,0.10000000000000045,True
7,HALF_CAPACITY,0.0,True,6.661338147750939e-16,0.0,True,4.440892098500626e-16,0.0,True
7,HALF_CAPACITY,0.001,True,4.440892098500626e-16,0.0,True,0.0,0.0010000000000004452,True
7,HALF_CAPACITY,0.01,True,2.6645352591003757e-15,0.0,True,0.0,0.010000000000000451,True
7,HALF_CAPACITY,0.05,True,2.4424906541753444e-15,0.0,True,0.0,0.05000000000000044,True
7,HALF_CAPACITY,0.1,True,2.1094237467877974e-15,0.0,True,2.220446049250313e-16,0.10000000000000055,True
7,FULL_CAPACITY,0.0,True,6.661338147750939e-16,0.0,True,4.440892098500626e-16,0.0,True
7,FULL_CAPACITY,0.001,True,1.6653345369377348e-15,0.0,True,4.440892098500626e-16,0.0010000000000004456,True
7,FULL_CAPACITY,0.01,True,3.1086244689504383e-15,0.0,True,0.0,0.010000000000000453,True
7,FULL_CAPACITY,0.05,True,8.881784197001252e-16,0.0,True,0.0,0.05000000000000044,True
7,FULL_CAPACITY,0.1,True,9.992007221626409e-16,0.0,True,0.0,0.10000000000000042,True
7,STEP03YF_PERIOD_R2000,0.0,True,6.661338147750939e-16,0.0,True,4.440892098500626e-16,0.0,True
7,STEP03YF_PERIOD_R2000,0.001,True,3.3306690738754696e-15,0.0,True,1.1102230246251565e-16,0.0010000000000004445,True
7,STEP03YF_PERIOD_R2000,0.01,True,3.3306690738754696e-15,0.0,True,0.0,0.010000000000000456,True
7,STEP03YF_PERIOD_R2000,0.05,True,1.9984014443252818e-15,0.0,True,2.220446049250313e-16,0.05000000000000047,True
7,STEP03YF_PERIOD_R2000,0.1,True,2.886579864025407e-15,0.0,True,2.220446049250313e-16,0.10000000000000063,True
7,ASYMMETRIC_CAPACITY_FRACTION,0.0,True,6.661338147750939e-16,0.0,True,4.440892098500626e-16,0.0,True
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,True,6.661338147750939e-16,0.0,True,2.220446049250313e-16,0.001000000000000445,True
7,ASYMMETRIC_CAPACITY_FRACTION,0.01,True,1.7763568394002505e-15,0.0,True,1.1102230246251565e-16,0.010000000000000444,True
7,ASYMMETRIC_CAPACITY_FRACTION,0.05,True,2.886579864025407e-15,0.0,True,1.1102230246251565e-16,0.05000000000000048,True
7,ASYMMETRIC_CAPACITY_FRACTION,0.1,True,1.1102230246251565e-15,0.0,True,0.0,0.10000000000000055,True
19,ZERO,0.0,True,6.661338147750939e-16,5.820766091346741e-11,True,4.440892098500626e-16,0.0,True
19,ZERO,0.001,True,2.220446049250313e-16,5.820766091346741e-11,True,0.0,0.001000000000000445,True
19,ZERO,0.01,True,0.0,0.0,True,1.1102230246251565e-16,0.01000000000000046,True
19,ZERO,0.05,True,0.0,5.820766091346741e-11,True,2.220446049250313e-16,0.05000000000000049,True
19,ZERO,0.1,True,1.1102230246251565e-16,5.820766091346741e-11,True,0.0,0.1000000000000005,True
19,HALF_CAPACITY,0.0,True,6.661338147750939e-16,3.637978807091713e-12,True,4.440892098500626e-16,0.0,True
19,HALF_CAPACITY,0.001,True,2.220446049250313e-16,7.275957614183426e-12,True,0.0,0.0010000000000004435,True
19,HALF_CAPACITY,0.01,True,2.220446049250313e-16,0.0,True,0.0,0.010000000000000453,True
19,HALF_CAPACITY,0.05,True,8.881784197001252e-16,0.0,True,0.0,0.050000000000000454,True
19,HALF_CAPACITY,0.1,True,4.440892098500626e-16,1.4551915228366852e-11,True,0.0,0.10000000000000048,True
19,FULL_CAPACITY,0.0,True,6.661338147750939e-16,3.637978807091713e-12,True,4.440892098500626e-16,0.0,True
19,FULL_CAPACITY,0.001,True,8.881784197001252e-16,0.0,True,4.440892098500626e-16,0.0010000000000004437,True
19,FULL_CAPACITY,0.01,True,6.661338147750939e-16,7.275957614183426e-12,True,0.0,0.01000000000000045,True
19,FULL_CAPACITY,0.05,True,7.771561172376096e-16,3.637978807091713e-12,True,1.1102230246251565e-16,0.050000000000000495,True
19,FULL_CAPACITY,0.1,True,8.881784197001252e-16,0.0,True,2.220446049250313e-16,0.1000000000000005,True
19,STEP03YF_PERIOD_R2000,0.0,True,6.661338147750939e-16,1.8189894035458565e-12,True,4.440892098500626e-16,0.0,True
19,STEP03YF_PERIOD_R2000,0.001,True,1.1102230246251565e-16,1.8189894035458565e-12,True,1.1102230246251565e-16,0.0010000000000004452,True
19,STEP03YF_PERIOD_R2000,0.01,True,2.220446049250313e-16,0.0,True,0.0,0.010000000000000451,True
19,STEP03YF_PERIOD_R2000,0.05,True,2.220446049250313e-16,1.0913936421275139e-11,True,0.0,0.05000000000000053,True
19,STEP03YF_PERIOD_R2000,0.1,True,9.992007221626409e-16,1.4551915228366852e-11,True,2.220446049250313e-16,0.10000000000000048,True
19,ASYMMETRIC_CAPACITY_FRACTION,0.0,True,6.661338147750939e-16,0.0,True,4.440892098500626e-16,0.0,True
19,ASYMMETRIC_CAPACITY_FRACTION,0.001,True,4.440892098500626e-16,1.4551915228366852e-11,True,1.1102230246251565e-16,0.0010000000000004448,True
19,ASYMMETRIC_CAPACITY_FRACTION,0.01,True,1.1102230246251565e-15,1.4551915228366852e-11,True,0.0,0.010000000000000451,True
19,ASYMMETRIC_CAPACITY_FRACTION,0.05,True,2.220446049250313e-16,1.4551915228366852e-11,True,0.0,0.05000000000000049,True
19,ASYMMETRIC_CAPACITY_FRACTION,0.1,True,6.661338147750939e-16,1.4551915228366852e-11,True,0.0,0.10000000000000053,True
