parent_stage,support_bin,node_count,node_probability_mass,leaf_path_count_sum,leaf_probability_mass_sum,single_child_share,multi_child_share,mean_theoretical_child_support_coverage_share
0,>=100,35,35.0,256884,35.0,0.0,1.0,0.8897052154195011
1,1,213,0.014200000000000003,213,0.014200000000000003,1.0,0.0,0.016743190625232853
1,10-29,570,0.6586666666666464,9266,0.6586666666666464,0.0,1.0,0.14879905202821891
1,2-4,330,0.062399999999990304,928,0.062399999999990304,0.03939393939393939,0.9606060606060606,0.043186137165303805
1,30-99,441,1.615933333333319,20395,1.6159333333333161,0.0,1.0,0.2599980578651216
1,5-9,335,0.15619999999999057,2292,0.15619999999999057,0.0,1.0,0.08537048882571267
1,>=100,850,32.49259999999997,223790,32.49259999999997,0.0,1.0,0.47467419856831594
2,1,21424,1.428266666666667,21424,1.428266666666667,1.0,0.0,0.017731921853204005
2,10-29,6935,7.594799999999746,70117,7.594799999999745,0.0,1.0,0.13665809500921205
2,2-4,16347,2.912466666666172,40292,2.912466666666172,0.04985624273567015,0.9501437572643299,0.04038145600878889
2,30-99,3193,11.039866666666562,62547,11.03986666666654,0.0,1.0,0.2402222122798394
2,5-9,7268,3.1837333333331377,38420,3.1837333333331372,0.000275178866263071,0.999724821133737,0.07791813310430745
2,>=100,747,8.840866666666642,24084,8.840866666666628,0.0,1.0,0.37179896836021326
