initial_state_id,parent_stage,parent_node_count,unique_native_state_count,unique_prefix_count,unique_edge_count,shared_parent_count,average_child_count,median_child_count,maximum_child_count,single_child_parent_share,prefix_shared_by_at_least_2_share,prefix_shared_by_at_least_10_share,node_supported_by_one_sample_share
1,0,1,1,1,71,1,71.0,71.0,71,0.0,1.0,1.0,0.0
1,1,71,71,71,1113,66,15.67605633802817,10.0,74,0.07042253521126761,0.9295774647887324,0.6056338028169014,0.07042253521126761
1,2,1113,138,1113,5525,724,4.964061096136568,2.0,38,0.3665768194070081,0.6504941599281222,0.252470799640611,0.3495058400718778
2,0,1,1,1,71,1,71.0,71.0,71,0.0,1.0,1.0,0.0
2,1,71,71,71,1145,64,16.12676056338028,11.0,68,0.11267605633802817,0.9014084507042254,0.6056338028169014,0.09859154929577464
2,2,1145,155,1145,5648,730,4.932751091703056,2.0,47,0.3764192139737991,0.6375545851528385,0.25589519650655024,0.3624454148471616
3,0,1,1,1,73,1,73.0,73.0,73,0.0,1.0,1.0,0.0
3,1,73,73,73,1192,67,16.328767123287673,11.0,71,0.0821917808219178,0.9178082191780822,0.6164383561643836,0.0821917808219178
3,2,1192,157,1192,5807,738,4.871644295302014,2.0,42,0.39429530201342283,0.6191275167785235,0.23741610738255034,0.3808724832214765
4,0,1,1,1,73,1,73.0,73.0,73,0.0,1.0,1.0,0.0
4,1,73,73,73,1196,66,16.383561643835616,10.0,72,0.0958904109589041,0.9041095890410958,0.6164383561643836,0.0958904109589041
4,2,1196,160,1196,5856,776,4.896321070234114,2.0,41,0.3729096989966555,0.6488294314381271,0.2391304347826087,0.3511705685618729
5,0,1,1,1,73,1,73.0,73.0,73,0.0,1.0,1.0,0.0
5,1,73,73,73,1178,65,16.136986301369863,9.0,71,0.1095890410958904,0.8904109589041096,0.589041095890411,0.1095890410958904
5,2,1178,155,1178,5782,767,4.9083191850594226,2.0,41,0.37181663837011886,0.6511035653650254,0.2300509337860781,0.34889643463497455
6,0,1,1,1,71,1,71.0,71.0,71,0.0,1.0,1.0,0.0
6,1,71,71,71,1141,64,16.070422535211268,10.0,69,0.09859154929577464,0.9014084507042254,0.647887323943662,0.09859154929577464
6,2,1141,145,1141,5562,731,4.87467134092901,2.0,39,0.37160385626643294,0.6406660823838738,0.2541630148992112,0.3593339176161262
7,0,1,1,1,69,1,69.0,69.0,69,0.0,1.0,1.0,0.0
7,1,69,69,69,1057,66,15.318840579710145,10.0,67,0.057971014492753624,0.9565217391304348,0.6376811594202898,0.043478260869565216
7,2,1057,133,1057,5266,692,4.982024597918637,2.0,39,0.3576158940397351,0.6546830652790918,0.261116367076632,0.34531693472090824
8,0,1,1,1,93,1,93.0,93.0,93,0.0,1.0,1.0,0.0
8,1,93,93,93,1835,85,19.731182795698924,12.0,92,0.11827956989247312,0.9139784946236559,0.6774193548387096,0.08602150537634409
8,2,1835,177,1835,7828,1114,4.265940054495913,2.0,45,0.4103542234332425,0.6070844686648501,0.179291553133515,0.39291553133514984
9,0,1,1,1,90,1,90.0,90.0,90,0.0,1.0,1.0,0.0
9,1,90,90,90,1862,81,20.68888888888889,12.5,94,0.1,0.9,0.7,0.1
9,2,1862,201,1862,8098,1107,4.349087003222341,2.0,48,0.42158968850698175,0.5945220193340494,0.17883995703544575,0.4054779806659506
10,0,1,1,1,92,1,92.0,92.0,92,0.0,1.0,1.0,0.0
10,1,92,92,92,1890,85,20.543478260869566,13.0,97,0.07608695652173914,0.9239130434782609,0.6739130434782609,0.07608695652173914
10,2,1890,214,1890,8114,1157,4.293121693121694,2.0,45,0.4074074074074074,0.6121693121693121,0.17566137566137566,0.3878306878306878
11,0,1,1,1,95,1,95.0,95.0,95,0.0,1.0,1.0,0.0
11,1,95,95,95,1926,88,20.273684210526316,12.0,97,0.08421052631578947,0.9263157894736842,0.6631578947368421,0.07368421052631578
11,2,1926,219,1926,8146,1153,4.229491173416407,2.0,51,0.4221183800623053,0.59865005192108,0.1703011422637591,0.40134994807892005
12,0,1,1,1,90,1,90.0,90.0,90,0.0,1.0,1.0,0.0
12,1,90,90,90,1895,87,21.055555555555557,13.0,90,0.03333333333333333,0.9666666666666667,0.6777777777777778,0.03333333333333333
12,2,1895,210,1895,8161,1145,4.306596306068601,2.0,45,0.4137203166226913,0.604221635883905,0.17572559366754617,0.39577836411609496
13,0,1,1,1,92,1,92.0,92.0,92,0.0,1.0,1.0,0.0
13,1,92,92,92,1848,87,20.08695652173913,12.0,90,0.05434782608695652,0.9456521739130435,0.7065217391304348,0.05434782608695652
13,2,1848,190,1848,8019,1155,4.339285714285714,2.0,44,0.3906926406926407,0.625,0.17261904761904762,0.375
14,0,1,1,1,94,1,94.0,94.0,94,0.0,1.0,1.0,0.0
14,1,94,94,94,1774,82,18.872340425531913,11.0,84,0.1276595744680851,0.8723404255319149,0.6702127659574468,0.1276595744680851
