initial_state_id,T_label,solver_status,solver_call_count,scenario_evaluation_count,batch_runtime_sec,objective_reconstruction_abs_error,max_demand_balance_error,max_site_capacity_violation,replay_max_DAC_error,peak_working_set_bytes,random_call_count,failed_scenario_count
7,ZERO,OPTIMAL,1,200,0.1018799,2.3283064365387e-10,0,0,0,1679622144,0,0
7,HALF_CAPACITY,OPTIMAL,1,200,0.0738393,0,0,0,0,1679622144,0,0
7,FULL_CAPACITY,OPTIMAL,1,200,0.0693416,0,0,-40.5395084963042,0,1679622144,0,0
7,STEP03YF_PERIOD_R2000,OPTIMAL,1,200,0.0698392,0,0,0,0,1679622144,0,0
7,ASYMMETRIC_CAPACITY_FRACTION,OPTIMAL,1,200,0.070568,0,0,0,0,1679622144,0,0
19,ZERO,OPTIMAL,1,200,0.1021361,3.94880771636963e-07,0,0,0,1747890176,0,0
19,HALF_CAPACITY,OPTIMAL,1,200,0.1689261,1.49011611938477e-08,1.77635683940025e-15,5.6843418860808e-14,0,1747890176,0,0
19,FULL_CAPACITY,OPTIMAL,1,200,0.1164515,3.25962901115417e-09,0,1.13686837721616e-13,0,1747890176,0,0
19,STEP03YF_PERIOD_R2000,OPTIMAL,1,200,0.1199293,3.25962901115417e-09,1.77635683940025e-15,4.54747350886464e-13,0,1747890176,0,0
19,ASYMMETRIC_CAPACITY_FRACTION,OPTIMAL,1,200,0.1235516,7.45058059692383e-09,1.77635683940025e-15,1.13686837721616e-13,0,1747890176,0,0
