initial_state_id,main_sample_count,nominal_DAC_count,min,max,sum,expected_count,count_pass,weight_pass
1,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
2,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
3,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
4,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
5,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
6,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
7,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
8,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
9,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
10,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
11,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
12,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
13,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
14,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
15,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
16,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
17,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
18,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
19,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
20,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
21,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
22,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
23,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
24,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
25,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
26,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
27,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
28,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
29,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
30,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
31,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
32,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
33,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
34,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
35,15000,15000,6.66666666666667e-05,6.66666666666667e-05,1.0000000000000004,15000,True,False
