model,initial_state_id,R,eta,T1_kg,T2_kg,T3_kg,T4_kg,nominal_expected_operating_cost,eta001_worst_expected_operating_cost,nominal_total_objective,eta001_robust_total_objective,maximum_probability_shift,solver_runtime_sec,solver_status,model_residual,optimization_solver_call_count,evaluation_solver_call_count
WEIGHTED_SAA,19,100,0,290.756348362109,89.1907372555437,75.8257643946213,137.468292283774,10181.8894076119,15335.2714998736,11368.371692204,16521.7537844657,0.00920019280830169,0.0514061,OPTIMAL,3.90798504668055e-14,1,1
FLAT_CHI2_DRO,19,100,0.01,292.905870121283,86.4671088240163,76.7221551932935,137.146009864536,10181.9464205354,15335.2614855523,11368.4287085416,16521.7437735585,0.00920031136543932,0.0763305,OPTIMAL,1.22604149055405e-11,1,1
