initial_state_id,node_id,stage,parent_id,native_state,prefix_key,sample_support_count,nominal_probability_mass
9,s9:root,0,,a=3|loc=2|lfw=0,a=3|loc=2|lfw=0,15000,1.0
9,s9:n1:a=2|loc=-1|lfw=1,1,s9:root,a=2|loc=-1|lfw=1,a=2|loc=-1|lfw=1,133,0.008866666666666667
9,s9:n2:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1,2,s9:n1:a=2|loc=-1|lfw=1,a=2|loc=-1|lfw=1,a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1,5,0.0003333333333333333
9,s9:n3:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1>a=2|loc=-2|lfw=2,3,s9:n2:a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1,a=2|loc=-2|lfw=2,a=2|loc=-1|lfw=1>a=2|loc=-1|lfw=1>a=2|loc=-2|lfw=2,2,0.00013333333333333334
9,s9:n1:a=3|loc=3|lfw=1,1,s9:root,a=3|loc=3|lfw=1,a=3|loc=3|lfw=1,1978,0.13186666666666666
9,s9:n2:a=3|loc=3|lfw=1>a=2|loc=3|lfw=1,2,s9:n1:a=3|loc=3|lfw=1,a=2|loc=3|lfw=1,a=3|loc=3|lfw=1>a=2|loc=3|lfw=1,20,0.0013333333333333333
9,s9:n3:a=3|loc=3|lfw=1>a=2|loc=3|lfw=1>a=2|loc=3|lfw=2,3,s9:n2:a=3|loc=3|lfw=1>a=2|loc=3|lfw=1,a=2|loc=3|lfw=2,a=3|loc=3|lfw=1>a=2|loc=3|lfw=1>a=2|loc=3|lfw=2,2,0.00013333333333333334
9,s9:n1:a=3|loc=1|lfw=1,1,s9:root,a=3|loc=1|lfw=1,a=3|loc=1|lfw=1,1577,0.10513333333333333
9,s9:n2:a=3|loc=1|lfw=1>a=4|loc=1|lfw=2,2,s9:n1:a=3|loc=1|lfw=1,a=4|loc=1|lfw=2,a=3|loc=1|lfw=1>a=4|loc=1|lfw=2,18,0.0012
9,s9:n3:a=3|loc=1|lfw=1>a=4|loc=1|lfw=2>a=4|loc=1|lfw=1,3,s9:n2:a=3|loc=1|lfw=1>a=4|loc=1|lfw=2,a=4|loc=1|lfw=1,a=3|loc=1|lfw=1>a=4|loc=1|lfw=2>a=4|loc=1|lfw=1,1,6.666666666666667e-05
9,s9:n1:a=2|loc=4|lfw=1,1,s9:root,a=2|loc=4|lfw=1,a=2|loc=4|lfw=1,414,0.0276
9,s9:n2:a=2|loc=4|lfw=1>a=2|loc=1|lfw=2,2,s9:n1:a=2|loc=4|lfw=1,a=2|loc=1|lfw=2,a=2|loc=4|lfw=1>a=2|loc=1|lfw=2,12,0.0008
9,s9:n3:a=2|loc=4|lfw=1>a=2|loc=1|lfw=2>a=2|loc=2|lfw=3,3,s9:n2:a=2|loc=4|lfw=1>a=2|loc=1|lfw=2,a=2|loc=2|lfw=3,a=2|loc=4|lfw=1>a=2|loc=1|lfw=2>a=2|loc=2|lfw=3,5,0.0003333333333333333
9,s9:n1:a=2|loc=1|lfw=1,1,s9:root,a=2|loc=1|lfw=1,a=2|loc=1|lfw=1,697,0.04646666666666667
9,s9:n2:a=2|loc=1|lfw=1>a=2|loc=3|lfw=2,2,s9:n1:a=2|loc=1|lfw=1,a=2|loc=3|lfw=2,a=2|loc=1|lfw=1>a=2|loc=3|lfw=2,70,0.004666666666666667
9,s9:n3:a=2|loc=1|lfw=1>a=2|loc=3|lfw=2>a=2|loc=1|lfw=3,3,s9:n2:a=2|loc=1|lfw=1>a=2|loc=3|lfw=2,a=2|loc=1|lfw=3,a=2|loc=1|lfw=1>a=2|loc=3|lfw=2>a=2|loc=1|lfw=3,10,0.0006666666666666666
9,s9:n1:a=3|loc=2|lfw=1,1,s9:root,a=3|loc=2|lfw=1,a=3|loc=2|lfw=1,1291,0.08606666666666667
9,s9:n2:a=3|loc=2|lfw=1>a=3|loc=2|lfw=0,2,s9:n1:a=3|loc=2|lfw=1,a=3|loc=2|lfw=0,a=3|loc=2|lfw=1>a=3|loc=2|lfw=0,13,0.0008666666666666666
9,s9:n3:a=3|loc=2|lfw=1>a=3|loc=2|lfw=0>a=3|loc=3|lfw=0,3,s9:n2:a=3|loc=2|lfw=1>a=3|loc=2|lfw=0,a=3|loc=3|lfw=0,a=3|loc=2|lfw=1>a=3|loc=2|lfw=0>a=3|loc=3|lfw=0,1,6.666666666666667e-05
9,s9:n1:a=3|loc=3|lfw=0,1,s9:root,a=3|loc=3|lfw=0,a=3|loc=3|lfw=0,607,0.040466666666666665
9,s9:n2:a=3|loc=3|lfw=0>a=3|loc=4|lfw=0,2,s9:n1:a=3|loc=3|lfw=0,a=3|loc=4|lfw=0,a=3|loc=3|lfw=0>a=3|loc=4|lfw=0,30,0.002
9,s9:n3:a=3|loc=3|lfw=0>a=3|loc=4|lfw=0>a=4|loc=5|lfw=1,3,s9:n2:a=3|loc=3|lfw=0>a=3|loc=4|lfw=0,a=4|loc=5|lfw=1,a=3|loc=3|lfw=0>a=3|loc=4|lfw=0>a=4|loc=5|lfw=1,1,6.666666666666667e-05
9,s9:n1:a=2|loc=2|lfw=0,1,s9:root,a=2|loc=2|lfw=0,a=2|loc=2|lfw=0,186,0.0124
9,s9:n2:a=2|loc=2|lfw=0>a=2|loc=3|lfw=0,2,s9:n1:a=2|loc=2|lfw=0,a=2|loc=3|lfw=0,a=2|loc=2|lfw=0>a=2|loc=3|lfw=0,16,0.0010666666666666667
9,s9:n3:a=2|loc=2|lfw=0>a=2|loc=3|lfw=0>a=2|loc=5|lfw=1,3,s9:n2:a=2|loc=2|lfw=0>a=2|loc=3|lfw=0,a=2|loc=5|lfw=1,a=2|loc=2|lfw=0>a=2|loc=3|lfw=0>a=2|loc=5|lfw=1,5,0.0003333333333333333
9,s9:n1:a=3|loc=-1|lfw=1,1,s9:root,a=3|loc=-1|lfw=1,a=3|loc=-1|lfw=1,294,0.0196
9,s9:n2:a=3|loc=-1|lfw=1>a=3|loc=-1|lfw=2,2,s9:n1:a=3|loc=-1|lfw=1,a=3|loc=-1|lfw=2,a=3|loc=-1|lfw=1>a=3|loc=-1|lfw=2,31,0.0020666666666666667
