initial_state_id,a0,loc0,lfw0,original_path_count,unique_full_path_count,duplicate_path_record_count,unique_stage1_native_state_count,unique_stage2_native_state_count,unique_stage3_native_state_count,tree_node_count,tree_edge_count,flat_path_state_record_count,tree_to_flat_storage_ratio,compression_saving_share
1,2,1,0,15000,5525,9475,71,138,174,6710,6709,60000,0.11183333333333334,0.8881666666666667
2,2,2,0,15000,5648,9352,71,155,190,6865,6864,60000,0.11441666666666667,0.8855833333333334
3,2,3,0,15000,5807,9193,73,157,193,7073,7072,60000,0.11788333333333334,0.8821166666666667
4,2,4,0,15000,5856,9144,73,160,192,7126,7125,60000,0.11876666666666667,0.8812333333333333
5,2,5,0,15000,5782,9218,73,155,182,7034,7033,60000,0.11723333333333333,0.8827666666666667
6,2,6,0,15000,5562,9438,71,145,179,6775,6774,60000,0.11291666666666667,0.8870833333333333
7,2,7,0,15000,5266,9734,69,133,169,6393,6392,60000,0.10655,0.89345
8,3,1,0,15000,7828,7172,93,177,218,9757,9756,60000,0.16261666666666666,0.8373833333333334
9,3,2,0,15000,8098,6902,90,201,241,10051,10050,60000,0.16751666666666667,0.8324833333333334
10,3,3,0,15000,8114,6886,92,214,248,10097,10096,60000,0.16828333333333334,0.8317166666666667
11,3,4,0,15000,8146,6854,95,219,248,10168,10167,60000,0.16946666666666665,0.8305333333333333
12,3,5,0,15000,8161,6839,90,210,241,10147,10146,60000,0.16911666666666667,0.8308833333333333
13,3,6,0,15000,8019,6981,92,190,228,9960,9959,60000,0.166,0.834
14,3,7,0,15000,7731,7269,94,173,213,9600,9599,60000,0.16,0.84
15,4,1,0,15000,8037,6963,94,201,242,9982,9981,60000,0.16636666666666666,0.8336333333333333
16,4,2,0,15000,8407,6593,97,215,265,10485,10484,60000,0.17475,0.82525
17,4,3,0,15000,8440,6560,93,226,277,10514,10513,60000,0.17523333333333332,0.8247666666666666
18,4,4,0,15000,8503,6497,94,239,279,10634,10633,60000,0.17723333333333333,0.8227666666666666
19,4,5,0,15000,8464,6536,97,227,264,10580,10579,60000,0.17633333333333334,0.8236666666666667
20,4,6,0,15000,8236,6764,91,207,260,10228,10227,60000,0.17046666666666666,0.8295333333333333
21,4,7,0,15000,8026,6974,96,198,238,10011,10010,60000,0.16685,0.8331500000000001
22,5,1,0,15000,7092,7908,74,175,236,8686,8685,60000,0.14476666666666665,0.8552333333333333
23,5,2,0,15000,7226,7774,74,184,248,8871,8870,60000,0.14785,0.85215
24,5,3,0,15000,7490,7510,73,197,249,9158,9157,60000,0.15263333333333334,0.8473666666666666
25,5,4,0,15000,7332,7668,75,208,253,8979,8978,60000,0.14965,0.8503499999999999
26,5,5,0,15000,7300,7700,70,193,251,8929,8928,60000,0.14881666666666668,0.8511833333333333
27,5,6,0,15000,7158,7842,75,179,236,8796,8795,60000,0.1466,0.8533999999999999
28,5,7,0,15000,6862,8138,74,159,219,8427,8426,60000,0.14045,0.85955
29,6,1,0,15000,7369,7631,59,142,211,8849,8848,60000,0.14748333333333333,0.8525166666666667
30,6,2,0,15000,7512,7488,60,172,231,9048,9047,60000,0.1508,0.8492
31,6,3,0,15000,7698,7302,57,174,228,9268,9267,60000,0.15446666666666667,0.8455333333333334
32,6,4,0,15000,7803,7197,58,182,241,9388,9387,60000,0.15646666666666667,0.8435333333333334
33,6,5,0,15000,7657,7343,62,178,230,9246,9245,60000,0.1541,0.8459
34,6,6,0,15000,7589,7411,60,164,217,9108,9107,60000,0.1518,0.8482000000000001
35,6,7,0,15000,7140,7860,59,143,198,8629,8628,60000,0.14381666666666668,0.8561833333333333
