initial_state_id,parent_id,child_id,parent_stage,child_stage,parent_native_state,child_native_state,parent_support_count,child_support_count,nominal_conditional_probability,theoretical_transition_probability
7,s7:n2:a=2|loc=10|lfw=0>a=2|loc=8|lfw=0,s7:n3:a=2|loc=10|lfw=0>a=2|loc=8|lfw=0>a=2|loc=8|lfw=1,2,3,a=2|loc=8|lfw=0,a=2|loc=8|lfw=1,6,1,0.16666666666666666,0.11951052631578926
7,s7:root,s7:n1:a=2|loc=5|lfw=1,0,1,a=2|loc=7|lfw=0,a=2|loc=5|lfw=1,15000,941,0.06273333333333334,0.063075
7,s7:n1:a=2|loc=5|lfw=1,s7:n2:a=2|loc=5|lfw=1>a=2|loc=3|lfw=2,1,2,a=2|loc=5|lfw=1,a=2|loc=3|lfw=2,941,66,0.07013815090329437,0.063075
7,s7:n2:a=2|loc=5|lfw=1>a=2|loc=3|lfw=2,s7:n3:a=2|loc=5|lfw=1>a=2|loc=3|lfw=2>a=2|loc=5|lfw=1,2,3,a=2|loc=3|lfw=2,a=2|loc=5|lfw=1,66,1,0.015151515151515152,0.0054665
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=9|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=9|lfw=2>a=1|loc=8|lfw=2,2,3,a=2|loc=9|lfw=2,a=1|loc=8|lfw=2,482,4,0.008298755186721992,0.007619512195121943
7,s7:root,s7:n1:a=2|loc=9|lfw=1,0,1,a=2|loc=7|lfw=0,a=2|loc=9|lfw=1,15000,1228,0.08186666666666667,0.0819975
7,s7:n1:a=2|loc=9|lfw=1,s7:n2:a=2|loc=9|lfw=1>a=2|loc=10|lfw=2,1,2,a=2|loc=9|lfw=1,a=2|loc=10|lfw=2,1228,259,0.21091205211726385,0.21537804878048758
7,s7:n2:a=2|loc=9|lfw=1>a=2|loc=10|lfw=2,s7:n3:a=2|loc=9|lfw=1>a=2|loc=10|lfw=2>a=2|loc=10|lfw=1,2,3,a=2|loc=10|lfw=2,a=2|loc=10|lfw=1,259,7,0.02702702702702703,0.014016666666666653
7,s7:n1:a=2|loc=8|lfw=1,s7:n2:a=2|loc=8|lfw=1>a=2|loc=7|lfw=2,1,2,a=2|loc=8|lfw=1,a=2|loc=7|lfw=2,2630,419,0.15931558935361217,0.14606842105263154
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=7|lfw=2>a=2|loc=7|lfw=3,2,3,a=2|loc=7|lfw=2,a=2|loc=7|lfw=3,419,48,0.11455847255369929,0.113535
7,s7:root,s7:n1:a=2|loc=6|lfw=0,0,1,a=2|loc=7|lfw=0,a=2|loc=6|lfw=0,15000,674,0.04493333333333333,0.0425546
7,s7:n1:a=2|loc=6|lfw=0,s7:n2:a=2|loc=6|lfw=0>a=1|loc=8|lfw=1,1,2,a=2|loc=6|lfw=0,a=1|loc=8|lfw=1,674,10,0.01483679525222552,0.013845
7,s7:n2:a=2|loc=6|lfw=0>a=1|loc=8|lfw=1,s7:n3:a=2|loc=6|lfw=0>a=1|loc=8|lfw=1>a=1|loc=9|lfw=1,2,3,a=1|loc=8|lfw=1,a=1|loc=9|lfw=1,10,1,0.1,0.053052631578947344
7,s7:root,s7:n1:a=2|loc=10|lfw=1,0,1,a=2|loc=7|lfw=0,a=2|loc=10|lfw=1,15000,500,0.03333333333333333,0.0315375
7,s7:n1:a=2|loc=10|lfw=1,s7:n2:a=2|loc=10|lfw=1>a=2|loc=9|lfw=2,1,2,a=2|loc=10|lfw=1,a=2|loc=9|lfw=2,500,124,0.248,0.25697222222222194
7,s7:n2:a=2|loc=10|lfw=1>a=2|loc=9|lfw=2,s7:n3:a=2|loc=10|lfw=1>a=2|loc=9|lfw=2>a=2|loc=8|lfw=3,2,3,a=2|loc=9|lfw=2,a=2|loc=8|lfw=3,124,25,0.20161290322580644,0.1692256097560974
7,s7:n1:a=2|loc=5|lfw=1,s7:n2:a=2|loc=5|lfw=1>a=2|loc=4|lfw=2,1,2,a=2|loc=5|lfw=1,a=2|loc=4|lfw=2,941,127,0.13496280552603612,0.138765
7,s7:n2:a=2|loc=5|lfw=1>a=2|loc=4|lfw=2,s7:n3:a=2|loc=5|lfw=1>a=2|loc=4|lfw=2>a=2|loc=3|lfw=1,2,3,a=2|loc=4|lfw=2,a=2|loc=3|lfw=1,127,3,0.023622047244094488,0.009251
7,s7:n1:a=2|loc=8|lfw=1,s7:n2:a=2|loc=8|lfw=1>a=2|loc=8|lfw=2,1,2,a=2|loc=8|lfw=1,a=2|loc=8|lfw=2,2630,315,0.11977186311787072,0.11951052631578926
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=8|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=8|lfw=2>a=2|loc=7|lfw=3,2,3,a=2|loc=8|lfw=2,a=2|loc=7|lfw=3,315,43,0.1365079365079365,0.14606842105263154
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=7|lfw=2>a=2|loc=8|lfw=3,2,3,a=2|loc=7|lfw=2,a=2|loc=8|lfw=3,419,78,0.18615751789976134,0.17661000000000002
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=8|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=8|lfw=2>a=1|loc=9|lfw=3,2,3,a=2|loc=8|lfw=2,a=1|loc=9|lfw=3,315,16,0.050793650793650794,0.03138947368421051
7,s7:root,s7:n1:a=3|loc=8|lfw=1,0,1,a=2|loc=7|lfw=0,a=3|loc=8|lfw=1,15000,36,0.0024,0.0025200000000000005
7,s7:n1:a=3|loc=8|lfw=1,s7:n2:a=3|loc=8|lfw=1>a=2|loc=7|lfw=2,1,2,a=3|loc=8|lfw=1,a=2|loc=7|lfw=2,36,1,0.027777777777777776,0.049210526315789406
7,s7:n2:a=3|loc=8|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=3|loc=8|lfw=1>a=2|loc=7|lfw=2>a=2|loc=7|lfw=2,2,3,a=2|loc=7|lfw=2,a=2|loc=7|lfw=2,1,1,1.0,0.030275999999999997
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=7|lfw=2>a=2|loc=9|lfw=3,2,3,a=2|loc=7|lfw=2,a=2|loc=9|lfw=3,419,38,0.09069212410501193,0.0819975
7,s7:root,s7:n1:a=2|loc=8|lfw=0,0,1,a=2|loc=7|lfw=0,a=2|loc=8|lfw=0,15000,791,0.05273333333333333,0.054160400000000004
7,s7:n1:a=2|loc=8|lfw=0,s7:n2:a=2|loc=8|lfw=0>a=2|loc=7|lfw=1,1,2,a=2|loc=8|lfw=0,a=2|loc=7|lfw=1,791,104,0.13147914032869784,0.14606842105263154
7,s7:n2:a=2|loc=8|lfw=0>a=2|loc=7|lfw=1,s7:n3:a=2|loc=8|lfw=0>a=2|loc=7|lfw=1>a=2|loc=6|lfw=2,2,3,a=2|loc=7|lfw=1,a=2|loc=6|lfw=2,104,14,0.1346153846153846,0.138765
7,s7:n2:a=2|loc=6|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=6|lfw=1>a=2|loc=7|lfw=2>a=2|loc=5|lfw=2,2,3,a=2|loc=7|lfw=2,a=2|loc=5|lfw=2,383,8,0.020887728459530026,0.01682
7,s7:n1:a=2|loc=8|lfw=1,s7:n2:a=2|loc=8|lfw=1>a=2|loc=7|lfw=1,1,2,a=2|loc=8|lfw=1,a=2|loc=7|lfw=1,2630,91,0.03460076045627376,0.03505642105263157
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=7|lfw=1,s7:n3:a=2|loc=8|lfw=1>a=2|loc=7|lfw=1>a=2|loc=6|lfw=2,2,3,a=2|loc=7|lfw=1,a=2|loc=6|lfw=2,91,12,0.13186813186813187,0.138765
7,s7:n1:a=2|loc=9|lfw=1,s7:n2:a=2|loc=9|lfw=1>a=2|loc=7|lfw=2,1,2,a=2|loc=9|lfw=1,a=2|loc=7|lfw=2,1228,120,0.09771986970684039,0.07692073170731699
7,s7:n2:a=2|loc=9|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=9|lfw=1>a=2|loc=7|lfw=2>a=2|loc=7|lfw=3,2,3,a=2|loc=7|lfw=2,a=2|loc=7|lfw=3,120,13,0.10833333333333334,0.113535
7,s7:root,s7:n1:a=2|loc=8|lfw=2,0,1,a=2|loc=7|lfw=0,a=2|loc=8|lfw=2,15000,52,0.0034666666666666665,0.0047096
7,s7:n1:a=2|loc=8|lfw=2,s7:n2:a=2|loc=8|lfw=2>a=2|loc=7|lfw=3,1,2,a=2|loc=8|lfw=2,a=2|loc=7|lfw=3,52,6,0.11538461538461539,0.14606842105263154
7,s7:n2:a=2|loc=8|lfw=2>a=2|loc=7|lfw=3,s7:n3:a=2|loc=8|lfw=2>a=2|loc=7|lfw=3>a=2|loc=6|lfw=3,2,3,a=2|loc=7|lfw=3,a=2|loc=6|lfw=3,6,1,0.16666666666666666,0.17576899999999998
7,s7:n1:a=2|loc=5|lfw=1,s7:n2:a=2|loc=5|lfw=1>a=2|loc=6|lfw=1,1,2,a=2|loc=5|lfw=1,a=2|loc=6|lfw=1,941,33,0.03506907545164718,0.042386400000000005
7,s7:n2:a=2|loc=5|lfw=1>a=2|loc=6|lfw=1,s7:n3:a=2|loc=5|lfw=1>a=2|loc=6|lfw=1>a=1|loc=4|lfw=0,2,3,a=2|loc=6|lfw=1,a=1|loc=4|lfw=0,33,1,0.030303030303030304,0.00071
7,s7:root,s7:n1:a=1|loc=5|lfw=1,0,1,a=2|loc=7|lfw=0,a=1|loc=5|lfw=1,15000,180,0.012,0.01065
