initial_state_id,T_label,selected_R,eta,nominal_expectation,structured_worst_expectation,flat_worst_expectation,structured_probability_sum,flat_probability_sum,structured_runtime_sec,flat_runtime_sec,subtree_only_not_full_R15000
7,ZERO,200,0.0,3142.1323950576852,3142.1323950576852,3142.1323950576857,1.0000000000000007,1.0000000000000004,0.005388799999999971,4.5800000000095764e-05,True
7,ZERO,200,0.001,3142.1323950576852,4155.5162905337875,4155.516290534011,1.0000000000000033,1.0,0.00548700000000002,0.00013359999999984495,True
7,ZERO,200,0.01,3142.1323950576852,6346.733648896172,6346.733648896244,1.000000000000002,1.0000000000000004,0.005106899999999914,8.929999999995886e-05,True
7,ZERO,200,0.05,3142.1323950576852,10307.838639421596,10307.838639421629,0.9999999999999976,1.0,0.004459499999999839,8.629999999998361e-05,True
7,ZERO,200,0.1,3142.1323950576852,13275.971349818703,13275.971349818728,1.0000000000000002,1.0,0.004715700000000211,9.749999999986159e-05,True
7,HALF_CAPACITY,200,0.0,121.61862460370328,121.61862460370328,121.6186246037033,1.0000000000000007,1.0000000000000004,0.004804099999999867,4.8599999999954235e-05,True
7,HALF_CAPACITY,200,0.001,121.61862460370328,173.98127588834805,173.98127588835973,1.0000000000000004,1.0,0.004937399999999759,8.549999999996061e-05,True
7,HALF_CAPACITY,200,0.01,121.61862460370328,287.2038669883226,287.2038669883263,1.0000000000000027,1.0,0.004635899999999804,9.410000000009688e-05,True
7,HALF_CAPACITY,200,0.05,121.61862460370328,491.8784826464913,491.87848264649296,0.9999999999999976,1.0,0.004532900000000062,7.970000000012689e-05,True
7,HALF_CAPACITY,200,0.1,121.61862460370328,645.245137450151,645.2451374501525,0.9999999999999979,0.9999999999999998,0.004447700000000054,8.150000000028967e-05,True
7,FULL_CAPACITY,200,0.0,121.58887966481728,121.58887966481728,121.5888796648173,1.0000000000000007,1.0000000000000004,0.004215299999999811,4.280000000012052e-05,True
7,FULL_CAPACITY,200,0.001,121.58887966481728,173.93827079525562,173.9382707952673,0.9999999999999983,1.0000000000000004,0.004806499999999936,8.799999999986596e-05,True
7,FULL_CAPACITY,200,0.01,121.58887966481728,287.13218976001906,287.13218976002287,1.000000000000003,1.0,0.004582599999999992,7.959999999984646e-05,True
7,FULL_CAPACITY,200,0.05,121.58887966481728,491.75497425801575,491.75497425801734,1.0000000000000009,1.0,0.004284100000000013,8.13000000001729e-05,True
7,FULL_CAPACITY,200,0.1,121.58887966481728,645.0827909692006,645.0827909692017,0.999999999999999,1.0,0.004751100000000008,8.570000000007738e-05,True
7,STEP03YF_PERIOD_R2000,200,0.0,121.94797649305929,121.94797649305929,121.9479764930593,1.0000000000000007,1.0000000000000004,0.004339700000000057,6.340000000015777e-05,True
7,STEP03YF_PERIOD_R2000,200,0.001,121.94797649305929,174.45745160499132,174.45745160500294,1.0000000000000033,0.9999999999999999,0.005110499999999796,8.490000000005438e-05,True
7,STEP03YF_PERIOD_R2000,200,0.01,121.94797649305929,287.99751658668947,287.9975165866932,1.0000000000000033,1.0,0.005347200000000107,0.00021039999999938885,True
7,STEP03YF_PERIOD_R2000,200,0.05,121.94797649305929,493.24603577499306,493.2460357749947,0.999999999999998,0.9999999999999998,0.005422499999999886,8.520000000000749e-05,True
7,STEP03YF_PERIOD_R2000,200,0.1,121.94797649305929,647.0427276123796,647.0427276123811,1.0000000000000029,1.0000000000000002,0.005670199999999959,9.190000000014464e-05,True
7,ASYMMETRIC_CAPACITY_FRACTION,200,0.0,121.68925965317028,121.68925965317028,121.6892596531703,1.0000000000000007,1.0000000000000004,0.0041735999999996665,4.290000000040095e-05,True
