initial_state_id,feature_name,sample_count,mean,std,q50,q90,q95,q99,q995,maximum,CVaR95,CVaR99,CVaR995
1,total_D,15000,3.09807344370801,28.313121957467,0,0,0,125.205247797507,224.204238605679,607.969887897881,3.09807344370801,259.324114229605,333.933039112648
1,unreachable_D,15000,0.0675158424933402,1.9879310390723,0,0,0,0,0,138.013801380138,0.0675158424933402,0.0675158424933402,0.0675158424933402
1,unreachable_D_ratio,15000,0.000231958204009355,0.00633800476302842,0,0,0,0,0,0.363864491844417,0.000231958204009355,0.000231958204009355,0.000231958204009355
1,reachable_D_1,15000,2.92494704015856,26.8672995508121,0,0,0,117.014428715599,211.933011482966,607.969887897881,2.92494704015856,245.217248997627,318.311831183118
1,reachable_D_2,15000,2.90356308358109,26.7328569180323,0,0,0,117.298093445708,211.933011482966,607.969887897881,2.90356308358109,244.051677895062,315.737028248279
1,reachable_D_3,15000,2.66383001936557,25.6242320360373,0,0,0,108.024438807517,202.656629299294,607.969887897881,2.66383001936557,232.455972870014,292.228603025592
1,reachable_D_4,15000,2.91156388366109,26.8070774002272,0,0,0,117.284455718299,212.479884352071,607.969887897881,2.91156388366109,243.945526400924,317.348098446208
1,demand_weighted_C_1,15000,0.414483306025233,3.16507850766567,0,0,0,23.2380309536247,26.7717071003291,42.4080201714635,0.414483306025233,27.3641181113082,29.6969728203034
1,demand_weighted_C_2,15000,0.337413449590996,2.67418785034038,0,0,0,19.1640902911296,21.8812891969621,48.5433438150599,0.337413449590996,23.6603008908248,26.6148273232309
1,demand_weighted_C_3,15000,0.34083613365629,2.78454012855851,0,0,0,20.4337774549794,23.8095490921501,41.0523424448734,0.34083613365629,25.1264711033609,27.8586307468575
1,demand_weighted_C_4,15000,0.366370822959332,2.90303355058435,0,0,0,20.2542980036899,24.6754334337053,39.794787498396,0.366370822959332,25.7130582626585,29.500098184956
1,loss_T0,15000,6196.14688741601,56626.2439149341,0,0,0,250410.495595014,448408.477211357,1215939.77579576,6196.14688741601,518648.22845921,667866.078225296
