matrix_type,initial_state_id,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_26,state_27,state_28,state_29,state_30,state_31,state_32,state_33,state_34,state_35
bulk_energy,1,0,0.000213447247837305,0.000313345365422046,0.000136172951625185,0.000288415616502502,0.000280968183426218,0.000578753693356335,0.334734959737916,0.333735994328641,0.293947012067003,0.252546392428341,0.168189444537639,0.0899770688884242,0.0403140643235581,3.22194574892374,3.35852202643995,3.17050140019129,2.73371939134261,2.02951525499112,1.32479021535601,0.750992654037915,6.95853279837053,7.15307231415265,6.6553199761126,6.18203331964566,5.15742581354039,3.91132909679542,2.73518784736289,8.87484645544625,8.9382607882967,8.79194307007318,7.97169013240519,7.06339085172233,5.74959112125651,4.55644517124277
bulk_energy,2,0.000213447247837305,0,0.00025588596582847,0.000241137585011132,0.000413701296611418,0.000690780288919286,0.00118130367123731,0.320145130489026,0.319323327298056,0.292772922926542,0.246154693378443,0.155635061507068,0.0874298542001976,0.039686873473828,3.19086671773895,3.32249297633759,3.13478638847622,2.70174825673005,1.98993069395009,1.31074207217383,0.752622439504436,6.91386829005888,7.13509626566428,6.64299588435788,6.1456911374843,5.12113883975378,3.90157669135082,2.71471684241594,8.81492664061864,8.92644652388534,8.77525631503485,7.95964464459563,7.01336742865706,5.75039293488891,4.5247969829161
bulk_energy,3,0.000313345365422046,0.00025588596582847,0,0.000283688103011173,0.000327038767481296,0.00048722735848419,0.00103548104808251,0.334000377839752,0.317746918083816,0.286886316134789,0.259055706513943,0.151937924156642,0.0915655717995787,0.0447190894392436,3.24979516829305,3.32208216007347,3.15476003563354,2.68992194285706,2.00547300596204,1.30611326563558,0.736267880687331,6.96444306565444,7.17633522896775,6.65481636987537,6.15873160348858,5.15364266808783,3.91887868284008,2.72054306544836,8.84670317065521,8.94572661815845,8.7603144338194,7.96830180527533,7.04410862732479,5.77334840885252,4.56359026972864
bulk_energy,4,0.000136172951625185,0.000241137585011132,0.000283688103011173,0,0.000244193818093,0.000407556583384663,0.000776418721919633,0.329729142953717,0.328443120108888,0.30555254967212,0.252448494190724,0.162468799619815,0.0913643712133634,0.0416653649751023,3.22408176437665,3.32654891786923,3.16028163151116,2.73733119990003,2.00437269853643,1.30956943109355,0.735479668360273,6.94574392844186,7.15565819349317,6.69846520061597,6.15866716567048,5.15673223892242,3.9503037426103,2.73918568501559,8.85442696188131,8.93895926509913,8.80821144848637,7.94126494266964,7.07007725468966,5.76998042090449,4.54140018747801
bulk_energy,5,0.000288415616502502,0.000413701296611418,0.000327038767481296,0.000244193818093,0,0.000246225486116865,0.000368402096911604,0.342314748646104,0.337219700875704,0.297261741920653,0.259445759786173,0.168816890900567,0.0965909322337766,0.0449469783230904,3.25536050101042,3.35038136179865,3.16334076672582,2.76747305964132,2.03249159919024,1.33669767905763,0.74834742555667,7.05111637321207,7.22544616449056,6.72624019566813,6.23431780154257,5.22036154789349,3.98694097415114,2.77074464660299,8.92005218755894,8.98319220626812,8.87528302482036,8.00129988620258,7.12329105630847,5.81056689097289,4.59760175885159
bulk_energy,6,0.000280968183426218,0.000690780288919286,0.00048722735848419,0.000407556583384663,0.000246225486116865,0,0.000100983481675844,0.352893011399763,0.345909916319553,0.319964002038743,0.269081290710084,0.175458069728952,0.10173680545873,0.0492276311937526,3.27886717039647,3.39280201518618,3.20701002772245,2.77077472508956,2.05444402173742,1.36265064499529,0.75832835385198,7.03121342718261,7.26821804763962,6.77201682604817,6.26554958753531,5.22963421433836,4.01962847057581,2.80426059328482,8.95209259870474,9.05005786505391,8.89236656013495,8.05989971903313,7.14832665672088,5.85216191532629,4.6292128648232
bulk_energy,7,0.000578753693356335,0.00118130367123731,0.00103548104808251,0.000776418721919633,0.000368402096911604,0.000100983481675844,0,0.355417473531902,0.354411313393175,0.322076071832675,0.278945336052408,0.180183937267242,0.106333609489854,0.0514769460264832,3.28970273820151,3.44742498247447,3.24058811553187,2.79064111538635,2.08321558871709,1.3753896037044,0.782781186695183,7.06951523638508,7.32404528507515,6.77419263894462,6.30876859210939,5.22292074853096,4.01778841387767,2.81187402470026,9.00801720300064,9.07924665397,8.90460448900987,8.11210482300844,7.17206314436983,5.86280941622296,4.65805133314777
bulk_energy,8,0.334734959737916,0.320145130489026,0.334000377839752,0.329729142953717,0.342314748646104,0.352893011399763,0.355417473531902,0,0.0028443793234384,0.00281060067878214,0.00863512953935397,0.0262138964209224,0.0826226695468543,0.141995351366296,1.54759140734948,1.67714815132577,1.51061785317729,1.16263776700152,0.807780633214354,0.330827012442143,0.106838672726176,4.67362920940259,4.85560996689461,4.41390411689707,3.93073491229893,3.0736789908979,2.12481550571623,1.20961129477021,6.52239706689805,6.65044418287829,6.4263223479348,5.71471808643988,4.78749762066056,3.58377188998906,2.60307607350187
bulk_energy,9,0.333735994328641,0.319323327298056,0.317746918083816,0.328443120108888,0.337219700875704,0.345909916319553,0.354411313393175,0.0028443793234384,0,0.00327594175856216,0.00608389423705669,0.0347989728702646,0.0752084284866565,0.146554784412309,1.54599726534266,1.68952005859758,1.50787499404882,1.18898723309458,0.75158170471261,0.35216445910914,0.0940783776470375,4.63543754252572,4.89087090692868,4.47657422145031,3.95971000847515,3.09763326697452,2.11618896727465,1.22360506982022,6.47137286293166,6.55813424855025,6.4178889166613,5.61101121701114,4.80277629386651,3.58917671603761,2.62195379410125
bulk_energy,10,0.293947012067003,0.292772922926542,0.286886316134789,0.30555254967212,0.297261741920653,0.319964002038743,0.322076071832675,0.00281060067878214,0.00327594175856216,0,0.0026634651992492,0.0227966583720719,0.0670524507442122,0.119588262839663,1.62414356815877,1.72140782648961,1.53910214853468,1.24046724803041,0.790994728323853,0.393589564173699,0.107366271915433,4.74886632073461,5.0050404498894,4.51435196038712,4.06715508275717,3.16394258244772,2.19041237047946,1.31705137732737,6.59857543726506,6.71992815760394,6.58062197462705,5.77701233931444,4.86712621965435,3.66348608854867,2.6931237480961
