distribution_scope,state_i,state_j,repeat_count,sample_count_per_state,median_energy_distance,minimum_energy_distance,maximum_energy_distance,IQR_energy_distance,seed_rule
bulk,1,23,10,1000,7.15307231415265,7.06979280233296,7.34755148271282,0.180875119974949,20260300 + repeat*100 + state
tail95,1,23,10,750,11.9025919540995,11.9025919540995,11.9025919540995,0,20260300 + repeat*100 + state
bulk,1,24,10,1000,6.6553199761126,6.46353169387851,7.04301369129611,0.228100444439992,20260300 + repeat*100 + state
tail95,1,24,10,750,11.865121151447,11.865121151447,11.865121151447,0,20260300 + repeat*100 + state
bulk,1,25,10,1000,6.18203331964566,6.0540478607784,6.26526107052329,0.111451568237434,20260300 + repeat*100 + state
tail95,1,25,10,750,11.0017113361092,11.0017113361092,11.0017113361092,0,20260300 + repeat*100 + state
bulk,1,26,10,1000,5.15742581354039,4.90634480817896,5.38199167070182,0.174337677837642,20260300 + repeat*100 + state
tail95,1,26,10,750,10.3244941317802,10.3244941317802,10.3244941317802,0,20260300 + repeat*100 + state
bulk,1,27,10,1000,3.91132909679542,3.77237592147081,4.15268614987378,0.115572750735653,20260300 + repeat*100 + state
tail95,1,27,10,750,9.23902348380321,9.23902348380321,9.23902348380321,0,20260300 + repeat*100 + state
bulk,1,28,10,1000,2.73518784736289,2.61091351909288,2.87517959447226,0.136602693987595,20260300 + repeat*100 + state
tail95,1,28,10,750,8.35032840700367,8.35032840700367,8.35032840700367,0,20260300 + repeat*100 + state
bulk,1,29,10,1000,8.87484645544625,8.60797326451142,9.10506850747721,0.267769930788525,20260300 + repeat*100 + state
tail95,1,29,10,750,20.3298571539106,20.3298571539106,20.3298571539106,0,20260300 + repeat*100 + state
bulk,1,30,10,1000,8.9382607882967,8.80354113895141,9.2011493236789,0.144475996861209,20260300 + repeat*100 + state
tail95,1,30,10,750,21.1145470509639,21.1145470509639,21.1145470509639,0,20260300 + repeat*100 + state
bulk,1,31,10,1000,8.79194307007318,8.66301894908258,8.94275789810601,0.0797486591774632,20260300 + repeat*100 + state
tail95,1,31,10,750,20.4733223584552,20.4733223584552,20.4733223584552,0,20260300 + repeat*100 + state
bulk,1,32,10,1000,7.97169013240519,7.73121086630557,8.23301555307535,0.204383523967828,20260300 + repeat*100 + state
tail95,1,32,10,750,19.0403544742161,19.0403544742161,19.0403544742161,0,20260300 + repeat*100 + state
bulk,1,33,10,1000,7.06339085172233,6.91515476135982,7.16691495861613,0.110892164117663,20260300 + repeat*100 + state
tail95,1,33,10,750,16.6577436768813,16.6577436768813,16.6577436768813,0,20260300 + repeat*100 + state
bulk,1,34,10,1000,5.74959112125651,5.49606997005809,5.92319136878395,0.122338100249117,20260300 + repeat*100 + state
tail95,1,34,10,750,14.1763908050307,14.1763908050307,14.1763908050307,0,20260300 + repeat*100 + state
bulk,1,35,10,1000,4.55644517124277,4.38242129650428,4.74094872943308,0.0865016235841249,20260300 + repeat*100 + state
tail95,1,35,10,750,11.9736665581925,11.9736665581925,11.9736665581925,0,20260300 + repeat*100 + state
bulk,2,1,10,1000,0.000213447247837305,0.000102405990442644,0.000725862949287531,0.000182735188571446,20260300 + repeat*100 + state
tail95,2,1,10,750,0.00342205561726239,0.00342205561726239,0.00342205561726239,0,20260300 + repeat*100 + state
bulk,2,2,10,1000,0,0,0,0,20260300 + repeat*100 + state
tail95,2,2,10,750,0,0,0,0,20260300 + repeat*100 + state
bulk,2,3,10,1000,0.00025588596582847,8.81453929076903e-05,0.00133405748251586,0.000159586605400209,20260300 + repeat*100 + state
