initial_state_id,scenario_r,path_id_r,scenario_s,path_id_s,neighbor_categories,nearest_all_rank,pair_type,r_tail95,r_tail99,r_tail995,s_tail95,s_tail99,s_tail995,loss_T50_r,loss_T50_s,d_D,d_Ctilde,d_new,D_l1_difference_kg,max_D_difference_node_id,max_D_difference_kg,A_reachability_change_count,C_common_reachable_l1_km,changed_local_count,max_local_Ctilde,local_dilution_ratio,T_r1,T_r2,T_r3,T_r4,T_s1,T_s2,T_s3,T_s4,d_T_normalized,T_L1_difference_kg,max_single_site_T_difference_kg,max_difference_site_id,optimal_objective_r,optimal_objective_s,own_operating_loss_r,own_operating_loss_s,cross_objective_r_to_s,cross_objective_s_to_r,regret_obj_r_to_s,regret_obj_s_to_r,regret_loss_r_to_s,regret_loss_s_to_r,relative_regret_obj_r_to_s,relative_regret_obj_s_to_r,multiple_optimum_r,multiple_optimum_s,capacity_saturated_r,capacity_saturated_s,tier_0,tier_1,tier_2,tier_3,historical_step03R_false_near,severity_score,top20_severity,diagnostic_classification,local_average_dilution_flag,actual_substitutability
7,155,155,10101,10101,all;tail,2,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,1257.73078596647,0.173857050868875,0.06153400761176,0.128927833566029,73.6437280091645,24,22.9113820472956,7,400.899916740667,92,1,11.3265773516188,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,37.0946185527644,25.3661730169402,33.2760548422093,22.9113820472956,0.110920183002752,75.8257644348179,43.0952186127704,1,23821.4614324219,1495.02724288489,23458.6978833497,1257.73078597647,8148.12106861737,154655.72007695,6653.09382572248,130834.258644518,6527.62673355872,130959.725736682,4.45014889015655,5.4922851402556,0,0,0,0,0,1,1,1,0,34.5165878233536,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,155,155,9359,9359,all;tail,3,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,1289.06992033139,0.011590470057925,0.312837131179616,0.132089134506601,4.90958186727764,20,4.90958186727764,40,462.334568527058,128,1,3.09968630015411,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,88.3724736109975,13.0922183417436,45.550009517406,40.3676731309495,0.087395103163048,51.8233641545973,20.7293456618389,4,23821.4614324219,1663.83466953358,23458.6978833497,1289.06992034139,14103.8478847389,53152.2498080634,12440.0132151953,29330.7883756315,12452.0144153153,29318.7871755115,7.4767123458293,1.23127577452905,0,0,0,0,0,1,1,1,0,9.32155229215705,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,155,155,9651,9651,all;tail,4,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,10854.7346640241,0.011590470057925,0.327787963702807,0.138069467515878,4.90958186727764,3,4.90958186727764,42,452.873556774396,126,1,2.91208207819035,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,80.1898371655347,25.3661730255204,33.2760548336291,43.6407277091345,0.109556410294018,53.4598915010468,26.1844366541592,3,23821.4614324219,11219.6802494917,23458.6978833497,10854.7346640341,13850.58030372,69106.6941674553,2630.90005421832,45285.2327350234,2633.08209060377,45283.0506986379,0.234489753336345,1.90102663782707,0,0,0,0,0,1,1,1,0,1.69834618438996,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,155,155,9192,9192,all;tail,5,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,1385.73010776276,0.0244687701222861,0.310282020473787,0.138794070262887,10.3646728309195,2,5.45509096364182,40,341.876048429425,127,1,3.10079588450563,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,97.1006191528244,25.3661730255091,33.2760548336404,46.9137822873196,0.129103819580358,73.643728066499,27.2754548182091,4,23821.4614324219,1791.04336636134,23458.6978833497,1385.73010777276,44327.5248336392,36113.3075579334,42536.4814672678,12291.8461255015,42579.0311767842,12249.2964159851,23.7495541793869,0.515998825696169,0,0,0,0,0,1,1,1,0,3.71772961711425,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,155,155,3952,3952,all;tail,6,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,1307.82236946206,0.0244687701222861,0.312271671325067,0.139589930603399,10.3646728309195,2,5.45509096364182,40,435.676444830829,128,1,3.10529919535204,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,97.1006191528244,25.3661755226242,33.2760523365253,46.9137822873196,0.12910382894454,73.6437330607291,27.2754548182091,4,23821.4614324219,1713.13562806065,23458.6978833497,1307.82236947206,44256.6168385987,36113.3075595036,42543.4812105281,12291.8461270717,42586.0309200445,12249.2964175553,24.8336912229425,0.515998825762086,0,0,0,0,0,1,1,1,0,3.69653329242018,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,155,155,14539,14539,all;tail,7,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,1299.11518471945,0.02318094011585,0.315668377057583,0.140175914892543,9.81916373455527,3,4.90958186727764,40,595.811246353392,128,1,3.07188505461249,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,86.7359463219049,22.0931184027494,25.6389275953154,57.8239641484044,0.153651728513532,78.5533097440444,38.1856366792939,4,23821.4614324219,1683.6990976562,23458.6978833497,1299.11518472945,23784.5474083615,77939.990739632,22100.8483106953,54118.5293072,22122.6686745498,54096.7089433455,13.126364646349,2.27183917580808,0,0,0,0,0,1,1,1,0,16.2070579496459,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,155,155,7226,7226,all;tail,8,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,996.323936282206,0.034771410173775,0.310379697665155,0.145014725170327,14.7287456018329,20,4.90958186727764,40,346.480956503482,128,1,3.12422808898765,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,65.4610915654346,57.005700570057,8.18263644546273,46.9137822855869,0.229568411322608,128.194637610302,51.2778550423256,3,23821.4614324219,1351.45035801529,23458.6978833497,996.323936292205,1891.27593764391,85330.0855905291,539.825579618624,61508.6241580972,532.188452269526,61516.2612854463,0.399441663848761,2.58206761715953,0,0,0,0,0,1,1,1,0,2.75449036902699,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,155,155,2152,2152,all;tail,9,TAIL_TAIL,1,1,1,1,1,1,23464.6468711169,1110.02675577591,0.034771410173775,0.311693502239169,0.145540246999932,14.7287456018329,3,4.90958186727764,40,408.4191552368,127,1,3.08675415178516,80.1898371655347,22.0931184186568,59.4604914877883,19.6383274691105,72.007200720072,25.366173025506,33.2760548336436,46.9137822873196,0.121830364962157,64.9155825246658,27.2754548182091,4,23821.4614324219,1465.15317750899,23458.6978833497,1110.02675578591,1980.230578608,85292.1785843653,515.077401089015,61470.7171519333,507.440273739917,61478.3542792825,0.351551912108752,2.5804763207451,0,0,0,0,0,1,1,1,0,2.41549618992275,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,224,224,1,1,all;tail,2,TAIL_TAIL,1,1,1,1,1,0,45936.7545879684,0,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,25,22.9113820472956,4,5.67910655291213,52,1,12.9485261687836,4.90958186727257,0,0,0,0,0,0,0,0.00409131822272714,4.90958186727257,4.90958186727257,1,45946.5737517029,0,45936.7545879784,0,9.81916373454515,55641.9278291465,9.81916373454515,9695.3540774336,0,9705.17324116814,981916373.454515,0.211013646628485,0,0,0,0,0,1,1,1,0,4.091235737385,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
7,224,224,2,2,all;tail,3,TAIL_TAIL,1,1,1,1,1,0,45936.7545879684,0,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,25,22.9113820472956,4,5.67910655291213,52,1,12.9485261687836,4.90958186727257,0,0,0,0,0,0,0,0.00409131822272714,4.90958186727257,4.90958186727257,1,45946.5737517029,0,45936.7545879784,0,9.81916373454515,55641.9278291465,9.81916373454515,9695.3540774336,0,9705.17324116814,981916373.454515,0.211013646628485,0,0,0,0,0,1,1,1,0,4.091235737385,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
