arm,path_count,max_abs_target_total_error,max_abs_site_gap_error,max_abs_quantity_gap_error,max_abs_location_error,pass
BASE,10000,1.3073986337985843e-12,1.4779288903810084e-12,1.4566126083082054e-12,1.0871303857129533e-12,True
CANDIDATE,10000,5.684341886080801e-13,6.803446694902959e-12,1.2292389328649733e-12,6.803446694902959e-12,True
