arm,service_band,path_count,target_kg,gap_kg,rate_within_positive_target
BASE,50_TO_70PCT,41,12563.651427388078,4501.319636407383,0.0365093499554764
BASE,70_TO_80PCT,54,14818.042498586477,3545.5237179076257,0.04808548530721282
BASE,80_TO_90PCT,115,27807.33203912581,3964.987631214862,0.10240427426536064
BASE,90_TO_95PCT,100,28789.20170525543,2094.573582020345,0.08904719501335707
BASE,95_TO_99PCT,93,29869.617703579996,835.9415700118831,0.08281389136242208
BASE,99_TO_100PCT,41,12196.506750119155,70.76074656507633,0.0365093499554764
BASE,FULLY_SERVED,677,85075.32016409602,0.0,0.6028495102404274
BASE,LT_50PCT,2,510.31654218773645,272.90693507042,0.0017809439002671415
CANDIDATE,50_TO_70PCT,46,13677.958704961387,5154.101287388007,0.045142296368989206
CANDIDATE,70_TO_80PCT,28,8510.896544199872,2151.4621535869223,0.02747791952894995
CANDIDATE,80_TO_90PCT,58,19556.364727381813,2802.045568682393,0.05691854759568204
CANDIDATE,90_TO_95PCT,78,24615.143332515046,1794.7318799809814,0.07654563297350343
CANDIDATE,95_TO_99PCT,65,17972.888197910685,498.0343125789597,0.06378802747791953
CANDIDATE,99_TO_100PCT,37,10974.006491558232,46.994273850885484,0.03631010794896958
CANDIDATE,FULLY_SERVED,701,45273.16368000434,1.4201972931005002e-12,0.6879293424926398
CANDIDATE,LT_50PCT,6,478.2751002372961,295.47533960804316,0.005888125613346418
