arm,transition_group,stage,global_hour,site,path_count,mean_H2_production_kg,mean_P_EL_kW,mean_end_inventory_kg,mean_HTT_in_kg,mean_HTT_out_kg,mean_ordinary_shortage_kg,mean_electrolyzer_capacity_binding,mean_storage_capacity_binding
BASE,LOST_POSITIVE_TARGET,1,1,1,104,5.850000000000012,300.0,62.9636159480515,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,1,2,104,3.899999999999994,200.0,53.89757893241371,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,1,3,104,2.340000000000003,120.0,27.403908845222343,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,1,4,104,2.925000000000006,150.0,35.42711378557885,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,2,1,104,5.850000000000012,300.0,68.3481453996428,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,2,2,104,3.899999999999994,200.0,57.48701992620233,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,2,3,104,2.340000000000003,120.0,29.347459651048545,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,2,4,104,2.925000000000006,150.0,38.0913802552468,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,3,1,104,5.850000000000012,300.0,73.73267485123348,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,3,2,104,3.899999999999994,200.0,61.076460919991334,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,3,3,104,2.340000000000003,120.0,31.489235053961558,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,3,4,104,2.925000000000006,150.0,40.75564672491475,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,4,1,104,5.850000000000012,300.0,79.11720430282465,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,4,2,104,3.899999999999994,200.0,64.35534290756893,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,4,3,104,2.340000000000003,120.0,33.63101045687459,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,4,4,104,2.925000000000006,150.0,43.41991319458281,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,5,1,104,5.850000000000012,300.0,84.03626320600695,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,5,2,104,3.899999999999994,200.0,67.01310688272407,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,5,3,104,2.340000000000003,120.0,35.772785859787646,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,5,4,104,2.925000000000006,150.0,45.82344613391885,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,6,1,104,5.850000000000012,300.0,88.02438101237122,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,6,2,104,1.3387341774965729,68.65303474341368,65.32078515959962,0.0,0.0,0.0,0.0,0.0
BASE,LOST_POSITIVE_TARGET,1,6,3,104,2.340000000000003,120.0,37.71633666561366,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,6,4,104,2.925000000000006,150.0,47.70551201259069,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,7,1,104,5.850000000000012,300.0,89.55481432313614,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,7,2,104,0.0,0.0,61.53196528382334,0.0,0.0,0.0,0.0,0.0
BASE,LOST_POSITIVE_TARGET,1,7,3,104,0.0,0.0,36.923438277265745,0.0,0.0,0.0,0.0,0.0
BASE,LOST_POSITIVE_TARGET,1,7,4,104,2.925000000000006,150.0,48.54464376993475,0.0,0.0,0.0,1.0,0.0
BASE,LOST_POSITIVE_TARGET,1,8,1,104,0.0,0.0,84.1553559615925,0.0,0.0,0.0,0.0,0.0
BASE,LOST_POSITIVE_TARGET,1,8,2,104,0.0,0.0,58.50090938320219,0.0,0.0,0.0,0.0,0.0
BASE,LOST_POSITIVE_TARGET,1,8,3,104,0.0,0.0,35.33764150057005,0.0,0.0,0.0,0.0,0.0
BASE,LOST_POSITIVE_TARGET,1,8,4,104,0.0,0.0,45.937308466614844,0.0,0.0,0.0,0.0,0.0
BASE,LOST_POSITIVE_TARGET,2,9,1,104,2.4749999999999988,126.92307692307692,82.97631473016185,0.6655254578041933,0.0,0.0,0.4230769230769231,0.0
BASE,LOST_POSITIVE_TARGET,2,9,2,104,1.6500000000000012,84.61538461538461,58.10187361521261,0.0,0.49624073693352017,0.0,0.4230769230769231,0.0
BASE,LOST_POSITIVE_TARGET,2,9,3,104,0.9900000000000009,50.76923076923077,33.969204483125026,0.0,0.6537054824972769,0.0,0.4230769230769231,0.0
BASE,LOST_POSITIVE_TARGET,2,9,4,104,1.2374999999999994,63.46153846153846,45.57336098558536,0.48442076162660386,0.0,0.0,0.4230769230769231,0.0
BASE,LOST_POSITIVE_TARGET,2,10,1,104,2.4749999999999988,126.92307692307692,83.12396198811706,0.0,0.0,0.0,0.4230769230769231,0.0
BASE,LOST_POSITIVE_TARGET,2,10,2,104,1.6500000000000012,84.61538461538461,58.50963759036795,0.0,0.0,0.0,0.4230769230769231,0.0
BASE,LOST_POSITIVE_TARGET,2,10,3,104,0.9900000000000009,50.76923076923077,33.595419255166696,0.0,0.0,0.0,0.4230769230769231,0.0
