metric,base_mean,candidate_mean,base_median,candidate_median,base_q95,candidate_q95,base_q99,candidate_q99,paired_delta_mean,ci95_low,ci95_high,candidate_lower_count,candidate_higher_count,tie_count,paired_path_count
actual_operating_cost,55266.25177354377,54203.47455482222,57507.7968862337,56081.0856789243,97632.7476724946,95762.14921107607,108743.30654377032,106992.92853132404,-1062.7772187243838,-1075.3496353337007,-1050.204802115067,9900,100,0,10000
holding_cost,32.59971906275285,25.459396163955923,32.3252629455545,23.1244227224903,61.46993250216754,53.657445633970525,86.72360376896758,78.18975975800227,-7.140322898796844,-7.209086448108809,-7.07155934948488,10000,0,0,10000
production_cost,54813.73594112254,53860.078558694426,57448.3386058452,56046.1090804082,90937.00499013784,90960.87013551207,107084.43063094441,106046.36638295135,-953.657382429293,-961.3978337585719,-945.916931100014,9947,53,0,10000
electricity_cost,54711.01277376512,53788.421973347795,57358.983262491,56005.6236760732,90605.94682042734,90640.14378670965,106813.8045582613,105815.88104495764,-922.5908004149655,-930.0993765009177,-915.0822243290133,9946,54,0,10000
production_om_cost,102.72316735877679,71.65658534449673,87.9119175223453,42.0569648605127,243.4448949138132,219.63817791405268,325.50208631873375,309.0776316197358,-31.066582014286837,-31.30784373959671,-30.825320288976965,9994,6,0,10000
ordinary_shortage_total,1.1038071060246548,1.0425372227452991,0.0,0.0,0.0,0.0,39.0109281375634,39.0109281375634,-0.0612698832793557,-0.09900044495429566,-0.023539321604415735,141,111,9748,10000
ordinary_shortage_cost,220.76142120493074,208.50744454905984,0.0,0.0,0.0,0.0,7802.18562751268,7802.18562751268,-12.253976655871112,-19.800088990859102,-4.707864320883122,141,111,9748,10000
total_H2_production,166.92514695801512,116.4419511847938,142.856865973811,68.3425678983331,395.5979542349463,356.91203911033506,528.9408902679427,502.25115138207127,-50.483195773216096,-50.87524607684464,-50.09114546958755,9994,6,0,10000
total_HTT,7.952512894107514,4.024560077687932,0.0,0.0,60.82511677968115,29.1826711835246,106.68068519391596,66.1226455040796,-3.927952816419646,-4.196971183713286,-3.6589344491260065,2538,1541,5921,10000
HTT_cost,199.1546921550081,109.42915541455315,0.0,0.0,1597.7399505040387,802.796546461311,2681.5660733195436,1862.7767712096788,-89.72553674045417,-96.40658041911306,-83.0444930617953,2519,1560,5921,10000
terminal_inventory_total,166.2634795005018,115.71901384400728,136.838479860413,87.529017825634,353.730077802309,322.3169521784,453.666227483311,429.23158548990483,-50.54446565649541,-50.937119529565045,-50.15181178342578,9994,6,0,10000
terminal_site_gap,1.528601381919757,1.274284481567634,0.0,0.0,0.0,0.0,48.9519270459106,41.89553715899187,-0.25431690035212257,-0.33382127105175413,-0.174812529652491,333,146,9521,10000
terminal_total_quantity_shortfall,1.1168546545221996,0.981122371066642,0.0,0.0,0.0,0.0,40.4072250786248,28.8615563535665,-0.13573228345555702,-0.19447086026847663,-0.07699370664263741,174,83,9743,10000
terminal_spatial_component,0.41174672739755785,0.2931621105009926,0.0,0.0,0.0,0.0,14.581959497301423,9.98852932891067,-0.11858461689656574,-0.1684871277226724,-0.06868210607045908,281,132,9587,10000
terminal_penalty_cost,1528.6013819197574,1274.284481567635,0.0,0.0,0.0,0.0,48951.927045910605,41895.53715899187,-254.31690035212253,-333.8212710517541,-174.81252965249098,333,146,9521,10000
target_total,21.16299888303385,14.10586967787689,0.0,0.0,142.913555615449,39.2766549382211,367.402986572286,314.758748602133,-7.057129205156985,-7.5062535804662,-6.608004829847771,1123,0,8877,10000
useful_terminal_kg,19.634397501114076,12.831585196309257,0.0,0.0,142.75643576262232,39.2766549382211,355.12637474337066,313.5080533687362,-6.8028123048048625,-7.2308522612520285,-6.374772348357697,1120,3,8877,10000
terminal_surplus_kg,146.62908199938965,102.88742864769601,132.98214344954292,87.52901782563399,252.87337301057096,244.84763274716136,359.07477476697164,346.878531276537,-43.74165335169054,-44.348579922438184,-43.13472678094289,9193,756,51,10000
path_service_rate,0.9944618385902547,0.9956024262174938,1.0,1.0,1.0,1.0,1.0,1.0,0.001140587627239125,0.000746173191611026,0.001535002062867224,198,281,9521,10000
site_gap_calc,1.5286013819197595,1.274284481567631,0.0,0.0,0.0,0.0,48.951927045910125,41.89553715899197,-0.2543169003521286,-0.33382127105176035,-0.17481252965249688,333,146,9521,10000
quantity_gap_calc,1.1168546545222007,0.9811223710666387,0.0,0.0,0.0,0.0,40.4072250786254,28.861556353566073,-0.13573228345556104,-0.19447086026848076,-0.07699370664264132,174,83,9743,10000
location_calc,0.41174672739755935,0.293162110500992,0.0,0.0,0.0,0.0,14.581959497301305,9.988529328910715,-0.11858461689656764,-0.16848712772267446,-0.06868210607046082,281,132,9587,10000
