metric,denominator,base_failure_count,candidate_failure_count,base_rate,candidate_rate,paired_rate_delta,ci95_low,ci95_high,new_failure_count,recovered_count,tie_count
sitewise_failure,1019,446,318,0.43768400392541706,0.3120706575073602,-0.1256133464180569,-0.15128189518563137,-0.09994479765048245,33,161,825
quantity_failure,1019,235,170,0.23061825318940138,0.16683022571148184,-0.06378802747791953,-0.08349315056737358,-0.04408290438846549,22,87,910
location_failure,1019,357,242,0.35034347399411186,0.23748773307163887,-0.11285574092247301,-0.14100817193417256,-0.08470330991077345,56,171,792
