terminal_state_id_BASE,terminal_state_id_CANDIDATE,path_count,target_total_base_mean,target_total_candidate_mean,target_total_delta_mean
0,0,3876,0.0,0.0,0.0
63,63,321,0.0,0.0,0.0
71,71,692,0.0,0.0,0.0
79,79,632,0.0,0.0,0.0
87,87,660,0.0,0.0,0.0
95,95,645,0.0,0.0,0.0
103,103,527,0.0,0.0,0.0
111,111,1210,0.0,0.0,0.0
119,119,70,99.2384155446989,11.4556910236478,-87.7827245210511
127,127,114,140.468179525011,24.5479093363882,-115.92027018862281
135,135,113,121.375854719984,38.4583912936748,-82.91746342630921
143,143,115,142.913555615449,39.2766549382211,-103.63690067722791
151,151,125,41.595070047746,2.86392275591195,-38.73114729183405
159,159,95,0.0,0.0,0.0
167,167,219,0.0,0.0,0.0
175,175,35,331.675261657273,275.482093663912,-56.19316799336099
183,183,63,352.283726346431,306.303357608488,-45.980368737943024
191,191,60,355.12637474337004,314.758748602133,-40.367626141237
199,199,65,367.402986572286,312.167580394403,-55.23540617788302
207,207,59,260.344135486934,189.564410986553,-70.77972450038101
215,215,43,151.788349860283,65.4610915637018,-86.3272582965812
223,223,104,6.13704161168773,0.0,-6.13704161168773
231,231,11,439.81670477439906,422.76954968224095,-17.047155092157993
239,239,30,451.35372841355,443.908027166353,-7.445701247197007
247,247,12,455.5481518863119,449.635872678177,-5.912279208134976
255,255,18,450.289938287308,435.72539072089,-14.564547566418014
263,263,23,374.35561208016,336.169980634427,-38.18563144573295
271,271,16,273.572222314432,224.749747702043,-48.82247461238899
279,279,43,124.789303963446,51.8233641545973,-72.9659398088487
287,287,1,473.366056216597,468.455936502741,-4.910119713855977
319,319,1,447.999193378007,440.634972588168,-7.36422078983901
335,335,2,289.119937329257,225.70438862068,-63.415548708577035
