arm,base_frozen_target_group,path_count,positive_target_count,mean_target_kg,mean_production_kg,mean_terminal_surplus_kg,mean_site_gap_kg,sitewise_adequate_rate,mass_weighted_service_rate,mean_ordinary_shortage_kg,mean_actual_operating_cost
BASE,HIGH,337,337,372.1917436364703,418.5131091367946,46.04593902364505,34.3640035054766,0.22255192878338279,0.9076712364177513,15.474409142399049,84102.79356596823
BASE,LOW,412,412,64.31989503657951,294.17425390605666,195.6324795015894,1.5584123883509757,0.8592233009708737,0.9757709121343453,4.393334134018758,73149.85967118561
BASE,MEDIUM,374,374,159.62987826143763,321.03382759379235,134.17248396315813,8.190584849869982,0.6631016042780749,0.9486901516240231,6.968150252905942,75643.06991677496
BASE,ZERO,8877,0,0.0,144.9753416324997,148.6980114887991,0.0,,,0.15850549976968833,52483.00393942845
CANDIDATE,HIGH,337,337,332.37448373917545,385.74887814150077,54.34603505022158,35.648636690151676,0.21364985163204747,0.8927455673218094,15.436843082299799,82975.59769081694
CANDIDATE,LOW,412,308,13.363317796916466,246.57049590998793,197.22909413633545,0.19263173812889461,0.9675324675324676,0.9855850365114162,4.0029101753923735,71708.29801884883
CANDIDATE,MEDIUM,374,374,62.94868670143623,276.6793122941259,179.7574945375106,1.7376737299090288,0.8850267379679144,0.9723953934392507,6.679395686885122,74254.83480643985
CANDIDATE,ZERO,8877,0,0.0,93.42762563944727,97.11298669864257,1.303006868162185e-14,,,0.12119670266545773,51453.964416473944
