arm,positive_target_paths,total_target_kg,total_useful_terminal_kg,total_site_gap_kg,total_quantity_gap_kg,total_location_gap_kg,total_surplus_kg,mass_weighted_service_rate,mass_weighted_site_gap_rate,mass_weighted_quantity_gap_rate,mass_weighted_location_gap_rate,mean_path_service_rate,median_path_service_rate,q05_path_service_rate,minimum_path_service_rate
BASE,1123,211629.98883033867,196343.9750111411,15286.013819197595,11168.546545222001,4117.467273975593,146298.57200784428,0.9277700957993614,0.07222990420063867,0.05277393155360272,0.01945597264703595,0.9506842260930982,1.0,0.7313504966741277,0.40041119182715457
CANDIDATE,1019,141058.69677876867,128315.85196309247,12742.844815676193,9811.223710666389,2931.6211050098027,134726.83986844457,0.9096628204664218,0.09033717953357819,0.06955419222434725,0.020782987309230925,0.9568442219577427,1.0,0.6984667888434253,0.0729166666666561
