arm,site,positive_target_paths,total_target_kg,total_useful_kg,total_gap_kg,mass_weighted_service_rate,failure_count,failure_rate
BASE,1,1123,94515.88830851617,89723.69388701199,4792.1944215041785,0.9492974725491483,263,0.2341941228851291
BASE,2,1019,35077.35885121998,31163.651552744537,3913.7072984754386,0.888426397350058,206,0.20215897939156036
BASE,3,1019,20082.322418622884,19319.44537769172,762.87704093116,0.9620125090600216,189,0.18547595682041218
BASE,4,1123,61954.41925197967,56137.184193692854,5817.235058286819,0.906104598694936,284,0.25289403383793413
CANDIDATE,1,1019,62952.567984071065,58833.724445106236,4118.843538964824,0.9345722713010369,152,0.1491658488714426
CANDIDATE,2,597,23677.54957313914,20767.04923319173,2910.500339947408,0.8770776371534152,146,0.24455611390284757
CANDIDATE,3,710,11325.314349616769,10228.774056700777,1096.5402929159932,0.9031779375772384,180,0.2535211267605634
CANDIDATE,4,894,43103.2648719417,38486.30422809374,4616.960643847968,0.8928860572960124,214,0.23937360178970918
