transition_group,base_target_group,base_gap_tail,path_count,base_target_mean,candidate_target_mean,target_delta_mean,base_site_gap_mean,candidate_site_gap_mean,site_gap_delta_mean,path_service_delta_mean
LOST_POSITIVE_TARGET,LOW,NON_TAIL,104,6.13704161168773,0.0,-6.13704161168773,0.0,0.0,0.0,0.0
NEW_FAILURES,HIGH,NON_TAIL,32,348.304957649714,302.1822068570493,-46.122750792664725,0.0,6.097078960451092,6.097078960451092,-0.020349828779559848
NEW_FAILURES,MEDIUM,NON_TAIL,1,260.344135486934,189.564410986553,-70.77972450038101,0.0,3.2090090380421987,3.2090090380421987,-0.016928330699530925
PERSISTENT_ADEQUATE,HIGH,NON_TAIL,43,329.3589477250306,279.89691146704524,-49.462036257985375,0.0,0.0,0.0,0.0
PERSISTENT_ADEQUATE,LOW,NON_TAIL,250,79.20328676292951,16.149251288765228,-63.05403547416428,0.0,0.0,0.0,0.0
PERSISTENT_ADEQUATE,MEDIUM,NON_TAIL,247,158.16886078256684,64.38442887350934,-93.78443190905749,0.0,0.0,0.0,0.0
PERSISTENT_FAILURE,HIGH,NON_TAIL,210,387.59912294810346,352.5144722264434,-35.0846507216601,39.21375092713024,41.74086948941592,2.5271185622856787,-0.01347841138853898
PERSISTENT_FAILURE,HIGH,TOP_1PCT_BASE_GAP,5,367.402986572286,312.167580394403,-55.23540617788302,158.12627532369706,148.7406625494454,-9.385612774251644,-0.046087774911483456
PERSISTENT_FAILURE,HIGH,TOP_5PCT_BASE_GAP,18,366.8598848969658,322.47921761873147,-44.38066727823435,131.375921932482,128.28878512900593,-3.087136803476076,-0.03984809216837502
PERSISTENT_FAILURE,LOW,NON_TAIL,10,119.1621108024555,35.7581212666721,-83.4039895357834,19.788397781364573,7.936427610910377,-11.851970170454198,-0.05532213070603016
PERSISTENT_FAILURE,MEDIUM,NON_TAIL,42,190.32853432102925,99.40604450055389,-90.92248982047535,36.79591694909596,15.39716585590319,-21.39875109319277,0.02989344080414466
RECOVERED_PATHS,HIGH,NON_TAIL,29,354.62467339360944,307.2862145148684,-47.338458878740994,6.564948801555458,0.0,-6.564948801555458,0.01816897229726761
RECOVERED_PATHS,LOW,NON_TAIL,48,101.4396172645507,23.14151869732426,-78.29809856722646,9.253790128894924,1.7078930862150326e-14,-9.253790128894906,0.08329419934795913
RECOVERED_PATHS,MEDIUM,NON_TAIL,84,147.37765808944258,38.99091207822081,-108.38674601122177,18.06964549987313,7.147721568062912e-15,-18.069645499873122,0.12648625091882712
ZERO_TARGET_BOTH,ZERO,NON_TAIL,8877,0.0,0.0,0.0,0.0,1.3030068681621852e-14,1.3030068681621852e-14,0.0
