arm,path_id,target_total_calc,site_gap_calc,path_service_rate,service_band
BASE,11,352.28372634643006,17.1932107411303,0.9511949901307027,95_TO_99PCT
BASE,16,352.28372634643006,7.594951171906999,0.9784408117551299,95_TO_99PCT
BASE,19,142.9135556154491,0.0,1.0,FULLY_SERVED
BASE,24,355.12637474337066,3.0083712194529824,0.9915287305212771,99_TO_100PCT
BASE,27,289.1199373292578,0.0,1.0,FULLY_SERVED
BASE,28,260.3441354869343,0.0,1.0,FULLY_SERVED
BASE,29,355.12637474337066,1.1011085762209802,0.9968993894722218,99_TO_100PCT
BASE,42,142.9135556154491,12.135780540044099,0.9150830690078205,90_TO_95PCT
BASE,55,260.3441354869343,33.293423840641196,0.8721176346900579,80_TO_90PCT
BASE,61,374.3556120801603,13.1600067285097,0.9648462416380397,95_TO_99PCT
BASE,77,273.5722223144327,0.0,1.0,FULLY_SERVED
BASE,91,260.3441354869343,0.0,1.0,FULLY_SERVED
BASE,107,121.3758547199835,0.0,1.0,FULLY_SERVED
BASE,116,41.59507004774598,0.0,1.0,FULLY_SERVED
BASE,135,99.23841554469882,0.0,1.0,FULLY_SERVED
BASE,139,142.9135556154491,12.271412165906199,0.9141340223951462,90_TO_95PCT
BASE,152,367.4029865722873,34.8504389976877,0.905143833144016,90_TO_95PCT
BASE,156,451.3537284135495,13.899980076117004,0.9692037991466833,95_TO_99PCT
BASE,182,41.59507004774598,1.05333043414868,0.9746765558288618,95_TO_99PCT
BASE,193,124.78930396344583,0.0,1.0,FULLY_SERVED
BASE,201,355.12637474337066,40.40722507862538,0.8862173357080972,80_TO_90PCT
BASE,202,352.28372634643006,0.0,1.0,FULLY_SERVED
BASE,208,6.13704161168773,0.0,1.0,FULLY_SERVED
BASE,213,121.3758547199835,0.0,1.0,FULLY_SERVED
BASE,216,352.28372634643006,0.0,1.0,FULLY_SERVED
BASE,222,260.3441354869343,52.439071210475696,0.7985778665135039,70_TO_80PCT
BASE,225,99.23841554469882,0.0,1.0,FULLY_SERVED
BASE,228,41.59507004774598,0.0,1.0,FULLY_SERVED
BASE,230,451.3537284135495,25.985395641296893,0.9424278697494486,90_TO_95PCT
BASE,240,41.59507004774598,0.0,1.0,FULLY_SERVED
BASE,242,140.46817952501132,0.0,1.0,FULLY_SERVED
BASE,262,142.9135556154491,7.4002699616128,0.948218558206435,90_TO_95PCT
BASE,272,473.3660562165967,24.986584489767978,0.9472150903901422,90_TO_95PCT
