metric,base_mean,candidate_mean,paired_delta_mean,ci95_low,ci95_high,candidate_lower_count,candidate_higher_count,tie_count,path_count
production_kg,166.9251469580151,116.4419511847938,-50.48319577321608,-50.875246076844626,-50.09114546958754,9994,6,0,10000
ordinary_shortage_kg,1.1038071060246548,1.042537222745299,-0.06126988327935561,-0.09900044495429558,-0.023539321604415644,141,111,9748,10000
total_htt_kg_hourly,7.952512894107515,4.024560077687931,-3.927952816419646,-4.196971183713286,-3.6589344491260065,2538,1541,5921,10000
actual_operating_cost,55266.25177354377,54203.47455482222,-1062.7772187243838,-1075.3496353337007,-1050.204802115067,9900,100,0,10000
holding_cost,32.59971906275285,25.459396163955923,-7.140322898796844,-7.209086448108809,-7.07155934948488,10000,0,0,10000
production_cost,54813.73594112254,53860.078558694426,-953.657382429293,-961.3978337585719,-945.916931100014,9947,53,0,10000
electricity_cost,54711.01277376512,53788.421973347795,-922.5908004149655,-930.0993765009177,-915.0822243290133,9946,54,0,10000
production_om_cost,102.72316735877679,71.65658534449673,-31.066582014286837,-31.30784373959671,-30.825320288976965,9994,6,0,10000
ordinary_shortage_cost,220.76142120493074,208.50744454905984,-12.253976655871112,-19.800088990859102,-4.707864320883122,141,111,9748,10000
HTT_cost,199.1546921550081,109.42915541455315,-89.72553674045417,-96.40658041911306,-83.0444930617953,2519,1560,5921,10000
terminal_penalty_cost,1528.6013819197574,1274.284481567635,-254.31690035212253,-333.8212710517541,-174.81252965249098,333,146,9521,10000
min_system_voltage_pu,0.9093943410738335,0.912719918145877,0.0033255770720352464,0.003275862779961741,0.0033752913641087517,23,6989,2988,10000
max_line_loading_pct,0.7342653803302028,0.7287639335495861,-0.005501446780562117,-0.005665278611524048,-0.005337614949600186,5180,62,4758,10000
max_pmax_utilization,1.0,1.0,0.0,0.0,0.0,0,0,10000,10000
pmax_binding_rate,0.4051014062499971,0.25897557291666673,-0.14612583333333332,-0.1474237970672337,-0.14482786959943295,9998,0,2,10000
minimum_tank_headroom_kg,61.64081139384241,70.65343163895385,9.012620245123182,8.972513928774712,9.052726561471653,44,9956,0,10000
tank_binding_rate,0.0,0.0,0.0,0.0,0.0,0,0,10000,10000
max_fleet_utilization,0.03837253449584292,0.02064081611496242,-0.017731718380880352,-0.01894268025794655,-0.016520756503814155,2485,1594,5921,10000
fleet_binding_rate,0.0,0.0,0.0,0.0,0.0,0,0,10000,10000
mean_root_grid_import,3242.6307100189047,3141.586592455492,-101.04411756331665,-101.88904743690975,-100.19918768972354,9994,6,0,10000
max_root_grid_import,3876.536837765812,3807.032929221575,-69.50390854445793,-70.80817341953966,-68.1996436693762,7011,69,2920,10000
substation_capacity_headroom,,,,,,0,0,0,0
