terminal_class_calc_BASE,terminal_class_calc_CANDIDATE,path_count,mean_site_gap_delta,mean_quantity_gap_delta,mean_location_delta,mean_path_service_delta
ADEQUATE,ADEQUATE,9521,1.2148715438163762e-14,0.0,1.2148715438163762e-14,0.0
ADEQUATE,PURE_LOCATION,33,6.009561690075065,0.0,6.009561690075065,-0.02024614701955897
MIXED,ADEQUATE,37,-25.658790123504545,-12.119991834277435,-13.538798289227108,0.1829316972088315
MIXED,MIXED,55,-6.253600079444989,-4.628415352245893,-1.6251847271990965,0.0011951405528060793
MIXED,PURE_LOCATION,28,-13.805155595424962,-9.862700007189186,-3.942455588235777,0.05081423319669219
MIXED,PURE_QUANTITY,26,-1.0157170893787368,3.7875098661324227,-4.8032269555111595,-0.033351544971168615
PURE_LOCATION,ADEQUATE,108,-8.082454004820631,7.590635938733477e-15,-8.082454004820638,0.05605973380629563
PURE_LOCATION,MIXED,22,26.875679517230306,8.9476805530967,17.927998964133607,-0.0637451857321741
PURE_LOCATION,PURE_LOCATION,81,-1.8985510840769961,0.0,-1.8985510840769961,0.0034686716630679022
PURE_QUANTITY,ADEQUATE,16,-20.633462270694356,-20.633462270694345,-7.993605777301127e-15,0.14543392466859903
PURE_QUANTITY,MIXED,17,-6.2078728355001624,-9.920698908410943,3.7128260729107803,-0.03912901380557558
PURE_QUANTITY,PURE_LOCATION,6,-31.107872048771956,-32.87208857434196,1.7642165255700037,0.18509610220275216
PURE_QUANTITY,PURE_QUANTITY,50,0.45061776840102963,0.450617768401045,-1.5418777365994174e-14,-0.060424210125026176
