transition_group,stage,global_hour,site,mean_H2_production_kg_BASE,mean_H2_production_kg_CANDIDATE,mean_HTT_in_kg_BASE,mean_HTT_in_kg_CANDIDATE,mean_HTT_out_kg_BASE,mean_HTT_out_kg_CANDIDATE,mean_P_EL_kW_BASE,mean_P_EL_kW_CANDIDATE,mean_electrolyzer_capacity_binding_BASE,mean_electrolyzer_capacity_binding_CANDIDATE,mean_end_inventory_kg_BASE,mean_end_inventory_kg_CANDIDATE,mean_ordinary_shortage_kg_BASE,mean_ordinary_shortage_kg_CANDIDATE,mean_storage_capacity_binding_BASE,mean_storage_capacity_binding_CANDIDATE,delta_H2_production_kg,delta_P_EL_kW,delta_end_inventory_kg,delta_HTT_in_kg,delta_HTT_out_kg,delta_ordinary_shortage_kg,delta_electrolyzer_capacity_binding,delta_storage_capacity_binding
LOST_POSITIVE_TARGET,1,1,1,5.850000000000012,5.850000000000012,0.0,0.0,0.0,0.0,300.0,300.0,1.0,1.0,62.9636159480515,62.9636159480515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,1,2,3.899999999999994,3.899999999999994,0.0,0.0,0.0,0.0,200.0,200.0,1.0,1.0,53.89757893241371,53.89757893241371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,1,3,2.340000000000003,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,0.0,27.403908845222343,25.06390884522244,0.0,0.0,0.0,0.0,-2.340000000000003,-120.0,-2.339999999999904,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,1,4,2.925000000000006,2.925000000000006,0.0,0.0,0.0,0.0,150.0,150.0,1.0,1.0,35.42711378557885,35.42711378557885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,2,1,5.850000000000012,5.850000000000012,0.0,0.0,0.0,0.0,300.0,300.0,1.0,1.0,68.3481453996428,68.3481453996428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,2,2,3.899999999999994,0.12563722393528579,0.0,0.0,0.0,0.0,200.0,6.442934560783888,1.0,0.0,57.48701992620233,53.71265715013763,0.0,0.0,0.0,0.0,-3.7743627760647085,-193.5570654392161,-3.7743627760646987,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,2,3,2.340000000000003,2.340000000000003,0.0,0.0,0.0,0.0,120.0,120.0,1.0,1.0,29.347459651048545,27.007459651048517,0.0,0.0,0.0,0.0,0.0,0.0,-2.3400000000000283,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,2,4,2.925000000000006,2.925000000000006,0.0,0.0,0.0,0.0,150.0,150.0,1.0,1.0,38.0913802552468,38.0913802552468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,3,1,5.850000000000012,5.850000000000012,0.0,0.0,0.0,0.0,300.0,300.0,1.0,1.0,73.73267485123348,73.73267485123348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,3,2,3.899999999999994,3.899999999999994,0.0,0.0,0.0,0.0,200.0,200.0,1.0,1.0,61.076460919991334,57.30209814392651,0.0,0.0,0.0,0.0,0.0,0.0,-3.7743627760648266,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,3,3,2.340000000000003,1.9749713296523537,0.0,0.0,0.0,0.0,120.0,101.28058100781328,1.0,0.0,31.489235053961558,28.78420638361377,0.0,0.0,0.0,0.0,-0.3650286703476493,-18.719418992186718,-2.7050286703477866,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,3,4,2.925000000000006,2.925000000000006,0.0,0.0,0.0,0.0,150.0,150.0,1.0,1.0,40.75564672491475,40.75564672491475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,4,1,5.850000000000012,5.850000000000012,0.0,0.0,0.0,0.0,300.0,300.0,1.0,1.0,79.11720430282465,79.11720430282465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,4,2,3.899999999999994,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1.0,0.0,64.35534290756893,56.68098013150401,0.0,0.0,0.0,0.0,-3.899999999999994,-200.0,-7.674362776064918,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,4,3,2.340000000000003,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,0.0,33.63101045687459,28.585981786526947,0.0,0.0,0.0,0.0,-2.340000000000003,-120.0,-5.045028670347644,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,4,4,2.925000000000006,2.925000000000006,0.0,0.0,0.0,0.0,150.0,150.0,1.0,1.0,43.41991319458281,43.41991319458281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,5,1,5.850000000000012,5.850000000000012,0.0,0.0,0.0,0.0,300.0,300.0,1.0,1.0,84.03626320600695,84.03626320600695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,5,2,3.899999999999994,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1.0,0.0,67.01310688272407,55.43874410665929,0.0,0.0,0.0,0.0,-3.899999999999994,-200.0,-11.574362776064781,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,5,3,2.340000000000003,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,0.0,35.772785859787646,28.387757189439945,0.0,0.0,0.0,0.0,-2.340000000000003,-120.0,-7.385028670347701,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,5,4,2.925000000000006,2.925000000000006,0.0,0.0,0.0,0.0,150.0,150.0,1.0,1.0,45.82344613391885,45.82344613391885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,6,1,5.850000000000012,5.850000000000012,0.0,0.0,0.0,0.0,300.0,300.0,1.0,1.0,88.02438101237122,88.02438101237122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,6,2,1.3387341774965729,0.0,0.0,0.0,0.0,0.0,68.65303474341368,0.0,0.0,0.0,65.32078515959962,52.40768820603816,0.0,0.0,0.0,0.0,-1.3387341774965729,-68.65303474341368,-12.913096953561464,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,6,3,2.340000000000003,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,0.0,37.71633666561366,27.99130799526604,0.0,0.0,0.0,0.0,-2.340000000000003,-120.0,-9.72502867034762,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,6,4,2.925000000000006,2.925000000000006,0.0,0.0,0.0,0.0,150.0,150.0,1.0,1.0,47.70551201259069,47.70551201259069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,7,1,5.850000000000012,0.0,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,89.55481432313614,83.70481432313613,0.0,0.0,0.0,0.0,-5.850000000000012,-300.0,-5.8500000000000085,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53196528382334,48.618868330261925,0.0,0.0,0.0,0.0,0.0,0.0,-12.913096953561414,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.923438277265745,27.19840960691818,0.0,0.0,0.0,0.0,0.0,0.0,-9.725028670347566,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,7,4,2.925000000000006,0.0,0.0,0.0,0.0,0.0,150.0,0.0,1.0,0.0,48.54464376993475,45.619643769934854,0.0,0.0,0.0,0.0,-2.925000000000006,-150.0,-2.9249999999998977,0.0,0.0,0.0,-1.0,0.0
LOST_POSITIVE_TARGET,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1553559615925,78.30535596159274,0.0,0.0,0.0,0.0,0.0,0.0,-5.849999999999767,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.50090938320219,45.58781242964082,0.0,0.0,0.0,0.0,0.0,0.0,-12.913096953561372,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.33764150057005,25.612612830222545,0.0,0.0,0.0,0.0,0.0,0.0,-9.725028670347506,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,1,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.937308466614844,43.01230846661475,0.0,0.0,0.0,0.0,0.0,0.0,-2.9250000000000966,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,9,1,2.4749999999999988,2.4749999999999988,0.6655254578041933,0.0,0.0,0.0,126.92307692307692,126.92307692307692,0.4230769230769231,0.4230769230769231,82.97631473016185,76.46078927235764,0.0,0.0,0.0,0.0,0.0,0.0,-6.515525457804202,-0.6655254578041933,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,9,2,1.6500000000000012,1.6500000000000012,0.0,0.0,0.49624073693352017,0.2888898427197423,84.61538461538461,84.61538461538461,0.4230769230769231,0.4230769230769231,58.10187361521261,45.39612755586518,0.0,0.0,0.0,0.0,0.0,0.0,-12.705746059347433,0.0,-0.2073508942137779,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,9,3,0.9900000000000009,0.9900000000000009,0.0,0.0,0.6537054824972769,0.0,50.76923076923077,50.76923076923077,0.4230769230769231,0.4230769230769231,33.969204483125026,24.8978812952746,0.0,0.0,0.0,0.0,0.0,0.0,-9.071323187850425,0.0,-0.6537054824972769,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,9,4,1.2374999999999994,1.2374999999999994,0.48442076162660386,0.2888898427197423,0.0,0.0,63.46153846153846,63.46153846153846,0.4230769230769231,0.4230769230769231,45.57336098558536,42.45283006667848,0.0,0.0,0.0,0.0,0.0,0.0,-3.12053091890688,-0.19553091890686158,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,10,1,2.4749999999999988,2.4749999999999988,0.0,0.0,0.0,0.0,126.92307692307692,126.92307692307692,0.4230769230769231,0.4230769230769231,83.12396198811706,76.60843653031313,0.0,0.0,0.0,0.0,0.0,0.0,-6.515525457803932,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,10,2,1.6500000000000012,1.6500000000000012,0.0,0.0,0.0,0.0,84.61538461538461,84.61538461538461,0.4230769230769231,0.4230769230769231,58.50963759036795,45.803891531020476,0.0,0.0,0.0,0.0,0.0,0.0,-12.705746059347476,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,10,3,0.9900000000000009,0.9900000000000009,0.0,0.0,0.0,0.0,50.76923076923077,50.76923076923077,0.4230769230769231,0.4230769230769231,33.595419255166696,24.524096067316314,0.0,0.0,0.0,0.0,0.0,0.0,-9.071323187850382,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,10,4,1.2374999999999994,1.2374999999999994,0.0,0.0,0.0,0.0,63.46153846153846,63.46153846153846,0.4230769230769231,0.4230769230769231,45.507193333925294,42.38666241501846,0.0,0.0,0.0,0.0,0.0,0.0,-3.12053091890683,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,11,1,2.4749999999999988,2.4749999999999988,0.0,0.0,0.0,0.0,126.92307692307692,126.92307692307692,0.4230769230769231,0.4230769230769231,83.73707979448143,77.22155433667727,0.0,0.0,0.0,0.0,0.0,0.0,-6.515525457804159,0.0,0.0,0.0,0.0,0.0
LOST_POSITIVE_TARGET,2,11,2,1.6500000000000012,1.6500000000000012,0.0,0.0,0.0,0.0,84.61538461538461,84.61538461538461,0.4230769230769231,0.4230769230769231,58.91740156552315,46.211655506175624,0.0,0.0,0.0,0.0,0.0,0.0,-12.705746059347526,0.0,0.0,0.0,0.0,0.0
